#         T/K          A/kJ          G/kJ
  2.731500000000E+02   1.475268539169E+01   1.475534364785E+01
  2.741500000000E+02   1.465968327596E+01   1.466234199416E+01
  2.751500000000E+02   1.456644215184E+01   1.456910133614E+01
  2.761500000000E+02   1.447296181146E+01   1.447562146584E+01
  2.771500000000E+02   1.437924207897E+01   1.438190220737E+01
  2.781500000000E+02   1.428528281220E+01   1.428794341850E+01
  2.791500000000E+02   1.419108390280E+01   1.419374499083E+01
  2.801500000000E+02   1.409664527645E+01   1.409930684996E+01
  2.811500000000E+02   1.400196689299E+01   1.400462895568E+01
  2.821500000000E+02   1.390704874635E+01   1.390971130185E+01
  2.831500000000E+02   1.381189086449E+01   1.381455391635E+01
  2.841500000000E+02   1.371649330891E+01   1.371915686063E+01
  2.851500000000E+02   1.362085617470E+01   1.362352022969E+01
  2.861500000000E+02   1.352497958962E+01   1.352764415123E+01
  2.871500000000E+02   1.342886371391E+01   1.343152878541E+01
  2.881500000000E+02   1.333250873855E+01   1.333517432315E+01
  2.891500000000E+02   1.323591488642E+01   1.323858098724E+01
  2.901500000000E+02   1.313908240943E+01   1.314174902952E+01
  2.911500000000E+02   1.304201158849E+01   1.304467873085E+01
  2.921500000000E+02   1.294470273228E+01   1.294737039981E+01
  2.931500000000E+02   1.284715617585E+01   1.284982437140E+01
  2.941500000000E+02   1.274937227984E+01   1.275204100620E+01
  2.951500000000E+02   1.265135142876E+01   1.265402068863E+01
  2.961500000000E+02   1.255309402977E+01   1.255576382581E+01
  2.971500000000E+02   1.245460051132E+01   1.245727084614E+01
  2.981500000000E+02   1.235587132159E+01   1.235854219771E+01
  2.991500000000E+02   1.225690692710E+01   1.225957834702E+01
  3.001500000000E+02   1.215770781112E+01   1.216037977727E+01
  3.011500000000E+02   1.205827447212E+01   1.206094698689E+01
  3.021500000000E+02   1.195860742222E+01   1.196128048796E+01
  3.031500000000E+02   1.185870718557E+01   1.186138080459E+01
  3.041500000000E+02   1.175857429687E+01   1.176124847146E+01
  3.051500000000E+02   1.165820929969E+01   1.166088403210E+01
  3.061500000000E+02   1.155761274492E+01   1.156028803737E+01
  3.071500000000E+02   1.145678518924E+01   1.145946104394E+01
  3.081500000000E+02   1.135572719352E+01   1.135840361266E+01
  3.091500000000E+02   1.125443932138E+01   1.125711630714E+01
  3.101500000000E+02   1.115292213763E+01   1.115559969218E+01
  3.111500000000E+02   1.105117620681E+01   1.105385433233E+01
  3.121500000000E+02   1.094920209181E+01   1.095188079047E+01
  3.131500000000E+02   1.084700035235E+01   1.084967962633E+01
  3.141500000000E+02   1.074457154381E+01   1.074725139533E+01
  3.151500000000E+02   1.064191621578E+01   1.064459664704E+01
  3.161500000000E+02   1.053903491082E+01   1.054171592406E+01
  3.171500000000E+02   1.043592816322E+01   1.043860976072E+01
  3.181500000000E+02   1.033259649789E+01   1.033527868194E+01
  3.191500000000E+02   1.022904042912E+01   1.023172320207E+01
  3.201500000000E+02   1.012526045959E+01   1.012794382381E+01
  3.211500000000E+02   1.002125707928E+01   1.002394103721E+01
  3.221500000000E+02   9.917030764511E+00   9.919715318621E+00
  3.231500000000E+02   9.812581976954E+00   9.815267129781E+00
  3.241500000000E+02   9.707911162869E+00   9.710596917007E+00
  3.251500000000E+02   9.603018752040E+00   9.605705110149E+00
  3.261500000000E+02   9.497905157183E+00   9.500592121989E+00
  3.271500000000E+02   9.392570773095E+00   9.395258347399E+00
  3.281500000000E+02   9.287015975963E+00   9.289704162643E+00
  3.291500000000E+02   9.181241122662E+00   9.183929924676E+00
  3.301500000000E+02   9.075246550327E+00   9.077935970717E+00
  3.311500000000E+02   8.969032575383E+00   8.971722617281E+00
  3.321500000000E+02   8.862599493382E+00   8.865290160013E+00
  3.331500000000E+02   8.755947578319E+00   8.758638873001E+00
  3.341500000000E+02   8.649077082192E+00   8.651769008347E+00
  3.351500000000E+02   8.541988234480E+00   8.544680795629E+00
  3.361500000000E+02   8.434681242200E+00   8.437374441974E+00
  3.371500000000E+02   8.327156288637E+00   8.329850130776E+00
  3.381500000000E+02   8.219413533878E+00   8.222108022236E+00
  3.391500000000E+02   8.111453114095E+00   8.114148252642E+00
  3.401500000000E+02   8.003275141325E+00   8.005970934152E+00
  3.411500000000E+02   7.894879703218E+00   7.897576154539E+00
  3.421500000000E+02   7.786266862776E+00   7.788963976933E+00
  3.431500000000E+02   7.677436658274E+00   7.680134439737E+00
  3.441500000000E+02   7.568389102809E+00   7.571087556181E+00
  3.451500000000E+02   7.459124184381E+00   7.461823314403E+00
  3.461500000000E+02   7.349641865623E+00   7.352341677172E+00
  3.471500000000E+02   7.239942083684E+00   7.242642581780E+00
  3.481500000000E+02   7.130024749946E+00   7.132725939754E+00
