#         T/K          A/kJ          G/kJ
  2.731500000000E+02   2.798674327308E+01   2.799226754063E+01
  2.741500000000E+02   2.783303908938E+01   2.783856612061E+01
  2.751500000000E+02   2.767883846771E+01   2.768436830393E+01
  2.761500000000E+02   2.752414095183E+01   2.752967363161E+01
  2.771500000000E+02   2.736894613900E+01   2.737448170085E+01
  2.781500000000E+02   2.721325369286E+01   2.721879217522E+01
  2.791500000000E+02   2.705706333906E+01   2.706260478033E+01
  2.801500000000E+02   2.690037486228E+01   2.690591930079E+01
  2.811500000000E+02   2.674318810194E+01   2.674873557600E+01
  2.821500000000E+02   2.658550294980E+01   2.659105349769E+01
  2.831500000000E+02   2.642731934511E+01   2.643287300506E+01
  2.841500000000E+02   2.626863727595E+01   2.627419408617E+01
  2.851500000000E+02   2.610945677326E+01   2.611501677195E+01
  2.861500000000E+02   2.594977791102E+01   2.595534113630E+01
  2.871500000000E+02   2.578960080444E+01   2.579516729444E+01
  2.881500000000E+02   2.562892560897E+01   2.563449540172E+01
  2.891500000000E+02   2.546775251752E+01   2.547332565101E+01
  2.901500000000E+02   2.530608177063E+01   2.531165828277E+01
  2.911500000000E+02   2.514391363524E+01   2.514949356387E+01
  2.921500000000E+02   2.498124842621E+01   2.498683180903E+01
  2.931500000000E+02   2.481808649612E+01   2.482367337071E+01
  2.941500000000E+02   2.465442823809E+01   2.466001864189E+01
  2.951500000000E+02   2.449027408671E+01   2.449586805697E+01
  2.961500000000E+02   2.432562451799E+01   2.433122209176E+01
  2.971500000000E+02   2.416048005582E+01   2.416608126993E+01
  2.981500000000E+02   2.399484126261E+01   2.400044615364E+01
  2.991500000000E+02   2.382870875154E+01   2.383431735576E+01
  3.001500000000E+02   2.366208318105E+01   2.366769553446E+01
  3.011500000000E+02   2.349496526018E+01   2.350058139839E+01
  3.021500000000E+02   2.332735574687E+01   2.333297570516E+01
  3.031500000000E+02   2.315925545073E+01   2.316487926396E+01
  3.041500000000E+02   2.299066523389E+01   2.299629293650E+01
  3.051500000000E+02   2.282158601146E+01   2.282721763742E+01
  3.061500000000E+02   2.265201875355E+01   2.265765433637E+01
  3.071500000000E+02   2.248196448480E+01   2.248760405748E+01
  3.081500000000E+02   2.231142428552E+01   2.231706788053E+01
  3.091500000000E+02   2.214039929205E+01   2.214604694131E+01
  3.101500000000E+02   2.196889069610E+01   2.197454243095E+01
  3.111500000000E+02   2.179689974629E+01   2.180255559750E+01
  3.121500000000E+02   2.162442775050E+01   2.163008774825E+01
  3.131500000000E+02   2.145147605479E+01   2.145714022861E+01
  3.141500000000E+02   2.127804608532E+01   2.128371446416E+01
  3.151500000000E+02   2.110413930421E+01   2.110981191638E+01
  3.161500000000E+02   2.092975723051E+01   2.093543410367E+01
  3.171500000000E+02   2.075490143414E+01   2.076058259536E+01
  3.181500000000E+02   2.057957352783E+01   2.058525900435E+01
  3.191500000000E+02   2.040377518770E+01   2.040946500451E+01
  3.201500000000E+02   2.022750812022E+01   2.023320230252E+01
  3.211500000000E+02   1.737265198164E+01   2.001604306079E+01
  3.221500000000E+02   1.709357686682E+01   1.974564357939E+01
  3.231500000000E+02   1.681432622249E+01   1.947506205954E+01
  3.241500000000E+02   1.653490038071E+01   1.920429897537E+01
  3.251500000000E+02   1.625529967014E+01   1.893335479393E+01
  3.261500000000E+02   1.597552441606E+01   1.866222997542E+01
  3.271500000000E+02   1.569557494046E+01   1.839092497332E+01
  3.281500000000E+02   1.541545156214E+01   1.811944023463E+01
  3.291500000000E+02   1.513515459676E+01   1.784777620000E+01
  3.301500000000E+02   1.485468435693E+01   1.757593330392E+01
  3.311500000000E+02   1.457404115227E+01   1.730391197487E+01
  3.321500000000E+02   1.429322528950E+01   1.703171263551E+01
