#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  8.145148E+01  8.352163E+01  2.484073E+02
 2.741500E+02  8.151098E+01  8.359174E+01  2.486636E+02
 2.751500E+02  8.157021E+01  8.366155E+01  2.489177E+02
 2.761500E+02  8.162917E+01  8.373106E+01  2.491699E+02
 2.771500E+02  8.168787E+01  8.380028E+01  2.494201E+02
 2.781500E+02  8.174630E+01  8.386921E+01  2.496684E+02
 2.791500E+02  8.180448E+01  8.393785E+01  2.499147E+02
 2.801500E+02  8.186242E+01  8.400622E+01  2.501592E+02
 2.811500E+02  8.192011E+01  8.407433E+01  2.504019E+02
 2.821500E+02  8.197757E+01  8.414217E+01  2.506427E+02
 2.831500E+02  8.203480E+01  8.420975E+01  2.508818E+02
 2.841500E+02  8.209181E+01  8.427708E+01  2.511192E+02
 2.851500E+02  8.214859E+01  8.434416E+01  2.513549E+02
 2.861500E+02  8.220516E+01  8.441100E+01  2.515889E+02
 2.871500E+02  8.226153E+01  8.447761E+01  2.518212E+02
 2.881500E+02  8.231769E+01  8.454399E+01  2.520520E+02
 2.891500E+02  8.237365E+01  8.461014E+01  2.522812E+02
 2.901500E+02  8.242941E+01  8.467607E+01  2.525088E+02
 2.911500E+02  8.248499E+01  8.474179E+01  2.527349E+02
 2.921500E+02  8.254039E+01  8.480730E+01  2.529595E+02
 2.931500E+02  8.259560E+01  8.487260E+01  2.531827E+02
 2.941500E+02  8.265064E+01  8.493771E+01  2.534044E+02
 2.951500E+02  8.270551E+01  8.500262E+01  2.536247E+02
 2.961500E+02  8.276022E+01  8.506734E+01  2.538436E+02
 2.971500E+02  8.281476E+01  8.513187E+01  2.540611E+02
 2.981500E+02  8.286915E+01  8.519623E+01  2.542773E+02
 2.991500E+02  8.292338E+01  8.526041E+01  2.544922E+02
 3.001500E+02  8.297747E+01  8.532441E+01  2.547058E+02
 3.011500E+02  8.303141E+01  8.538825E+01  2.549182E+02
 3.021500E+02  8.308521E+01  8.545193E+01  2.551293E+02
 3.031500E+02  8.313888E+01  8.551545E+01  2.553391E+02
 3.041500E+02  8.319241E+01  8.557881E+01  2.555478E+02
 3.051500E+02  8.324581E+01  8.564202E+01  2.557553E+02
 3.061500E+02  8.329909E+01  8.570509E+01  2.559616E+02
 3.071500E+02  8.335225E+01  8.576802E+01  2.561668E+02
 3.081500E+02  8.340529E+01  8.583080E+01  2.563709E+02
 3.091500E+02  8.345822E+01  8.589345E+01  2.565739E+02
 3.101500E+02  8.351104E+01  8.595597E+01  2.567758E+02
 3.111500E+02  8.356375E+01  8.601837E+01  2.569767E+02
 3.121500E+02  8.361635E+01  8.608064E+01  2.571765E+02
 3.131500E+02  8.366886E+01  8.614279E+01  2.573753E+02
 3.141500E+02  8.372127E+01  8.620482E+01  2.575731E+02
 3.151500E+02  8.377359E+01  8.626675E+01  2.577699E+02
 3.161500E+02  8.382581E+01  8.632856E+01  2.579657E+02
 3.171500E+02  8.387795E+01  8.639026E+01  2.581605E+02
 3.181500E+02  8.393000E+01  8.645187E+01  2.583545E+02
 3.191500E+02  8.398197E+01  8.651337E+01  2.585475E+02
 3.201500E+02  8.403386E+01  8.657478E+01  2.587396E+02
 3.211500E+02  8.408568E+01  8.663609E+01  2.589308E+02
 3.221500E+02  8.413742E+01  8.669732E+01  2.591212E+02
 3.231500E+02  8.418909E+01  8.675845E+01  2.593106E+02
 3.241500E+02  8.424070E+01  8.681950E+01  2.594993E+02
 3.251500E+02  8.429224E+01  8.688047E+01  2.596871E+02
 3.261500E+02  8.434371E+01  8.694136E+01  2.598741E+02
 3.271500E+02  8.439513E+01  8.700218E+01  2.600602E+02
 3.281500E+02  8.444649E+01  8.706292E+01  2.602456E+02
 3.291500E+02  8.449779E+01  8.712359E+01  2.604302E+02
 3.301500E+02  8.454904E+01  8.718419E+01  2.606141E+02
 3.311500E+02  8.460024E+01  8.724473E+01  2.607971E+02
 3.321500E+02  8.465139E+01  8.730520E+01  2.609795E+02
 3.331500E+02  8.470250E+01  8.736561E+01  2.611611E+02
 3.341500E+02  8.475356E+01  8.742597E+01  2.613420E+02
 3.351500E+02  8.480458E+01  8.748626E+01  2.615222E+02
 3.361500E+02  8.485556E+01  8.754651E+01  2.617017E+02
 3.371500E+02  8.490650E+01  8.760670E+01  2.618804E+02
 3.381500E+02  8.495740E+01  8.766684E+01  2.620586E+02
