#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  3.296182E+01  4.160492E+01
 2.741500E+02  3.301714E+01  4.165342E+01
 2.751500E+02  3.307282E+01  4.169588E+01
 2.761500E+02  3.312887E+01  4.173948E+01
 2.771500E+02  3.318526E+01  4.178416E+01
 2.781500E+02  3.324199E+01  4.182985E+01
 2.791500E+02  3.329907E+01  4.187650E+01
 2.801500E+02  3.335647E+01  4.192406E+01
 2.811500E+02  3.341419E+01  4.197248E+01
 2.821500E+02  3.347223E+01  4.202171E+01
 2.831500E+02  3.353058E+01  4.207171E+01
 2.841500E+02  3.358924E+01  4.212245E+01
 2.851500E+02  3.364819E+01  4.217389E+01
 2.861500E+02  3.370744E+01  4.222601E+01
 2.871500E+02  3.376698E+01  4.227876E+01
 2.881500E+02  3.382681E+01  4.233212E+01
 2.891500E+02  3.388691E+01  4.238607E+01
 2.901500E+02  3.394729E+01  4.244059E+01
 2.911500E+02  3.400794E+01  4.249564E+01
 2.921500E+02  3.406886E+01  4.255121E+01
 2.931500E+02  3.413004E+01  4.260728E+01
 2.941500E+02  3.419147E+01  4.266384E+01
 2.951500E+02  3.425316E+01  4.272086E+01
 2.961500E+02  3.431511E+01  4.277832E+01
 2.971500E+02  3.437730E+01  4.283622E+01
 2.981500E+02  3.443973E+01  4.289454E+01
 2.991500E+02  3.450240E+01  4.295327E+01
 3.001500E+02  3.456531E+01  4.301239E+01
 3.011500E+02  3.462845E+01  4.307189E+01
 3.021500E+02  3.469181E+01  4.313176E+01
 3.031500E+02  3.475541E+01  4.319199E+01
 3.041500E+02  3.481922E+01  4.325257E+01
 3.051500E+02  3.488326E+01  4.331349E+01
 3.061500E+02  3.494751E+01  4.337474E+01
 3.071500E+02  3.501197E+01  4.343631E+01
 3.081500E+02  3.507665E+01  4.349819E+01
 3.091500E+02  3.514152E+01  4.356038E+01
 3.101500E+02  3.520661E+01  4.362286E+01
 3.111500E+02  3.527189E+01  4.368563E+01
 3.121500E+02  3.533737E+01  4.374869E+01
 3.131500E+02  3.540304E+01  4.381202E+01
 3.141500E+02  3.546890E+01  4.387562E+01
 3.151500E+02  3.553495E+01  4.393948E+01
 3.161500E+02  3.560119E+01  4.400360E+01
 3.171500E+02  3.566761E+01  4.406797E+01
 3.181500E+02  3.573421E+01  4.413258E+01
 3.191500E+02  3.580098E+01  4.419743E+01
 3.201500E+02  3.586793E+01  4.426252E+01
 3.211500E+02  3.593505E+01  4.432784E+01
 3.221500E+02  3.600234E+01  4.439337E+01
 3.231500E+02  3.606980E+01  4.445913E+01
 3.241500E+02  3.613741E+01  4.452510E+01
 3.251500E+02  3.620519E+01  4.459128E+01
 3.261500E+02  3.627313E+01  4.465766E+01
 3.271500E+02  3.634122E+01  4.472424E+01
 3.281500E+02  3.640946E+01  4.479102E+01
 3.291500E+02  3.647785E+01  4.485799E+01
 3.301500E+02  3.654639E+01  4.492515E+01
 3.311500E+02  3.661507E+01  4.499249E+01
 3.321500E+02  3.668390E+01  4.506001E+01
 3.331500E+02  3.675286E+01  4.512770E+01
 3.341500E+02  3.682196E+01  4.519557E+01
 3.351500E+02  3.689120E+01  4.526360E+01
 3.361500E+02  3.696056E+01  4.533180E+01
 3.371500E+02  3.703006E+01  4.540016E+01
 3.381500E+02  3.709968E+01  4.546868E+01
 3.391500E+02  3.716943E+01  4.553734E+01
 3.401500E+02  3.723930E+01  4.560616E+01
 3.411500E+02  3.730929E+01  4.567513E+01
 3.421500E+02  3.737939E+01  4.574424E+01
 3.431500E+02  3.744961E+01  4.581349E+01
 3.441500E+02  3.751995E+01  4.588287E+01
 3.451500E+02  3.759039E+01  4.595239E+01
 3.461500E+02  3.766094E+01  4.602204E+01
 3.471500E+02  3.773160E+01  4.609182E+01
 3.481500E+02  3.780235E+01  4.616172E+01
 3.491500E+02  3.787322E+01  4.623175E+01
 3.501500E+02  3.794417E+01  4.630189E+01
 3.511500E+02  3.801523E+01  4.637215E+01
 3.521500E+02  3.808638E+01  4.644253E+01
 3.531500E+02  3.815762E+01  4.651301E+01
 3.541500E+02  3.822895E+01  4.658360E+01
 3.551500E+02  3.830037E+01  4.665430E+01
 3.561500E+02  3.837188E+01  4.672510E+01
 3.571500E+02  3.844346E+01  4.679600E+01
 3.581500E+02  3.851513E+01  4.686699E+01
 3.591500E+02  3.858688E+01  4.693808E+01
 3.601500E+02  3.865870E+01  4.700927E+01
 3.611500E+02  3.873060E+01  4.708054E+01
 3.621500E+02  3.880258E+01  4.715190E+01
 3.631500E+02  3.887462E+01  4.722334E+01
 3.641500E+02  3.894673E+01  4.729486E+01
 3.651500E+02  3.901891E+01  4.736647E+01
 3.661500E+02  3.909116E+01  4.743815E+01
 3.671500E+02  3.916346E+01  4.750991E+01
 3.681500E+02  3.923583E+01  4.758174E+01
 3.691500E+02  3.930826E+01  4.765364E+01
 3.701500E+02  3.938074E+01  4.772561E+01
 3.711500E+02  3.945328E+01  4.779765E+01
 3.721500E+02  3.952587E+01  4.786975E+01
 3.731500E+02  3.959851E+01  4.794191E+01
 3.741500E+02  3.967121E+01  4.801413E+01
 3.751500E+02  3.974395E+01  4.808641E+01
 3.761500E+02  3.981673E+01  4.815875E+01
 3.771500E+02  3.988956E+01  4.823113E+01
 3.781500E+02  3.996243E+01  4.830357E+01
 3.791500E+02  4.003535E+01  4.837606E+01
 3.801500E+02  4.010830E+01  4.844860E+01
 3.811500E+02  4.018129E+01  4.852118E+01
 3.821500E+02  4.025431E+01  4.859380E+01
 3.831500E+02  4.032737E+01  4.866647E+01
 3.841500E+02  4.040046E+01  4.873917E+01
 3.851500E+02  4.047357E+01  4.881192E+01
 3.861500E+02  4.054672E+01  4.888470E+01
 3.871500E+02  4.061990E+01  4.895751E+01
 3.881500E+02  4.069310E+01  4.903036E+01
 3.891500E+02  4.076632E+01  4.910324E+01
 3.901500E+02  4.083957E+01  4.917614E+01
 3.911500E+02  4.091283E+01  4.924907E+01
 3.921500E+02  4.098612E+01  4.932203E+01
 3.931500E+02  4.105942E+01  4.939501E+01
 3.941500E+02  4.113274E+01  4.946802E+01
 3.951500E+02  4.120607E+01  4.954104E+01
 3.961500E+02  4.127941E+01  4.961408E+01
 3.971500E+02  4.135277E+01  4.968714E+01
 3.981500E+02  4.142613E+01  4.976022E+01
 3.991500E+02  4.149951E+01  4.983345E+01
