#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  3.550485E-02  1.108196E-04  4.977874E-06  8.792834E-03  2.773130E-05  1.186083E-06  1.664201E-08  4.408524E-05  6.001190E-05  1.578597E-06  2.307985E-06  2.923094E-06
 2.741500E+02  3.537906E-02  1.078395E-04  4.583434E-06  8.763763E-03  2.701119E-05  1.094693E-06  1.595661E-08  4.294136E-05  5.845105E-05  1.456575E-06  2.127757E-06  2.695906E-06
 2.751500E+02  3.525405E-02  1.049604E-04  4.222824E-06  8.734793E-03  2.631424E-05  1.010903E-06  1.530388E-08  4.183468E-05  5.694117E-05  1.344748E-06  1.962756E-06  2.487832E-06
 2.761500E+02  3.512982E-02  1.021781E-04  3.892938E-06  8.705927E-03  2.563962E-05  9.340391E-07  1.468209E-08  4.076381E-05  5.548031E-05  1.242206E-06  1.811604E-06  2.297148E-06
 2.771500E+02  3.500636E-02  9.948904E-05  3.590968E-06  8.677171E-03  2.498651E-05  8.634891E-07  1.408961E-08  3.972740E-05  5.406663E-05  1.148124E-06  1.673056E-06  2.122298E-06
 2.781500E+02  3.488368E-02  9.688939E-05  3.314384E-06  8.648527E-03  2.435411E-05  7.986989E-07  1.352491E-08  3.872417E-05  5.269836E-05  1.061754E-06  1.545987E-06  1.961873E-06
 2.791500E+02  3.476177E-02  9.437571E-05  3.060895E-06  8.620000E-03  2.374169E-05  7.391659E-07  1.298652E-08  3.775287E-05  5.137380E-05  9.824207E-07  1.429377E-06  1.814597E-06
 2.801500E+02  3.464062E-02  9.194463E-05  2.828434E-06  8.591592E-03  2.314850E-05  6.844338E-07  1.247309E-08  3.681233E-05  5.009131E-05  9.095091E-07  1.322303E-06  1.679314E-06
 2.811500E+02  3.452024E-02  8.959298E-05  2.615128E-06  8.563306E-03  2.257386E-05  6.340883E-07  1.198331E-08  3.590141E-05  4.884935E-05  8.424626E-07  1.223929E-06  1.554976E-06
 2.821500E+02  3.440062E-02  8.731768E-05  2.419284E-06  8.535145E-03  2.201709E-05  5.877531E-07  1.151597E-08  3.501901E-05  4.764641E-05  7.807753E-07  1.133497E-06  1.440633E-06
 2.831500E+02  3.428176E-02  8.511581E-05  2.239365E-06  8.507110E-03  2.147756E-05  5.450860E-07  1.106992E-08  3.416410E-05  4.648106E-05  7.239879E-07  1.050318E-06  1.335422E-06
 2.841500E+02  3.416365E-02  8.298459E-05  2.073982E-06  8.479205E-03  2.095464E-05  5.057761E-07  1.064406E-08  3.333567E-05  4.535191E-05  6.716830E-07  9.737678E-07  1.238560E-06
 2.851500E+02  3.404629E-02  8.092132E-05  1.921872E-06  8.451429E-03  2.044774E-05  4.695400E-07  1.023738E-08  3.253275E-05  4.425765E-05  6.234807E-07  9.032790E-07  1.149335E-06
 2.861500E+02  3.392967E-02  7.892345E-05  1.781890E-06  8.423786E-03  1.995629E-05  4.361203E-07  9.848906E-09  3.175443E-05  4.319702E-05  5.790356E-07  8.383361E-07  1.067100E-06
