#         T/K          A/kJ          G/kJ
  2.731500000000E+02   8.426425689233E-01   2.847271769088E+00
  2.741500000000E+02   5.812044699062E-01   2.596896590038E+00
  2.751500000000E+02   3.195155450645E-01   2.346242630860E+00
  2.761500000000E+02   5.757811982990E-02   2.095312107845E+00
  2.771500000000E+02  -2.046055328404E-01   1.844107204614E+00
  2.781500000000E+02  -4.670331916433E-01   1.592630072381E+00
  2.791500000000E+02  -7.297026860871E-01   1.340882830217E+00
  2.801500000000E+02  -9.926118955314E-01   1.088867565419E+00
  2.811500000000E+02  -1.255758748710E+00   8.365863334153E-01
  2.821500000000E+02  -1.519141222227E+00   5.840411586159E-01
  2.831500000000E+02  -1.782757340071E+00   3.312340343245E-01
  2.841500000000E+02  -2.046605172590E+00   7.816692313508E-02
  2.851500000000E+02  -2.310682835575E+00  -1.751582427622E-01
  2.861500000000E+02  -2.574988489332E+00  -4.287395612676E-01
  2.871500000000E+02  -2.839520337753E+00  -6.825751600533E-01
  2.881500000000E+02  -3.104276627447E+00  -9.366631962941E-01
  2.891500000000E+02  -3.369255646557E+00  -1.191001856106E+00
  2.901500000000E+02  -3.634455724214E+00  -1.445589354561E+00
  2.911500000000E+02  -3.899875229347E+00  -1.700423935108E+00
  2.921500000000E+02  -4.165512569836E+00  -1.955503869285E+00
  2.931500000000E+02  -4.431366192509E+00  -2.210827457133E+00
  2.941500000000E+02  -4.697434578376E+00  -2.466393023648E+00
  2.951500000000E+02  -4.963716248176E+00  -2.722198923770E+00
  2.961500000000E+02  -5.230209755703E+00  -2.978243537163E+00
  2.971500000000E+02  -5.496913690393E+00  -3.234525270845E+00
  2.981500000000E+02  -5.763826674841E+00  -3.491042557398E+00
  2.991500000000E+02  -6.030947364356E+00  -3.747793854966E+00
  3.001500000000E+02  -6.298274446123E+00  -4.004777646890E+00
  3.011500000000E+02  -6.565806638360E+00  -4.261992441332E+00
  3.021500000000E+02  -6.833542689503E+00  -4.519436770903E+00
  3.031500000000E+02  -7.101481377398E+00  -4.777109192291E+00
  3.041500000000E+02  -7.369621508512E+00  -5.035008285884E+00
  3.051500000000E+02  -7.637961917149E+00  -5.293132655404E+00
  3.061500000000E+02  -7.906501464695E+00  -5.551480927527E+00
  3.071500000000E+02  -8.175239039185E+00  -5.810051751817E+00
  3.081500000000E+02  -8.444173553281E+00  -6.068843799135E+00
  3.091500000000E+02  -8.713303945520E+00  -6.327855763124E+00
  3.101500000000E+02  -8.982629178287E+00  -6.587086358588E+00
  3.111500000000E+02  -9.252148237465E+00  -6.846534321445E+00
  3.121500000000E+02  -9.521860131768E+00  -7.106198408365E+00
  3.131500000000E+02  -9.791763892085E+00  -7.366077396408E+00
  3.141500000000E+02  -1.006185857085E+01  -7.626170082667E+00
  3.151500000000E+02  -1.033214324140E+01  -7.886475283916E+00
  3.161500000000E+02  -1.060261699739E+01  -8.146991836252E+00
  3.171500000000E+02  -1.087327895222E+01  -8.407718594753E+00
  3.181500000000E+02  -1.114412823838E+01  -8.668654433129E+00
  3.191500000000E+02  -1.141516400700E+01  -8.929798243384E+00
  3.201500000000E+02  -1.168638542721E+01  -9.191148935476E+00
  3.211500000000E+02  -1.195779168565E+01  -9.452705436982E+00
  3.221500000000E+02  -1.222938198597E+01  -9.714466692774E+00
  3.231500000000E+02  -1.250115554829E+01  -9.976431664688E+00
  3.241500000000E+02  -1.277311160873E+01  -1.023859933120E+01
  3.251500000000E+02  -1.304524941893E+01  -1.050096868713E+01
  3.261500000000E+02  -1.331756824561E+01  -1.076353874329E+01
  3.271500000000E+02  -1.359006737009E+01  -1.102630852621E+01
  3.281500000000E+02  -1.386274608788E+01  -1.128927707782E+01
  3.291500000000E+02  -1.413560370823E+01  -1.155244345515E+01
  3.301500000000E+02  -1.440863955375E+01  -1.181580673006E+01
  3.311500000000E+02  -1.468185296002E+01  -1.207936598890E+01
  3.321500000000E+02  -1.495524327514E+01  -1.234312033226E+01
  3.331500000000E+02  -1.522880985944E+01  -1.260706887469E+01
