#         T/K          A/kJ          G/kJ
  2.731500000000E+02  -2.520760992818E+01  -2.519955560886E+01
  2.741500000000E+02  -2.540613897742E+01  -2.539808042083E+01
  2.751500000000E+02  -2.560526431983E+01  -2.559720145962E+01
  2.761500000000E+02  -2.580498480187E+01  -2.579691757616E+01
  2.771500000000E+02  -2.600529920293E+01  -2.599722754876E+01
  2.781500000000E+02  -2.620620620322E+01  -2.619813005767E+01
  2.791500000000E+02  -2.640770439131E+01  -2.639962369151E+01
  2.801500000000E+02  -2.660979226614E+01  -2.660170694933E+01
  2.811500000000E+02  -2.681246823925E+01  -2.680437824276E+01
  2.821500000000E+02  -2.701573063694E+01  -2.700763589824E+01
  2.831500000000E+02  -2.721957770269E+01  -2.721147815939E+01
  2.841500000000E+02  -2.742400760061E+01  -2.741590319053E+01
  2.851500000000E+02  -2.762901841231E+01  -2.762090907344E+01
  2.861500000000E+02  -2.783460815011E+01  -2.782649382069E+01
  2.871500000000E+02  -2.804077474970E+01  -2.803265536819E+01
  2.881500000000E+02  -2.824751607682E+01  -2.823939158197E+01
  2.891500000000E+02  -2.845482992945E+01  -2.844670026028E+01
  2.901500000000E+02  -2.866271404031E+01  -2.865457913615E+01
  2.911500000000E+02  -2.887116607944E+01  -2.886302587994E+01
  2.921500000000E+02  -2.908018365680E+01  -2.907203810197E+01
  2.931500000000E+02  -2.928976432667E+01  -2.928161335686E+01
  2.941500000000E+02  -2.949990558155E+01  -2.949174913751E+01
  2.951500000000E+02  -2.971060487138E+01  -2.970244289424E+01
  2.961500000000E+02  -2.992185959054E+01  -2.991369202185E+01
  2.971500000000E+02  -3.013366708711E+01  -3.012549386887E+01
  2.981500000000E+02  -3.034602466456E+01  -3.033784573919E+01
  2.991500000000E+02  -3.055892958405E+01  -3.055074489444E+01
  3.001500000000E+02  -3.077237906681E+01  -3.076418855634E+01
  3.011500000000E+02  -3.098637029654E+01  -3.097817390905E+01
  3.021500000000E+02  -3.120090042274E+01  -3.119269810260E+01
  3.031500000000E+02  -3.141596655784E+01  -3.140775824992E+01
  3.041500000000E+02  -3.163156578938E+01  -3.162335143910E+01
  3.051500000000E+02  -3.184769517283E+01  -3.183947472614E+01
  3.061500000000E+02  -3.206435173783E+01  -3.205612514121E+01
  3.071500000000E+02  -3.228153248968E+01  -3.227329969021E+01
  3.081500000000E+02  -3.249923441135E+01  -3.249099535667E+01
  3.091500000000E+02  -3.271745446537E+01  -3.270920910370E+01
  3.101500000000E+02  -3.293618959580E+01  -3.292793787596E+01
  3.111500000000E+02  -3.315543673095E+01  -3.314717860236E+01
  3.121500000000E+02  -3.337519278064E+01  -3.336692819333E+01
  3.131500000000E+02  -3.359545464675E+01  -3.358718355137E+01
  3.141500000000E+02  -3.381621921669E+01  -3.380794156453E+01
  3.151500000000E+02  -3.403748336861E+01  -3.402919911157E+01
  3.161500000000E+02  -3.425924397258E+01  -3.425095306319E+01
  3.171500000000E+02  -3.448149789202E+01  -3.447320028349E+01
