#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  8.917971E-01  6.261781E-03  4.745577E-04  9.827710E-02  3.102713E-04  9.963123E-06  1.397933E-07  1.108459E-03  1.508911E-03  2.979934E-05  9.790913E-05  1.240032E-04
 2.741500E+02  8.920191E-01  6.116616E-03  4.386225E-04  9.832094E-02  3.033416E-04  9.229430E-06  1.345313E-07  1.083769E-03  1.475208E-03  2.759865E-05  9.060447E-05  1.147975E-04
 2.751500E+02  8.922320E-01  5.975882E-03  4.056477E-04  9.836310E-02  2.966124E-04  8.554372E-06  1.295031E-07  1.059800E-03  1.442494E-03  2.557459E-05  8.389250E-05  1.063354E-04
 2.761500E+02  8.924362E-01  5.839418E-03  3.753710E-04  9.840367E-02  2.900770E-04  7.932927E-06  1.246971E-07  1.036529E-03  1.410735E-03  2.371193E-05  7.772157E-05  9.855242E-05
 2.771500E+02  8.926322E-01  5.707073E-03  3.475551E-04  9.844273E-02  2.837290E-04  7.360529E-06  1.201023E-07  1.013931E-03  1.379900E-03  2.199687E-05  7.204481E-05  9.138998E-05
 2.781500E+02  8.928205E-01  5.578699E-03  3.219850E-04  9.848037E-02  2.775623E-04  6.833025E-06  1.157082E-07  9.919836E-04  1.349956E-03  2.041683E-05  6.681968E-05  8.479484E-05
 2.791500E+02  8.930015E-01  5.454155E-03  2.984653E-04  9.851665E-02  2.715708E-04  6.346637E-06  1.115051E-07  9.706650E-04  1.320873E-03  1.896038E-05  6.200752E-05  7.871866E-05
 2.801500E+02  8.931756E-01  5.333305E-03  2.768192E-04  9.855165E-02  2.657487E-04  5.897922E-06  1.074834E-07  9.499538E-04  1.292622E-03  1.761715E-05  5.757321E-05  7.311748E-05
 2.811500E+02  8.933432E-01  5.216020E-03  2.568859E-04  9.858542E-02  2.600906E-04  5.483746E-06  1.036345E-07  9.298299E-04  1.265176E-03  1.637765E-05  5.348481E-05  6.795130E-05
 2.821500E+02  8.935046E-01  5.102174E-03  2.385194E-04  9.861803E-02  2.545910E-04  5.101251E-06  9.994988E-08  9.102735E-04  1.238506E-03  1.523326E-05  4.971326E-05  6.318372E-05
 2.831500E+02  8.936601E-01  4.991646E-03  2.215869E-04  9.864953E-02  2.492447E-04  4.747831E-06  9.642165E-08  8.912657E-04  1.212588E-03  1.417613E-05  4.623210E-05  5.878159E-05
 2.841500E+02  8.938101E-01  4.884322E-03  2.059677E-04  9.867997E-02  2.440467E-04  4.421108E-06  9.304228E-08  8.727884E-04  1.187396E-03  1.319910E-05  4.301723E-05  5.471471E-05
 2.851500E+02  8.939547E-01  4.780091E-03  1.915519E-04  9.870940E-02  2.389922E-04  4.118912E-06  8.980465E-08  8.548239E-04  1.162905E-03  1.229561E-05  4.004668E-05  5.095552E-05
 2.861500E+02  8.940944E-01  4.678846E-03  1.782395E-04  9.873787E-02  2.340766E-04  3.839259E-06  8.670201E-08  8.373553E-04  1.139093E-03  1.145971E-05  3.730043E-05  4.747891E-05
 2.871500E+02  8.942292E-01  4.580484E-03  1.659393E-04  9.876542E-02  2.292953E-04  3.580339E-06  8.372798E-08  8.203664E-04  1.115937E-03  1.068594E-05  3.476020E-05  4.426195E-05
 2.881500E+02  8.943594E-01  4.484907E-03  1.545682E-04  9.879210E-02  2.246441E-04  3.340495E-06  8.087648E-08  8.038414E-04  1.093416E-03  9.969318E-06  3.240930E-05  4.128368E-05
 2.891500E+02  8.944854E-01  4.392020E-03  1.440503E-04  9.881793E-02  2.201186E-04  3.118211E-06  7.814177E-08  7.877653E-04  1.071509E-03  9.305287E-06  3.023249E-05  3.852497E-05
 2.901500E+02  8.946071E-01  4.301732E-03  1.343166E-04  9.884295E-02  2.157150E-04  2.912101E-06  7.551840E-08  7.721234E-04  1.050195E-03  8.689680E-06  2.821584E-05  3.596834E-05
 2.911500E+02  8.947249E-01  4.213956E-03  1.253037E-04  9.886720E-02  2.114292E-04  2.720895E-06  7.300119E-08  7.569018E-04  1.029456E-03  8.118684E-06  2.634662E-05  3.359776E-05
 2.921500E+02  8.948389E-01  4.128608E-03  1.169540E-04  9.889072E-02  2.072576E-04  2.543430E-06  7.058524E-08  7.420869E-04  1.009273E-03  7.588804E-06  2.461318E-05  3.139860E-05
 2.931500E+02  8.949493E-01  4.045606E-03  1.092147E-04  9.891352E-02  2.031966E-04  2.378639E-06  6.826590E-08  7.276656E-04  9.896279E-04  7.096841E-06  2.300484E-05  2.935744E-05
 2.941500E+02  8.950562E-01  3.964873E-03  1.020375E-04  9.893565E-02  1.992426E-04  2.225545E-06  6.603874E-08  7.136254E-04  9.705037E-04  6.639859E-06  2.151184E-05  2.746199E-05
 2.951500E+02  8.951597E-01  3.886333E-03  9.537813E-05  9.895712E-02  1.953922E-04  2.083251E-06  6.389958E-08  6.999542E-04  9.518836E-04  6.215169E-06  2.012522E-05  2.570100E-05
 2.961500E+02  8.952602E-01  3.809916E-03  8.919620E-05  9.897797E-02  1.916423E-04  1.950932E-06  6.184443E-08  6.866404E-04  9.337517E-04  5.820301E-06  1.883678E-05  2.406412E-05
 2.971500E+02  8.953575E-01  3.735550E-03  8.345461E-05  9.899821E-02  1.879897E-04  1.827832E-06  5.986950E-08  6.736726E-04  9.160925E-04  5.452988E-06  1.763898E-05  2.254188E-05
 2.981500E+02  8.954519E-01  3.663170E-03  7.811937E-05  9.901787E-02  1.844314E-04  1.713257E-06  5.797121E-08  6.610400E-04  8.988911E-04  5.111147E-06  1.652493E-05  2.112558E-05
 2.991500E+02  8.955436E-01  3.592712E-03  7.315930E-05  9.903698E-02  1.809644E-04  1.606568E-06  5.614614E-08  6.487321E-04  8.821332E-04  4.792865E-06  1.548827E-05  1.980722E-05
 3.001500E+02  8.956325E-01  3.524113E-03  6.854579E-05  9.905555E-02  1.775860E-04  1.507177E-06  5.439104E-08  6.367390E-04  8.658050E-04  4.496382E-06  1.452316E-05  1.857945E-05
 3.011500E+02  8.957188E-01  3.457314E-03  6.425258E-05  9.907360E-02  1.742933E-04  1.414544E-06  5.270283E-08  6.250507E-04  8.498931E-04  4.220080E-06  1.362427E-05  1.743553E-05
 3.021500E+02  8.958027E-01  3.392257E-03  6.025554E-05  9.909116E-02  1.710839E-04  1.328170E-06  5.107857E-08  6.136580E-04  8.343846E-04  3.962468E-06  1.278665E-05  1.636922E-05
 3.031500E+02  8.958842E-01  3.328888E-03  5.653248E-05  9.910823E-02  1.679552E-04  1.247597E-06  4.951548E-08  6.025518E-04  8.192672E-04  3.722176E-06  1.200577E-05  1.537482E-05
