#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1            w1            w2          w3-1          w3-2          c1m1        c1m2-1        c1m2-7        c2m1-1        c1w1-2        c1w2-1        c2w1-1        c2w1-9        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3      c1m1w1-1
 2.731500E+02  1.978089E-01  1.277087E-04  2.182991E-08  2.865228E-08  3.187794E-08  3.801048E-08  4.911987E-01  2.001394E-03  8.801716E-05  1.998593E-01  1.351880E-03  9.300717E-05  1.304990E-06  1.002656E-02  7.765560E-06  2.548127E-05  1.043925E-06  9.404015E-02  3.496146E-05  9.316829E-07  8.181162E-07  1.308082E-03  1.780653E-03  7.534365E-05  6.704747E-05  8.491652E-05  1.581176E-05
 2.741500E+02  1.986418E-01  1.263963E-04  2.104352E-08  2.762948E-08  3.074229E-08  3.666791E-08  4.914028E-01  1.954027E-03  8.125802E-05  2.006472E-01  1.329838E-03  8.692027E-05  1.266979E-06  9.808501E-03  7.268802E-06  2.392850E-05  9.942389E-07  9.259844E-02  3.310882E-05  8.964082E-07  7.864623E-07  1.282566E-03  1.745807E-03  7.016337E-05  6.217968E-05  7.878276E-05  1.487839E-05
 2.751500E+02  1.994593E-01  1.250957E-04  2.028857E-08  2.664722E-08  2.965155E-08  3.537801E-08  4.916004E-01  1.908137E-03  7.506364E-05  2.014206E-01  1.308192E-03  8.126071E-05  1.230191E-06  9.596369E-03  6.806984E-06  2.248029E-05  9.471951E-07  9.118133E-02  3.136294E-05  8.626141E-07  7.561649E-07  1.257676E-03  1.711822E-03  6.536780E-05  5.769538E-05  7.313002E-05  1.400533E-05
 2.761500E+02  2.002617E-01  1.238071E-04  1.956375E-08  2.570380E-08  2.860387E-08  3.413860E-08  4.917916E-01  1.863669E-03  6.938330E-05  2.021797E-01  1.286937E-03  7.599672E-05  1.194587E-06  9.389988E-03  6.377449E-06  2.112900E-05  9.026409E-07  8.978854E-02  2.971728E-05  8.302346E-07  7.271624E-07  1.233397E-03  1.678676E-03  6.092647E-05  5.356217E-05  6.791785E-05  1.318839E-05
 2.771500E+02  2.010492E-01  1.225308E-04  1.886777E-08  2.479760E-08  2.759744E-08  3.294760E-08  4.919768E-01  1.820570E-03  6.417114E-05  2.029249E-01  1.266067E-03  7.109900E-05  1.160128E-06  9.189182E-03  5.977754E-06  1.986759E-05  8.604330E-07  8.841976E-02  2.816571E-05  7.992070E-07  6.993959E-07  1.209712E-03  1.646346E-03  5.681144E-05  4.975059E-05  6.310940E-05  1.242369E-05
 2.781500E+02  2.018220E-01  1.212668E-04  1.819942E-08  2.392706E-08  2.663054E-08  3.180299E-08  4.921562E-01  1.778792E-03  5.938563E-05  2.036562E-01  1.245578E-03  6.654053E-05  1.126776E-06  8.993783E-03  5.605655E-06  1.868957E-05  8.204367E-07  8.707469E-02  2.670247E-05  7.694710E-07  6.728092E-07  1.186604E-03  1.614808E-03  5.299712E-05  4.623377E-05  5.867112E-05  1.170762E-05
 2.791500E+02  2.025804E-01  1.200152E-04  1.755754E-08  2.309070E-08  2.570152E-08  3.070287E-08  4.923302E-01  1.738287E-03  5.498920E-05  2.043741E-01  1.225464E-03  6.229637E-05  1.094495E-06  8.803628E-03  5.259087E-06  1.758894E-05  7.825259E-07  8.575304E-02  2.532220E-05  7.409694E-07  6.473489E-07  1.164059E-03  1.584042E-03  4.946003E-05  4.298725E-05  5.457240E-05  1.103686E-05
 2.801500E+02  2.033246E-01  1.187764E-04  1.694101E-08  2.228708E-08  2.480881E-08  2.964540E-08  4.924988E-01  1.699007E-03  5.094778E-05  2.050786E-01  1.205719E-03  5.834352E-05  1.063249E-06  8.618557E-03  4.936152E-06  1.656017E-05  7.465819E-07  8.445448E-02  2.401987E-05  7.136475E-07  6.229639E-07  1.142061E-03  1.554027E-03  4.617862E-05  3.998873E-05  5.078535E-05  1.040831E-05
 2.811500E+02  2.040549E-01  1.175502E-04  1.634876E-08  2.151485E-08  2.395090E-08  2.862882E-08  4.926623E-01  1.660909E-03  4.723050E-05  2.057701E-01  1.186338E-03  5.466074E-05  1.033005E-06  8.438417E-03  4.635102E-06  1.559817E-05  7.124934E-07  8.317870E-02  2.279077E-05  6.874530E-07  5.996057E-07  1.120595E-03  1.524741E-03  4.313313E-05  3.721785E-05  4.728448E-05  9.819102E-06
 2.821500E+02  2.047714E-01  1.163369E-04  1.577977E-08  2.077270E-08  2.312634E-08  2.765145E-08  4.928209E-01  1.623951E-03  4.380934E-05  2.064488E-01  1.167315E-03  5.122843E-05  1.003729E-06  8.263060E-03  4.354328E-06  1.469820E-05  6.801558E-07  8.192538E-02  2.163050E-05  6.623363E-07  5.772279E-07  1.099647E-03  1.496166E-03  4.030542E-05  3.465604E-05  4.404656E-05  9.266585E-06
 2.831500E+02  2.054745E-01  1.151365E-04  1.523307E-08  2.005938E-08  2.233374E-08  2.671167E-08  4.929748E-01  1.588092E-03  4.065887E-05  2.071149E-01  1.148645E-03  4.802846E-05  9.753893E-07  8.092342E-03  4.092348E-06  1.385592E-05  6.494707E-07  8.069421E-02  2.053492E-05  6.382497E-07  5.557864E-07  1.079203E-03  1.468281E-03  3.767881E-05  3.228634E-05  4.105033E-05  8.748289E-06
 2.841500E+02  2.061644E-01  1.139490E-04  1.470773E-08  1.937368E-08  2.157179E-08  2.580794E-08  4.931242E-01  1.553293E-03  3.775599E-05  2.077687E-01  1.130321E-03  4.504411E-05  9.479539E-07  7.926123E-03  3.847795E-06  1.306729E-05  6.203460E-07  7.948485E-02  1.950016E-05  6.151479E-07  5.352391E-07  1.059249E-03  1.441068E-03  3.523799E-05  3.009326E-05  3.827639E-05  8.261923E-06
 2.851500E+02  2.068413E-01  1.127746E-04  1.420284E-08  1.871447E-08  2.083921E-08  2.493878E-08  4.932692E-01  1.519516E-03  3.507971E-05  2.084103E-01  1.112339E-03  4.225991E-05  9.213931E-07  7.764269E-03  3.619410E-06  1.232859E-05  5.926946E-07  7.829698E-02  1.852261E-05  5.929876E-07  5.155458E-07  1.039771E-03  1.414508E-03  3.296888E-05  2.806263E-05  3.570697E-05  7.805359E-06
