#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  2.898963E-01  2.621782E-04  6.277800E-08  8.239764E-08  9.167392E-08  1.093098E-07  6.861785E-01  3.733145E-03  2.192159E-04  1.962056E-02  2.029058E-05  6.657984E-05  2.861594E-06
 2.741500E+02  2.901408E-01  2.579196E-04  5.999018E-08  7.876523E-08  8.763912E-08  1.045317E-07  6.865223E-01  3.647861E-03  2.027051E-04  1.914395E-02  1.895756E-05  6.240724E-05  2.711012E-06
 2.751500E+02  2.903777E-01  2.537583E-04  5.734540E-08  7.531801E-08  8.380974E-08  9.999549E-08  6.868545E-01  3.565126E-03  1.875460E-04  1.868223E-02  1.772104E-05  5.852431E-05  2.569391E-06
 2.761500E+02  2.906071E-01  2.496920E-04  5.483547E-08  7.204549E-08  8.017414E-08  9.568750E-08  6.871756E-01  3.484851E-03  1.736199E-04  1.823485E-02  1.657346E-05  5.490920E-05  2.436143E-06
 2.771500E+02  2.908294E-01  2.457180E-04  5.245276E-08  6.893778E-08  7.672140E-08  9.159493E-08  6.874861E-01  3.406951E-03  1.608189E-04  1.780131E-02  1.550787E-05  5.154178E-05  2.310723E-06
 2.781500E+02  2.910449E-01  2.418341E-04  5.019006E-08  6.598564E-08  7.344125E-08  8.770575E-08  6.877864E-01  3.331342E-03  1.490454E-04  1.738110E-02  1.451793E-05  4.840358E-05  2.192624E-06
 2.791500E+02  2.912537E-01  2.380379E-04  4.804065E-08  6.318039E-08  7.032408E-08  8.400869E-08  6.880769E-01  3.257945E-03  1.382107E-04  1.697375E-02  1.359779E-05  4.547761E-05  2.081375E-06
 2.801500E+02  2.914562E-01  2.343271E-04  4.599819E-08  6.051384E-08  6.736084E-08  8.049313E-08  6.883580E-01  3.186685E-03  1.282343E-04  1.657879E-02  1.274212E-05  4.274822E-05  1.976536E-06
 2.811500E+02  2.916525E-01  2.306994E-04  4.405672E-08  5.797835E-08  6.454302E-08  7.714911E-08  6.886302E-01  3.117488E-03  1.190430E-04  1.619579E-02  1.194600E-05  4.020100E-05  1.877700E-06
 2.821500E+02  2.918429E-01  2.271528E-04  4.221068E-08  5.556670E-08  6.186265E-08  7.396727E-08  6.888937E-01  3.050284E-03  1.105702E-04  1.582432E-02  1.120494E-05  3.782269E-05  1.784487E-06
 2.831500E+02  2.920276E-01  2.236852E-04  4.045481E-08  5.327213E-08  5.931221E-08  7.093878E-08  6.891489E-01  2.985003E-03  1.027556E-04  1.546397E-02  1.051478E-05  3.560106E-05  1.696542E-06
 2.841500E+02  2.922068E-01  2.202944E-04  3.878418E-08  5.108826E-08  5.688466E-08  6.805536E-08  6.893962E-01  2.921582E-03  9.554389E-05  1.511436E-02  9.871723E-06  3.352483E-05  1.613537E-06
 2.851500E+02  2.923806E-01  2.169785E-04  3.719414E-08  4.900910E-08  5.457334E-08  6.530921E-08  6.896359E-01  2.859957E-03  8.888507E-05  1.477510E-02  9.272270E-06  3.158361E-05  1.535164E-06
 2.861500E+02  2.925493E-01  2.137356E-04  3.568035E-08  4.702901E-08  5.237201E-08  6.269300E-08  6.898681E-01  2.800068E-03  8.273340E-05  1.444584E-02  8.713200E-06  2.976779E-05  1.461136E-06
 2.871500E+02  2.927131E-01  2.105637E-04  3.423869E-08  4.514271E-08  5.027480E-08  6.019981E-08  6.900933E-01  2.741856E-03  7.704721E-05  1.412622E-02  8.191547E-06  2.806851E-05  1.391187E-06
 2.881500E+02  2.928721E-01  2.074611E-04  3.286530E-08  4.334519E-08  4.827615E-08  5.782314E-08  6.903118E-01  2.685266E-03  7.178849E-05  1.381593E-02  7.704581E-06  2.647760E-05  1.325066E-06
 2.891500E+02  2.930265E-01  2.044260E-04  3.155656E-08  4.163175E-08  4.637088E-08  5.555685E-08  6.905236E-01  2.630244E-03  6.692256E-05  1.351462E-02  7.249786E-06  2.498747E-05  1.262542E-06
 2.901500E+02  2.931764E-01  2.014565E-04  3.030903E-08  3.999796E-08  4.455405E-08  5.339517E-08  6.907292E-01  2.576738E-03  6.241773E-05  1.322200E-02  6.824844E-06  2.359115E-05  1.203396E-06
 2.911500E+02  2.933221E-01  1.985512E-04  2.911948E-08  3.843966E-08  4.282105E-08  5.133266E-08  6.909286E-01  2.524697E-03  5.824504E-05  1.293777E-02  6.427613E-06  2.228214E-05  1.147427E-06
 2.921500E+02  2.934635E-01  1.957082E-04  2.798490E-08  3.695291E-08  4.116751E-08  4.936418E-08  6.911223E-01  2.474075E-03  5.437805E-05  1.266165E-02  6.056122E-06  2.105448E-05  1.094444E-06
 2.931500E+02  2.936010E-01  1.929260E-04  2.690240E-08  3.553400E-08  3.958933E-08  4.748490E-08  6.913103E-01  2.424824E-03  5.079253E-05  1.239335E-02  5.708546E-06  1.990260E-05  1.044270E-06
 2.941500E+02  2.937346E-01  1.902031E-04  2.586930E-08  3.417943E-08  3.808262E-08  4.569024E-08  6.914929E-01  2.376900E-03  4.746632E-05  1.213262E-02  5.383204E-06  1.882139E-05  9.967384E-07
 2.951500E+02  2.938645E-01  1.875379E-04  2.488304E-08  3.288592E-08  3.664372E-08  4.397589E-08  6.916702E-01  2.330260E-03  4.437914E-05  1.187920E-02  5.078539E-06  1.780607E-05  9.516951E-07
 2.961500E+02  2.939907E-01  1.849290E-04  2.394123E-08  3.165035E-08  3.526919E-08  4.233780E-08  6.918425E-01  2.284862E-03  4.151240E-05  1.163285E-02  4.793114E-06  1.685224E-05  9.089945E-07
 2.971500E+02  2.941134E-01  1.823749E-04  2.304160E-08  3.046978E-08  3.395577E-08  4.077211E-08  6.920099E-01  2.240668E-03  3.884905E-05  1.139333E-02  4.525599E-06  1.595580E-05  8.685008E-07
 2.981500E+02  2.942328E-01  1.798743E-04  2.218202E-08  2.934144E-08  3.270038E-08  3.927521E-08  6.921726E-01  2.197638E-03  3.637347E-05  1.116042E-02  4.274762E-06  1.511296E-05  8.300865E-07
 2.991500E+02  2.943489E-01  1.774259E-04  2.136046E-08  2.826271E-08  3.150011E-08  3.784366E-08  6.923307E-01  2.155736E-03  3.407131E-05  1.093390E-02  4.039466E-06  1.432019E-05  7.936325E-07
 3.001500E+02  2.944618E-01  1.750282E-04  2.057502E-08  2.723112E-08  3.035221E-08  3.647422E-08  6.924845E-01  2.114925E-03  3.192941E-05  1.071355E-02  3.818653E-06  1.357422E-05  7.590270E-07
 3.011500E+02  2.945716E-01  1.726800E-04  1.982389E-08  2.624433E-08  2.925411E-08  3.516385E-08  6.926341E-01  2.075172E-03  2.993567E-05  1.049919E-02  3.611348E-06  1.287200E-05  7.261651E-07
 3.021500E+02  2.946785E-01  1.703802E-04  1.910539E-08  2.530013E-08  2.820333E-08  3.390963E-08  6.927795E-01  2.036443E-03  2.807898E-05  1.029061E-02  3.416643E-06  1.221072E-05  6.949486E-07
 3.031500E+02  2.947826E-01  1.681274E-04  1.841789E-08  2.439644E-08  2.719757E-08  3.270884E-08  6.929210E-01  1.998707E-03  2.634912E-05  1.008762E-02  3.233699E-06  1.158773E-05  6.652853E-07
 3.041500E+02  2.948838E-01  1.659206E-04  1.775988E-08  2.353127E-08  2.623463E-08  3.155888E-08  6.930587E-01  1.961933E-03  2.473668E-05  9.890049E-03  3.061734E-06  1.100060E-05  6.370886E-07
 3.051500E+02  2.949824E-01  1.637585E-04  1.712992E-08  2.270276E-08  2.531244E-08  3.045731E-08  6.931927E-01  1.926090E-03  2.323301E-05  9.697721E-03  2.900026E-06  1.044705E-05  6.102774E-07
 3.061500E+02  2.950784E-01  1.616401E-04  1.652665E-08  2.190914E-08  2.442903E-08  2.940181E-08  6.933231E-01  1.891151E-03  2.183015E-05  9.510469E-03  2.747903E-06  9.924956E-06  5.847752E-07
 3.071500E+02  2.951719E-01  1.595643E-04  1.594878E-08  2.114873E-08  2.358254E-08  2.839017E-08  6.934501E-01  1.857088E-03  2.052074E-05  9.328131E-03  2.604739E-06  9.432350E-06  5.605103E-07
 3.081500E+02  2.952629E-01  1.575300E-04  1.539509E-08  2.041995E-08  2.277122E-08  2.742032E-08  6.935737E-01  1.823874E-03  1.929803E-05  9.150552E-03  2.469955E-06  8.967392E-06  5.374155E-07
 3.091500E+02  2.953516E-01  1.555363E-04  1.486444E-08  1.972131E-08  2.199340E-08  2.649029E-08  6.936942E-01  1.791483E-03  1.815578E-05  8.977582E-03  2.343010E-06  8.528367E-06  5.154273E-07
 3.101500E+02  2.954380E-01  1.535821E-04  1.435572E-08  1.905137E-08  2.124750E-08  2.559821E-08  6.938114E-01  1.759891E-03  1.708822E-05  8.809077E-03  2.223404E-06  8.113676E-06  4.944862E-07
