#         T/K          A/kJ          G/kJ
  2.731500000000E+02  -1.039922313038E+01  -1.039248243517E+01
  2.741500000000E+02  -1.058616261748E+01  -1.057941772274E+01
  2.751500000000E+02  -1.077376645459E+01  -1.076701732988E+01
  2.761500000000E+02  -1.096202939992E+01  -1.095527601516E+01
  2.771500000000E+02  -1.115094633061E+01  -1.114418865524E+01
  2.781500000000E+02  -1.134051225158E+01  -1.133375025446E+01
  2.791500000000E+02  -1.153072230310E+01  -1.152395595251E+01
  2.801500000000E+02  -1.172157176409E+01  -1.171480102766E+01
  2.811500000000E+02  -1.191305605187E+01  -1.190628089657E+01
  2.821500000000E+02  -1.210517071763E+01  -1.209839110982E+01
  2.831500000000E+02  -1.229791144096E+01  -1.229112734640E+01
  2.841500000000E+02  -1.249127402417E+01  -1.248448540809E+01
  2.851500000000E+02  -1.268525437442E+01  -1.267846120155E+01
  2.861500000000E+02  -1.287984849899E+01  -1.287305073366E+01
  2.871500000000E+02  -1.307505249619E+01  -1.306825010241E+01
  2.881500000000E+02  -1.327086252928E+01  -1.326405547081E+01
  2.891500000000E+02  -1.346727482694E+01  -1.346046306743E+01
  2.901500000000E+02  -1.366428566320E+01  -1.365746916625E+01
  2.911500000000E+02  -1.386189134537E+01  -1.385507007467E+01
  2.921500000000E+02  -1.406008819981E+01  -1.405326211923E+01
  2.931500000000E+02  -1.425887256558E+01  -1.425204163928E+01
  2.941500000000E+02  -1.445824076927E+01  -1.445140496183E+01
  2.951500000000E+02  -1.465818912613E+01  -1.465134840265E+01
  2.961500000000E+02  -1.485871392061E+01  -1.485186824683E+01
  2.971500000000E+02  -1.505981140709E+01  -1.505296074950E+01
  2.981500000000E+02  -1.526147777989E+01  -1.525462210583E+01
  2.991500000000E+02  -1.546370918472E+01  -1.545684846249E+01
  3.001500000000E+02  -1.566650170019E+01  -1.565963589918E+01
  3.011500000000E+02  -1.586985133253E+01  -1.586298042327E+01
  3.021500000000E+02  -1.607375400905E+01  -1.606687796336E+01
  3.031500000000E+02  -1.627820557253E+01  -1.627132436357E+01
  3.041500000000E+02  -1.648320177652E+01  -1.647631537890E+01
  3.051500000000E+02  -1.668873828153E+01  -1.668184667137E+01
  3.061500000000E+02  -1.689481065218E+01  -1.688791380720E+01
  3.071500000000E+02  -1.710141435532E+01  -1.709451225488E+01
  3.081500000000E+02  -1.730854475907E+01  -1.730163738426E+01
  3.091500000000E+02  -1.751619713181E+01  -1.750928446548E+01
  3.101500000000E+02  -1.772436664826E+01  -1.771744867504E+01
  3.111500000000E+02  -1.793304838227E+01  -1.792612508863E+01
  3.121500000000E+02  -1.814223731747E+01  -1.813530869172E+01
  3.131500000000E+02  -1.835192834840E+01  -1.834499438070E+01
  3.141500000000E+02  -1.856211628536E+01  -1.855517696773E+01
  3.151500000000E+02  -1.877279586006E+01  -1.876585118637E+01
  3.161500000000E+02  -1.898396173213E+01  -1.897701169803E+01
  3.171500000000E+02  -1.919560849628E+01  -1.918865309923E+01
  3.181500000000E+02  -1.940773069025E+01  -1.940076992944E+01
  3.191500000000E+02  -1.962032280336E+01  -1.961335667965E+01
  3.201500000000E+02  -1.983337928563E+01  -1.982640780151E+01
  3.211500000000E+02  -2.004689455735E+01  -2.003991771685E+01
  3.221500000000E+02  -2.026086301902E+01  -2.025388082762E+01
  3.231500000000E+02  -2.047527906160E+01  -2.046829152617E+01
  3.241500000000E+02  -2.069013707594E+01  -2.068314420461E+01
  3.251500000000E+02  -2.090543146765E+01  -2.089843326973E+01
  3.261500000000E+02  -2.112115665938E+01  -2.111415314524E+01
  3.271500000000E+02  -2.133730710815E+01  -2.133029828913E+01
  3.281500000000E+02  -2.155387731263E+01  -2.154686320092E+01
  3.291500000000E+02  -2.177086182297E+01  -2.176384243148E+01
  3.301500000000E+02  -2.198825524996E+01  -2.198123059223E+01
  3.311500000000E+02  -2.220605227372E+01  -2.219902236382E+01
  3.321500000000E+02  -2.242424765177E+01  -2.241721250415E+01
  3.331500000000E+02  -2.264283622632E+01  -2.263579585575E+01
  3.341500000000E+02  -2.286181293098E+01  -2.285476735243E+01
  3.351500000000E+02  -2.308117279493E+01  -2.307412202347E+01
  3.361500000000E+02  -2.330091095639E+01  -2.329385500712E+01
  3.371500000000E+02  -2.352102265123E+01  -2.351396153918E+01
  3.381500000000E+02  -2.374150323086E+01  -2.373443697092E+01
  3.391500000000E+02  -2.396234815918E+01  -2.395527676605E+01
  3.401500000000E+02  -2.418355301526E+01  -2.417647650336E+01
  3.411500000000E+02  -2.440511349485E+01  -2.439803187826E+01
  3.421500000000E+02  -2.462702541110E+01  -2.461993870355E+01
  3.431500000000E+02  -2.484928469474E+01  -2.484219290954E+01
  3.441500000000E+02  -2.507188738808E+01  -2.506479053914E+01
  3.451500000000E+02  -2.529482966518E+01  -2.528772776382E+01
  3.461500000000E+02  -2.551810780248E+01  -2.551100086060E+01
  3.471500000000E+02  -2.574171818884E+01  -2.573460621779E+01
  3.481500000000E+02  -2.596565732760E+01  -2.595854033822E+01
  3.491500000000E+02  -2.618992182995E+01  -2.618279983255E+01
  3.501500000000E+02  -2.641450841274E+01  -2.640738141708E+01
  3.511500000000E+02  -2.663941389573E+01  -2.663228191101E+01
  3.521500000000E+02  -2.686463519853E+01  -2.685749823342E+01
  3.531500000000E+02  -3.000249712315E+01  -2.711667658306E+01
  3.541500000000E+02  -3.030696646860E+01  -2.741240774008E+01
  3.551500000000E+02  -3.061162609100E+01  -2.770833472135E+01
  3.561500000000E+02  -3.091647560407E+01  -2.800445706221E+01
  3.571500000000E+02  -3.122151462488E+01  -2.830077430228E+01
  3.581500000000E+02  -3.152674277375E+01  -2.859728598541E+01
  3.591500000000E+02  -3.183215967422E+01  -2.889399165961E+01
  3.601500000000E+02  -3.213776495292E+01  -2.919089087693E+01
  3.611500000000E+02  -3.244355824000E+01  -2.948798319388E+01
  3.621500000000E+02  -3.274953916723E+01  -2.978526816957E+01
  3.631500000000E+02  -3.305570737065E+01  -3.008274536831E+01
  3.641500000000E+02  -3.336206248869E+01  -3.038041435773E+01
  3.651500000000E+02  -3.366860416256E+01  -3.067827470920E+01
  3.661500000000E+02  -3.397533203619E+01  -3.097632599775E+01
  3.671500000000E+02  -3.428224575618E+01  -3.127456780198E+01
  3.681500000000E+02  -3.458934497173E+01  -3.157299970406E+01
  3.691500000000E+02  -3.489662933458E+01  -3.187162128959E+01
  3.701500000000E+02  -3.520409849897E+01  -3.217043214760E+01
  3.711500000000E+02  -3.551175212158E+01  -3.246943187047E+01
  3.721500000000E+02  -3.581958986148E+01  -3.276862005385E+01
  3.731500000000E+02  -3.612761138007E+01  -3.306799629666E+01
  3.741500000000E+02  -3.643581634105E+01  -3.336756020096E+01
  3.751500000000E+02  -3.674420441037E+01  -3.366731137198E+01
  3.761500000000E+02  -3.705277525617E+01  -3.396724941797E+01
  3.771500000000E+02  -3.736152854874E+01  -3.426737395026E+01
  3.781500000000E+02  -3.767046396049E+01  -3.456768458309E+01
  3.791500000000E+02  -3.797958116591E+01  -3.486818093366E+01
  3.801500000000E+02  -3.828887984150E+01  -3.516886262202E+01
  3.811500000000E+02  -3.859835966577E+01  -3.546972927106E+01
  3.821500000000E+02  -3.890802031917E+01  -3.577078050642E+01
  3.831500000000E+02  -3.921786148407E+01  -3.607201595651E+01
  3.841500000000E+02  -3.952788284473E+01  -3.637343525238E+01
  3.851500000000E+02  -3.983808408725E+01  -3.667503802775E+01
  3.861500000000E+02  -4.014846489953E+01  -3.697682391893E+01
  3.871500000000E+02  -4.045902497127E+01  -3.727879256478E+01
  3.881500000000E+02  -4.076976399392E+01  -3.758094360670E+01
  3.891500000000E+02  -4.108068166061E+01  -3.788327668852E+01
  3.901500000000E+02  -4.139177766621E+01  -3.818579145656E+01
  3.911500000000E+02  -4.170305170721E+01  -3.848848755948E+01
  3.921500000000E+02  -4.201450348175E+01  -3.879136464835E+01
  3.931500000000E+02  -4.232613268955E+01  -3.909442237653E+01
  3.941500000000E+02  -4.263793903192E+01  -3.939766039967E+01
  3.951500000000E+02  -4.294992221173E+01  -3.970107837568E+01
  3.961500000000E+02  -4.326208193336E+01  -4.000467596467E+01
  3.971500000000E+02  -4.357441790268E+01  -4.030845282894E+01
  3.981500000000E+02  -4.388692982706E+01  -4.061240863295E+01
  3.991500000000E+02  -4.419961741518E+01  -4.091654304313E+01
