#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8
 2.921500E+02  1.181248E+00  7.963380E-01  1.534802E-01  2.026643E-01  2.257789E-01  2.707326E-01  1.888596E-01  8.390188E-02  1.201995E-03  7.849662E-02  1.702030E-01  1.759269E-01  2.430945E-01  2.062035E-02  1.994681E-01  1.522217E-01  1.119612E-01  1.447803E-01  9.073085E-03
 2.931500E+02  1.210020E+00  8.150175E-01  1.553271E-01  2.051635E-01  2.285779E-01  2.741648E-01  1.879513E-01  8.374636E-02  1.203921E-03  7.834206E-02  1.700211E-01  1.756362E-01  2.425441E-01  1.998488E-02  1.949891E-01  1.487483E-01  1.095610E-01  1.381434E-01  8.671731E-03
 2.941500E+02  1.239147E+00  8.338068E-01  1.571272E-01  2.076021E-01  2.313096E-01  2.775174E-01  1.869640E-01  8.355212E-02  1.205260E-03  7.815138E-02  1.697593E-01  1.752639E-01  2.418828E-01  1.936147E-02  1.905255E-01  1.452896E-01  1.071635E-01  1.317575E-01  8.284690E-03
 2.951500E+02  1.268624E+00  8.526963E-01  1.588792E-01  2.099779E-01  2.339716E-01  2.807878E-01  1.858998E-01  8.331986E-02  1.206017E-03  7.792524E-02  1.694188E-01  1.748115E-01  2.411128E-01  1.875031E-02  1.860820E-01  1.418489E-01  1.047715E-01  1.256167E-01  7.911685E-03
 2.961500E+02  1.298444E+00  8.716760E-01  1.605815E-01  2.122891E-01  2.365618E-01  2.839732E-01  1.847610E-01  8.305035E-02  1.206198E-03  7.766435E-02  1.690010E-01  1.742804E-01  2.402363E-01  1.815157E-02  1.816629E-01  1.384298E-01  1.023876E-01  1.197151E-01  7.552429E-03
 2.971500E+02  1.328601E+00  8.907359E-01  1.622330E-01  2.145339E-01  2.390783E-01  2.870713E-01  1.835500E-01  8.274437E-02  1.205809E-03  7.736949E-02  1.685074E-01  1.736723E-01  2.392557E-01  1.756539E-02  1.772726E-01  1.350353E-01  1.000142E-01  1.140467E-01  7.206624E-03
 2.981500E+02  1.359087E+00  9.098658E-01  1.638324E-01  2.167106E-01  2.415191E-01  2.900796E-01  1.822693E-01  8.240278E-02  1.204857E-03  7.704146E-02  1.679395E-01  1.729889E-01  2.381737E-01  1.699189E-02  1.729150E-01  1.316685E-01  9.765383E-02  1.086053E-01  6.873966E-03
 2.991500E+02  1.389895E+00  9.290557E-01  1.653786E-01  2.188177E-01  2.438825E-01  2.929960E-01  1.809213E-01  8.202649E-02  1.203351E-03  7.668110E-02  1.672990E-01  1.722321E-01  2.369930E-01  1.643115E-02  1.685941E-01  1.283323E-01  9.530866E-02  1.033849E-01  6.554143E-03
 3.001500E+02  1.421019E+00  9.482954E-01  1.668704E-01  2.208537E-01  2.461669E-01  2.958185E-01  1.795087E-01  8.161642E-02  1.201299E-03  7.628930E-02  1.665877E-01  1.714039E-01  2.357162E-01  1.588324E-02  1.643134E-01  1.250294E-01  9.298087E-02  9.837929E-02  6.246840E-03
 3.011500E+02  1.452449E+00  9.675745E-01  1.683071E-01  2.228173E-01  2.483706E-01  2.985450E-01  1.780341E-01  8.117355E-02  1.198711E-03  7.586698E-02  1.658074E-01  1.705062E-01  2.343465E-01  1.534821E-02  1.600764E-01  1.217623E-01  9.067253E-02  9.358218E-02  5.951733E-03
 3.021500E+02  1.484178E+00  9.868828E-01  1.696876E-01  2.247072E-01  2.504924E-01  3.011738E-01  1.765002E-01  8.069888E-02  1.195597E-03  7.541509E-02  1.649601E-01  1.695411E-01  2.328866E-01  1.482606E-02  1.558864E-01  1.185335E-01  8.838558E-02  8.898740E-02  5.668500E-03
 3.031500E+02  1.516199E+00  1.006210E+00  1.710112E-01  2.265223E-01  2.525310E-01  3.037035E-01  1.749095E-01  8.019346E-02  1.191969E-03  7.493460E-02  1.640477E-01  1.685107E-01  2.313398E-01  1.431681E-02  1.517463E-01  1.153451E-01  8.612185E-02  8.458875E-02  5.396811E-03
 3.041500E+02  1.548502E+00  1.025546E+00  1.722771E-01  2.282617E-01  2.544852E-01  3.061324E-01  1.732650E-01  7.965834E-02  1.187838E-03  7.442652E-02  1.630723E-01  1.674174E-01  2.297092E-01  1.382042E-02  1.476589E-01  1.121992E-01  8.388308E-02  8.038005E-02  5.136338E-03
 3.051500E+02  1.581080E+00  1.044880E+00  1.734849E-01  2.299243E-01  2.563541E-01  3.084594E-01  1.715692E-01  7.909461E-02  1.183216E-03  7.389188E-02  1.620361E-01  1.662632E-01  2.279979E-01  1.333685E-02  1.436269E-01  1.090978E-01  8.167085E-02  7.635517E-02  4.886752E-03
 3.061500E+02  1.613924E+00  1.064203E+00  1.746339E-01  2.315096E-01  2.581368E-01  3.106832E-01  1.698251E-01  7.850339E-02  1.178117E-03  7.333170E-02  1.609412E-01  1.650506E-01  2.262093E-01  1.286605E-02  1.396526E-01  1.060426E-01  7.948668E-02  7.250802E-02  4.647723E-03
 3.071500E+02  1.647025E+00  1.083504E+00  1.757237E-01  2.330167E-01  2.598325E-01  3.128029E-01  1.680352E-01  7.788580E-02  1.172553E-03  7.274706E-02  1.597897E-01  1.637819E-01  2.243466E-01  1.240793E-02  1.357383E-01  1.030351E-01  7.733195E-02  6.883256E-02  4.418922E-03
 3.081500E+02  1.680375E+00  1.102772E+00  1.767539E-01  2.344452E-01  2.614406E-01  3.148177E-01  1.662024E-01  7.724298E-02  1.166538E-03  7.213903E-02  1.585841E-01  1.624594E-01  2.224133E-01  1.196239E-02  1.318859E-01  1.000770E-01  7.520794E-02  6.532285E-02  4.200022E-03
 3.091500E+02  1.713963E+00  1.121999E+00  1.777242E-01  2.357947E-01  2.629606E-01  3.167269E-01  1.643294E-01  7.657607E-02  1.160087E-03  7.150868E-02  1.573264E-01  1.610856E-01  2.204126E-01  1.152933E-02  1.280973E-01  9.716937E-02  7.311581E-02  6.197301E-02  3.990700E-03
 3.101500E+02  1.747782E+00  1.141174E+00  1.786346E-01  2.370647E-01  2.643921E-01  3.185299E-01  1.624190E-01  7.588625E-02  1.153214E-03  7.085709E-02  1.560190E-01  1.596628E-01  2.183479E-01  1.110862E-02  1.243741E-01  9.431349E-02  7.105664E-02  5.877725E-02  3.790633E-03
