#         T/K          A/kJ          G/kJ
  2.731500000000E+02   1.158141228606E+01   1.158498768137E+01
  2.741500000000E+02   1.146210901574E+01   1.146568586273E+01
  2.751500000000E+02   1.134237159271E+01   1.134594990093E+01
  2.761500000000E+02   1.122220139074E+01   1.122578116871E+01
  2.771500000000E+02   1.110159999231E+01   1.110518124772E+01
  2.781500000000E+02   1.098056917971E+01   1.098415191945E+01
  2.791500000000E+02   1.085911092354E+01   1.086269515371E+01
  2.801500000000E+02   1.073722737096E+01   1.074081309693E+01
  2.811500000000E+02   1.061492083341E+01   1.061850805980E+01
  2.821500000000E+02   1.049219377421E+01   1.049578250495E+01
  2.831500000000E+02   1.036904879588E+01   1.037263903426E+01
  2.841500000000E+02   1.024548862762E+01   1.024908037629E+01
  2.851500000000E+02   1.012151611276E+01   1.012510937378E+01
  2.861500000000E+02   9.997134196664E+00   1.000072897157E+01
  2.871500000000E+02   9.872345914629E+00   9.875942204418E+00
  2.881500000000E+02   9.747154380403E+00   9.750752185612E+00
  2.891500000000E+02   9.621562774681E+00   9.625162095407E+00
  2.901500000000E+02   9.495574335014E+00   9.499175170952E+00
  2.911500000000E+02   9.369192344935E+00   9.372794695415E+00
  2.921500000000E+02   9.242420124822E+00   9.246023988841E+00
  2.931500000000E+02   9.115261021237E+00   9.118866397497E+00
  2.941500000000E+02   8.987718400998E+00   8.991325287937E+00
  2.951500000000E+02   8.859795640291E+00   8.863404036113E+00
  2.961500000000E+02   8.731496118360E+00   8.735106021068E+00
  2.971500000000E+02   8.602823210165E+00   8.606434617590E+00
  2.981500000000E+02   8.473780279461E+00   8.477393189290E+00
  2.991500000000E+02   8.344370673156E+00   8.347985082961E+00
  3.001500000000E+02   8.214597715053E+00   8.218213622314E+00
  3.011500000000E+02   8.084464700822E+00   8.088082102957E+00
  3.021500000000E+02   7.953974893102E+00   7.957593787485E+00
  3.031500000000E+02   7.823131516903E+00   7.826751900895E+00
  3.041500000000E+02   7.691937755719E+00   7.695559626681E+00
  3.051500000000E+02   7.560396747551E+00   7.564020102874E+00
  3.061500000000E+02   7.428511581594E+00   7.432136418715E+00
  3.071500000000E+02   7.296285295121E+00   7.299911611542E+00
  3.081500000000E+02   7.163720870579E+00   7.167348663887E+00
  3.091500000000E+02   7.030821233230E+00   7.034450501115E+00
  3.101500000000E+02   6.897589248701E+00   6.901219988971E+00
  3.111500000000E+02   6.764027721034E+00   6.767659931636E+00
  3.121500000000E+02   6.630139390910E+00   6.633773069940E+00
  3.131500000000E+02   6.495926933897E+00   6.499562079617E+00
  3.141500000000E+02   6.361392959389E+00   6.365029570245E+00
  3.151500000000E+02   6.226540009103E+00   6.230178083732E+00
  3.161500000000E+02   6.091370556215E+00   6.095010093462E+00
  3.171500000000E+02   5.955887004590E+00   5.959528003519E+00
  3.181500000000E+02   5.820091687558E+00   5.823734147467E+00
  3.191500000000E+02   5.683986868419E+00   5.687630788846E+00
  3.201500000000E+02   5.547574738997E+00   5.551220119733E+00
  3.211500000000E+02   5.410857419850E+00   5.414504260950E+00
  3.221500000000E+02   5.273836960012E+00   5.277485261805E+00
  3.231500000000E+02   5.136515336960E+00   5.140165100057E+00
  3.241500000000E+02   4.998894456497E+00   5.002545681800E+00
  3.251500000000E+02   4.860976153196E+00   4.864628841907E+00
  3.261500000000E+02   4.722762190312E+00   4.726416343939E+00
  3.271500000000E+02   4.584254260227E+00   4.587909880595E+00
  3.281500000000E+02   4.445453984793E+00   4.449111074048E+00
  3.291500000000E+02   4.306362915790E+00   4.310021476409E+00
  3.301500000000E+02   4.166982535324E+00   4.170642570118E+00
  3.311500000000E+02   4.027314256573E+00   4.030975768696E+00
  3.321500000000E+02   3.887359424199E+00   3.891022417154E+00
  3.331500000000E+02   3.747119315091E+00   3.750783792733E+00
  3.341500000000E+02   3.606595139954E+00   3.610261106498E+00
  3.351500000000E+02   3.465788039417E+00   3.469455499443E+00
  3.361500000000E+02   3.324699094039E+00   3.328368052496E+00
  3.371500000000E+02   3.183329318346E+00   3.186999780558E+00
  3.381500000000E+02   3.041679653695E+00   3.045351625365E+00
  3.391500000000E+02   2.899750993379E+00   2.903424480593E+00
  3.401500000000E+02   2.757544158208E+00   2.761219167440E+00
  3.411500000000E+02   2.615059910109E+00   2.618736448227E+00
  3.421500000000E+02   2.472298950381E+00   2.475977024646E+00
  3.431500000000E+02   2.329261920547E+00   2.332941538622E+00
  3.441500000000E+02   2.185949403435E+00   2.189630573387E+00
  3.451500000000E+02   2.042361923900E+00   2.046044654204E+00
  3.461500000000E+02   1.898499950891E+00   1.902184250432E+00
  3.471500000000E+02   1.754363892959E+00   1.758049771038E+00
  3.481500000000E+02  -1.272193047921E+00   1.537088868879E+00
  3.491500000000E+02  -1.518465008385E+00   1.299837489184E+00
  3.501500000000E+02  -1.764871702824E+00   1.062441663542E+00
  3.511500000000E+02  -2.011412767743E+00   8.249019047567E-01
  3.521500000000E+02  -2.258087844496E+00   5.872187184831E-01
  3.531500000000E+02  -2.504896579168E+00   3.493926033804E-01
  3.541500000000E+02  -2.751838622456E+00   1.114240512620E-01
  3.551500000000E+02  -2.998913629554E+00  -1.266864527598E-01
  3.561500000000E+02  -3.246121260043E+00  -3.649384301316E-01
  3.571500000000E+02  -3.493461177786E+00  -6.033314087202E-01
  3.581500000000E+02  -3.740933050813E+00  -8.418649226791E-01
  3.591500000000E+02  -3.988536551228E+00  -1.080538512317E+00
  3.601500000000E+02  -4.236271355104E+00  -1.319351723968E+00
  3.611500000000E+02  -4.484137142386E+00  -1.558304109870E+00
  3.621500000000E+02  -4.732133596794E+00  -1.797395228041E+00
  3.631500000000E+02  -4.980260405738E+00  -2.036624642158E+00
  3.641500000000E+02  -5.228517260271E+00  -2.275991921496E+00
  3.651500000000E+02  -5.476903854800E+00  -2.515496640610E+00
  3.661500000000E+02  -5.725419887316E+00  -2.755138379531E+00
  3.671500000000E+02  -5.974065059094E+00  -2.994916723452E+00
  3.681500000000E+02  -6.222839074676E+00  -3.234831262675E+00
  3.691500000000E+02  -6.471741641785E+00  -3.474881592507E+00
  3.701500000000E+02  -6.720772471254E+00  -3.715067313162E+00
  3.711500000000E+02  -6.969931276953E+00  -3.955388029664E+00
  3.721500000000E+02  -7.219217775717E+00  -4.195843351746E+00
  3.731500000000E+02  -7.468631687276E+00  -4.436432893762E+00
  3.741500000000E+02  -7.718172734192E+00  -4.677156274594E+00
  3.751500000000E+02  -7.967840641790E+00  -4.918013117563E+00
  3.761500000000E+02  -8.217635138095E+00  -5.159003050339E+00
  3.771500000000E+02  -8.467555953776E+00  -5.400125704864E+00
  3.781500000000E+02  -8.717602822080E+00  -5.641380717258E+00
  3.791500000000E+02  -8.967775478779E+00  -5.882767727749E+00
  3.801500000000E+02  -9.218073662113E+00  -6.124286380584E+00
  3.811500000000E+02  -9.468497112734E+00  -6.365936323959E+00
  3.821500000000E+02  -9.719045573655E+00  -6.607717209940E+00
  3.831500000000E+02  -9.969718790198E+00  -6.849628694388E+00
  3.841500000000E+02  -1.022051650995E+01  -7.091670436889E+00
  3.851500000000E+02  -1.047143848269E+01  -7.333842100683E+00
  3.861500000000E+02  -1.072248446040E+01  -7.576143352595E+00
  3.871500000000E+02  -1.097365419714E+01  -7.818573862968E+00
  3.881500000000E+02  -1.122494744907E+01  -8.061133305593E+00
  3.891500000000E+02  -1.147636397438E+01  -8.303821357652E+00
  3.901500000000E+02  -1.172790353323E+01  -8.546637699650E+00
  3.911500000000E+02  -1.197956588777E+01  -8.789582015354E+00
  3.921500000000E+02  -1.223135080202E+01  -9.032653991734E+00
  3.931500000000E+02  -1.248325804190E+01  -9.275853318903E+00
  3.941500000000E+02  -1.273528737515E+01  -9.519179690061E+00
  3.951500000000E+02  -1.298743857133E+01  -9.762632801439E+00
  3.961500000000E+02  -1.323971140173E+01  -1.000621235224E+01
  3.971500000000E+02  -1.349210563941E+01  -1.024991804460E+01
  3.981500000000E+02  -1.374462105911E+01  -1.049374958350E+01
  3.991500000000E+02  -1.399725743730E+01  -1.073770667683E+01
