#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 3.021500E+02  1.216810E-01  2.301166E-02  2.721720E-02  7.602536E-01  5.874770E-01  1.916222E+00  4.792633E-01  2.624407E-01  1.402099E-01  1.877480E-01  7.395728E-02  3.161855E-01
 3.031500E+02  1.257309E-01  2.406844E-02  2.807656E-02  7.660393E-01  5.874894E-01  1.918558E+00  4.755501E-01  2.617033E-01  1.392048E-01  1.864276E-01  7.365901E-02  3.152895E-01
 3.041500E+02  1.298887E-01  2.516636E-02  2.895684E-02  7.718118E-01  5.874821E-01  1.920818E+00  4.718696E-01  2.609619E-01  1.382074E-01  1.851171E-01  7.336079E-02  3.143887E-01
 3.051500E+02  1.341567E-01  2.630674E-02  2.985839E-02  7.775708E-01  5.874552E-01  1.923001E+00  4.682213E-01  2.602165E-01  1.372177E-01  1.838163E-01  7.306262E-02  3.134832E-01
 3.061500E+02  1.385370E-01  2.749090E-02  3.078155E-02  7.833157E-01  5.874087E-01  1.925107E+00  4.646047E-01  2.594670E-01  1.362356E-01  1.825251E-01  7.276448E-02  3.125729E-01
 3.071500E+02  1.430319E-01  2.872022E-02  3.172667E-02  7.890463E-01  5.873427E-01  1.927137E+00  4.610191E-01  2.587135E-01  1.352608E-01  1.812433E-01  7.246635E-02  3.116578E-01
 3.081500E+02  1.476436E-01  2.999608E-02  3.269408E-02  7.947620E-01  5.872572E-01  1.929090E+00  4.574642E-01  2.579559E-01  1.342934E-01  1.799707E-01  7.216823E-02  3.107380E-01
 3.091500E+02  1.523745E-01  3.131994E-02  3.368414E-02  8.004625E-01  5.871522E-01  1.930967E+00  4.539392E-01  2.571943E-01  1.333332E-01  1.787073E-01  7.187010E-02  3.098133E-01
 3.101500E+02  1.572269E-01  3.269324E-02  3.469719E-02  8.061473E-01  5.870278E-01  1.932767E+00  4.504438E-01  2.564285E-01  1.323799E-01  1.774527E-01  7.157194E-02  3.088837E-01
 3.111500E+02  1.622032E-01  3.411749E-02  3.573360E-02  8.118160E-01  5.868839E-01  1.934491E+00  4.469773E-01  2.556586E-01  1.314336E-01  1.762069E-01  7.127374E-02  3.079492E-01
 3.121500E+02  1.673057E-01  3.559422E-02  3.679370E-02  8.174682E-01  5.867207E-01  1.936138E+00  4.435393E-01  2.548845E-01  1.304941E-01  1.749697E-01  7.097548E-02  3.070098E-01
 3.131500E+02  1.725370E-01  3.712501E-02  3.787787E-02  8.231034E-01  5.865380E-01  1.937707E+00  4.401291E-01  2.541062E-01  1.295613E-01  1.737410E-01  7.067714E-02  3.060655E-01
 3.141500E+02  1.778995E-01  3.871146E-02  3.898644E-02  8.287212E-01  5.863359E-01  1.939200E+00  4.367464E-01  2.533237E-01  1.286350E-01  1.725206E-01  7.037871E-02  3.051161E-01
 3.151500E+02  1.833957E-01  4.035521E-02  4.011979E-02  8.343211E-01  5.861144E-01  1.940616E+00  4.333907E-01  2.525369E-01  1.277151E-01  1.713083E-01  7.008017E-02  3.041616E-01
 3.161500E+02  1.890282E-01  4.205794E-02  4.127827E-02  8.399028E-01  5.858735E-01  1.941955E+00  4.300613E-01  2.517457E-01  1.268015E-01  1.701039E-01  6.978150E-02  3.032020E-01
 3.171500E+02  1.947997E-01  4.382136E-02  4.246224E-02  8.454657E-01  5.856131E-01  1.943216E+00  4.267578E-01  2.509502E-01  1.258941E-01  1.689074E-01  6.948267E-02  3.022373E-01
 3.181500E+02  2.007128E-01  4.564724E-02  4.367207E-02  8.510094E-01  5.853333E-01  1.944400E+00  4.234798E-01  2.501503E-01  1.249928E-01  1.677186E-01  6.918368E-02  3.012673E-01
 3.191500E+02  2.067701E-01  4.753736E-02  4.490811E-02  8.565335E-01  5.850339E-01  1.945505E+00  4.202267E-01  2.493459E-01  1.240974E-01  1.665374E-01  6.888449E-02  3.002920E-01
 3.201500E+02  2.129744E-01  4.949356E-02  4.617075E-02  8.620374E-01  5.847151E-01  1.946533E+00  4.169980E-01  2.485371E-01  1.232078E-01  1.653635E-01  6.858509E-02  2.993114E-01
 3.211500E+02  2.193286E-01  5.151771E-02  4.746033E-02  8.675208E-01  5.843766E-01  1.947482E+00  4.137933E-01  2.477236E-01  1.223239E-01  1.641968E-01  6.828545E-02  2.983253E-01
 3.221500E+02  2.258353E-01  5.361172E-02  4.877723E-02  8.729832E-01  5.840184E-01  1.948352E+00  4.106122E-01  2.469055E-01  1.214457E-01  1.630372E-01  6.798556E-02  2.973338E-01
 3.231500E+02  2.325005E-01  5.577810E-02  5.012215E-02  8.784270E-01  5.836408E-01  1.949144E+00  4.074529E-01  2.460821E-01  1.205726E-01  1.618841E-01  6.768519E-02  2.963359E-01
 3.241500E+02  2.393213E-01  5.801780E-02  5.149483E-02  8.838460E-01  5.832432E-01  1.949856E+00  4.043174E-01  2.452545E-01  1.197051E-01  1.607382E-01  6.738471E-02  2.953331E-01
 3.251500E+02  2.463035E-01  6.033336E-02  5.289593E-02  8.892424E-01  5.828257E-01  1.950489E+00  4.012039E-01  2.444222E-01  1.188429E-01  1.595990E-01  6.708390E-02  2.943247E-01
 3.261500E+02  2.534502E-01  6.272687E-02  5.432584E-02  8.946159E-01  5.823884E-01  1.951042E+00  3.981122E-01  2.435850E-01  1.179859E-01  1.584663E-01  6.678274E-02  2.933104E-01
 3.271500E+02  2.607643E-01  6.520044E-02  5.578492E-02  8.999659E-01  5.819310E-01  1.951514E+00  3.950416E-01  2.427428E-01  1.171339E-01  1.573399E-01  6.648120E-02  2.922903E-01
 3.281500E+02  2.682490E-01  6.775627E-02  5.727355E-02  9.052919E-01  5.814535E-01  1.951905E+00  3.919919E-01  2.418956E-01  1.162868E-01  1.562197E-01  6.617926E-02  2.912642E-01
 3.291500E+02  2.759076E-01  7.039655E-02  5.879210E-02  9.105933E-01  5.809559E-01  1.952215E+00  3.889624E-01  2.410433E-01  1.154445E-01  1.551056E-01  6.587690E-02  2.902321E-01
 3.301500E+02  2.837431E-01  7.312357E-02  6.034096E-02  9.158698E-01  5.804379E-01  1.952443E+00  3.859529E-01  2.401859E-01  1.146069E-01  1.539974E-01  6.557408E-02  2.891938E-01
 3.311500E+02  2.917590E-01  7.593962E-02  6.192048E-02  9.211206E-01  5.798996E-01  1.952589E+00  3.829629E-01  2.393232E-01  1.137739E-01  1.528951E-01  6.527079E-02  2.881493E-01
 3.321500E+02  2.999585E-01  7.884707E-02  6.353105E-02  9.263453E-01  5.793407E-01  1.952653E+00  3.799919E-01  2.384552E-01  1.129454E-01  1.517983E-01  6.496698E-02  2.870984E-01
 3.331500E+02  3.083451E-01  8.184832E-02  6.517305E-02  9.315433E-01  5.787611E-01  1.952633E+00  3.770396E-01  2.375818E-01  1.121213E-01  1.507071E-01  6.466265E-02  2.860412E-01
 3.341500E+02  3.169222E-01  8.494584E-02  6.684684E-02  9.367141E-01  5.781608E-01  1.952529E+00  3.741054E-01  2.367029E-01  1.113014E-01  1.496213E-01  6.435776E-02  2.849774E-01
 3.351500E+02  3.256934E-01  8.814212E-02  6.855282E-02  9.418570E-01  5.775395E-01  1.952341E+00  3.711891E-01  2.358185E-01  1.104857E-01  1.485407E-01  6.405227E-02  2.839070E-01
 3.361500E+02  3.346623E-01  9.143972E-02  7.029134E-02  9.469715E-01  5.768972E-01  1.952068E+00  3.682901E-01  2.349283E-01  1.096740E-01  1.474652E-01  6.374617E-02  2.828298E-01
 3.371500E+02  3.438325E-01  9.484126E-02  7.206279E-02  9.520570E-01  5.762336E-01  1.951709E+00  3.654081E-01  2.340325E-01  1.088663E-01  1.463947E-01  6.343943E-02  2.817458E-01
 3.381500E+02  3.594642E-02  4.139239E-05  1.285659E-07  6.889041E-09  1.713172E-11  5.808114E-11  4.462740E-14  2.869736E-14  1.330201E-14  1.788935E-14  7.771269E-15  3.454736E-14
