#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 3.021500E+02  4.952888E-03  1.873327E-03  3.323535E-03  1.237810E-01  1.195629E-01  3.899882E-01  1.170472E-01  6.409410E-02  3.424251E-02  4.585240E-02  1.806208E-02  7.721983E-02
 3.031500E+02  5.118608E-03  1.959691E-03  3.429059E-03  1.247443E-01  1.195859E-01  3.905303E-01  1.161602E-01  6.392493E-02  3.400284E-02  4.553771E-02  1.799231E-02  7.701415E-02
 3.041500E+02  5.288787E-03  2.049439E-03  3.537179E-03  1.257060E-01  1.196050E-01  3.910576E-01  1.152810E-01  6.375480E-02  3.376502E-02  4.522538E-02  1.792255E-02  7.680734E-02
 3.051500E+02  5.463516E-03  2.142678E-03  3.647939E-03  1.266659E-01  1.196202E-01  3.915699E-01  1.144095E-01  6.358371E-02  3.352905E-02  4.491538E-02  1.785280E-02  7.659939E-02
 3.061500E+02  5.642890E-03  2.239519E-03  3.761383E-03  1.276241E-01  1.196316E-01  3.920673E-01  1.135457E-01  6.341165E-02  3.329488E-02  4.460767E-02  1.778305E-02  7.639031E-02
 3.071500E+02  5.827001E-03  2.340075E-03  3.877554E-03  1.285804E-01  1.196393E-01  3.925498E-01  1.126892E-01  6.323864E-02  3.306249E-02  4.430221E-02  1.771331E-02  7.618009E-02
 3.081500E+02  6.015947E-03  2.444465E-03  3.996498E-03  1.295348E-01  1.196431E-01  3.930174E-01  1.118401E-01  6.306465E-02  3.283184E-02  4.399896E-02  1.764357E-02  7.596872E-02
 3.091500E+02  6.209824E-03  2.552806E-03  4.118259E-03  1.304872E-01  1.196431E-01  3.934701E-01  1.109982E-01  6.288969E-02  3.260291E-02  4.369788E-02  1.757383E-02  7.575620E-02
 3.101500E+02  6.408732E-03  2.665220E-03  4.242881E-03  1.314376E-01  1.196393E-01  3.939080E-01  1.101633E-01  6.271375E-02  3.237566E-02  4.339894E-02  1.750408E-02  7.554252E-02
 3.111500E+02  6.612771E-03  2.781834E-03  4.370410E-03  1.323859E-01  1.196317E-01  3.943309E-01  1.093354E-01  6.253682E-02  3.215007E-02  4.310210E-02  1.743432E-02  7.532767E-02
 3.121500E+02  6.822044E-03  2.902775E-03  4.500892E-03  1.333321E-01  1.196204E-01  3.947390E-01  1.085143E-01  6.235890E-02  3.192611E-02  4.280731E-02  1.736454E-02  7.511166E-02
 3.131500E+02  7.036655E-03  3.028173E-03  4.634372E-03  1.342760E-01  1.196052E-01  3.951321E-01  1.076999E-01  6.217998E-02  3.170374E-02  4.251456E-02  1.729475E-02  7.489446E-02
 3.141500E+02  7.256709E-03  3.158163E-03  4.770896E-03  1.352177E-01  1.195863E-01  3.955103E-01  1.068921E-01  6.200006E-02  3.148294E-02  4.222379E-02  1.722494E-02  7.467606E-02
 3.151500E+02  7.482314E-03  3.292883E-03  4.910511E-03  1.361570E-01  1.195637E-01  3.958735E-01  1.060908E-01  6.181912E-02  3.126369E-02  4.193497E-02  1.715510E-02  7.445647E-02
 3.161500E+02  7.713579E-03  3.432473E-03  5.053263E-03  1.370939E-01  1.195372E-01  3.962218E-01  1.052957E-01  6.163715E-02  3.104594E-02  4.164806E-02  1.708523E-02  7.423566E-02
 3.171500E+02  7.950615E-03  3.577077E-03  5.199200E-03  1.380284E-01  1.195070E-01  3.965550E-01  1.045069E-01  6.145415E-02  3.082968E-02  4.136304E-02  1.701532E-02  7.401362E-02
 3.181500E+02  8.193536E-03  3.726841E-03  5.348369E-03  1.389603E-01  1.194729E-01  3.968733E-01  1.037242E-01  6.127011E-02  3.061487E-02  4.107986E-02  1.694538E-02  7.379034E-02
 3.191500E+02  8.442456E-03  3.881916E-03  5.500816E-03  1.398896E-01  1.194351E-01  3.971764E-01  1.029475E-01  6.108500E-02  3.040149E-02  4.079848E-02  1.687539E-02  7.356582E-02
 3.201500E+02  8.697492E-03  4.042455E-03  5.656590E-03  1.408162E-01  1.193935E-01  3.974644E-01  1.021767E-01  6.089883E-02  3.018951E-02  4.051888E-02  1.680535E-02  7.334003E-02
 3.211500E+02  8.958764E-03  4.208617E-03  5.815739E-03  1.417401E-01  1.193482E-01  3.977373E-01  1.014116E-01  6.071158E-02  2.997890E-02  4.024101E-02  1.673526E-02  7.311295E-02
