#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  2.665688E-02  6.245781E-05  2.106019E-06  1.755273E-02  1.104915E-04  9.432272E-06  1.323448E-07  6.606288E-05  8.992940E-05  4.721481E-06  2.596245E-06  3.288179E-06
 2.741500E+02  2.656146E-02  6.077379E-05  1.938930E-06  1.749612E-02  1.076398E-04  8.707625E-06  1.269252E-07  6.435163E-05  8.759436E-05  4.357073E-06  2.393529E-06  3.032643E-06
 2.751500E+02  2.646670E-02  5.914717E-05  1.786198E-06  1.743961E-02  1.048785E-04  8.042974E-06  1.217611E-07  6.269582E-05  8.533526E-05  4.023043E-06  2.207936E-06  2.798602E-06
 2.761500E+02  2.637257E-02  5.757563E-05  1.646502E-06  1.738322E-02  1.022044E-04  7.433031E-06  1.168393E-07  6.109338E-05  8.314923E-05  3.716686E-06  2.037919E-06  2.584119E-06
 2.771500E+02  2.627909E-02  5.605697E-05  1.518648E-06  1.732697E-02  9.961447E-05  6.872996E-06  1.121472E-07  5.954233E-05  8.103356E-05  3.435553E-06  1.882077E-06  2.387444E-06
 2.781500E+02  2.618624E-02  5.458908E-05  1.401558E-06  1.727087E-02  9.710568E-05  6.358513E-06  1.076730E-07  5.804075E-05  7.898562E-05  3.177424E-06  1.739144E-06  2.206992E-06
 2.791500E+02  2.609401E-02  5.316996E-05  1.294261E-06  1.721494E-02  9.467519E-05  5.885631E-06  1.034056E-07  5.658683E-05  7.700289E-05  2.940284E-06  1.607975E-06  2.041328E-06
 2.801500E+02  2.600240E-02  5.179769E-05  1.195876E-06  1.715917E-02  9.232023E-05  5.450756E-06  9.933429E-08  5.517881E-05  7.508297E-05  2.722309E-06  1.487532E-06  1.889153E-06
 2.811500E+02  2.591141E-02  5.047044E-05  1.105610E-06  1.710360E-02  9.003814E-05  5.050626E-06  9.544918E-08  5.381501E-05  7.322354E-05  2.521838E-06  1.376874E-06  1.749289E-06
 2.821500E+02  2.582102E-02  4.918645E-05  1.022742E-06  1.704821E-02  8.782636E-05  4.682273E-06  9.174076E-08  5.249380E-05  7.142238E-05  2.337368E-06  1.275148E-06  1.620666E-06
 2.831500E+02  2.573124E-02  4.794406E-05  9.466215E-07  1.699303E-02  8.568241E-05  4.343000E-06  8.820010E-08  5.121364E-05  6.967735E-05  2.167529E-06  1.181580E-06  1.502315E-06
 2.841500E+02  2.564206E-02  4.674167E-05  8.766572E-07  1.693806E-02  8.360392E-05  4.030349E-06  8.481874E-08  4.997303E-05  6.798642E-05  2.011078E-06  1.095469E-06  1.393355E-06
 2.851500E+02  2.555347E-02  4.557774E-05  8.123143E-07  1.688330E-02  8.158859E-05  3.742084E-06  8.158868E-08  4.877056E-05  6.634762E-05  1.866882E-06  1.016175E-06  1.292985E-06
 2.861500E+02  2.546547E-02  4.445083E-05  7.531070E-07  1.682877E-02  7.963421E-05  3.476170E-06  7.850236E-08  4.760485E-05  6.475907E-05  1.733912E-06  9.431198E-07  1.200477E-06
 2.871500E+02  2.537804E-02  4.335953E-05  6.985944E-07  1.677446E-02  7.773867E-05  3.230748E-06  7.555261E-08  4.647457E-05  6.321896E-05  1.611229E-06  8.757749E-07  1.115169E-06
 2.881500E+02  2.529120E-02  4.230251E-05  6.483760E-07  1.672039E-02  7.589991E-05  3.004126E-06  7.273267E-08  4.537848E-05  6.172555E-05  1.497980E-06  8.136606E-07  1.036459E-06
 2.891500E+02  2.520492E-02  4.127849E-05  6.020877E-07  1.666655E-02  7.411598E-05  2.794759E-06  7.003614E-08  4.431534E-05  6.027718E-05  1.393384E-06  7.563402E-07  9.637972E-07
 2.901500E+02  2.511922E-02  4.028623E-05  5.593984E-07  1.661295E-02  7.238497E-05  2.601239E-06  6.745694E-08  4.328400E-05  5.887226E-05  1.296732E-06  7.034156E-07  8.966838E-07
 2.911500E+02  2.503407E-02  3.932458E-05  5.200068E-07  1.655960E-02  7.070507E-05  2.422278E-06  6.498933E-08  4.228334E-05  5.750924E-05  1.207375E-06  6.545241E-07  8.346627E-07
 2.921500E+02  2.494948E-02  3.839241E-05  4.836384E-07  1.650650E-02  6.907451E-05  2.256700E-06  6.262790E-08  4.131229E-05  5.618665E-05  1.124720E-06  6.093349E-07  7.773177E-07
 2.931500E+02  2.486544E-02  3.748863E-05  4.500433E-07  1.645364E-02  6.749162E-05  2.103429E-06  6.036749E-08  4.036980E-05  5.490308E-05  1.048228E-06  5.675459E-07  7.242691E-07
 2.941500E+02  2.478194E-02  3.661223E-05  4.189935E-07  1.640104E-02  6.595476E-05  1.961484E-06  5.820322E-08  3.945489E-05  5.365716E-05  9.774028E-07  5.288818E-07  6.751701E-07
 2.951500E+02  2.469899E-02  3.576221E-05  3.902812E-07  1.634870E-02  6.446238E-05  1.829963E-06  5.613050E-08  3.856660E-05  5.244759E-05  9.117935E-07  4.930906E-07  6.297036E-07
 2.961500E+02  2.461658E-02  3.493763E-05  3.637165E-07  1.629660E-02  6.301297E-05  1.708045E-06  5.414493E-08  3.770402E-05  5.127312E-05  8.509862E-07  4.599424E-07  5.875798E-07
 2.971500E+02  2.453469E-02  3.413758E-05  3.391262E-07  1.624477E-02  6.160508E-05  1.594974E-06  5.224239E-08  3.686627E-05  5.013253E-05  7.946023E-07  4.292267E-07  5.485338E-07
 2.981500E+02  2.445333E-02  3.336119E-05  3.163519E-07  1.619320E-02  6.023732E-05  1.490061E-06  5.041894E-08  3.605250E-05  4.902467E-05  7.422950E-07  4.007510E-07  5.123228E-07
 2.991500E+02  2.437250E-02  3.260762E-05  2.952490E-07  1.614188E-02  5.890834E-05  1.392670E-06  4.867086E-08  3.526189E-05  4.794842E-05  6.937467E-07  3.743390E-07  4.787247E-07
 3.001500E+02  2.429218E-02  3.187608E-05  2.756849E-07  1.609083E-02  5.761685E-05  1.302223E-06  4.699463E-08  3.449367E-05  4.690272E-05  6.486661E-07  3.498294E-07  4.475360E-07
 3.011500E+02  2.421238E-02  3.116579E-05  2.575385E-07  1.604004E-02  5.636161E-05  1.218184E-06  4.538689E-08  3.374708E-05  4.588653E-05  6.067859E-07  3.270742E-07  4.185701E-07
 3.021500E+02  2.413308E-02  3.047601E-05  2.406988E-07  1.598951E-02  5.514142E-05  1.140065E-06  4.384446E-08  3.302139E-05  4.489886E-05  5.678611E-07  3.059379E-07  3.916558E-07
 3.031500E+02  2.405429E-02  2.980604E-05  2.250641E-07  1.593924E-02  5.395513E-05  1.067416E-06  4.236435E-08  3.231592E-05  4.393875E-05  5.316665E-07  2.862960E-07  3.666362E-07
 3.041500E+02  2.397600E-02  2.915520E-05  2.105413E-07  1.588923E-02  5.280162E-05  9.998250E-07  4.094367E-08  3.162999E-05  4.300530E-05  4.979953E-07  2.680344E-07  3.433669E-07
 3.051500E+02  2.389820E-02  2.852283E-05  1.970448E-07  1.583949E-02  5.167983E-05  9.369111E-07  3.957973E-08  3.096296E-05  4.209762E-05  4.666577E-07  2.510483E-07  3.217158E-07
 3.061500E+02  2.382090E-02  2.790831E-05  1.844962E-07  1.579000E-02  5.058873E-05  8.783253E-07  3.826995E-08  3.031421E-05  4.121487E-05  4.374788E-07  2.352413E-07  3.015610E-07
