#         T/K          A/kJ          G/kJ
  2.731500000000E+02   5.758425681939E+01   5.758861071343E+01
  2.741500000000E+02   5.745955409976E+01   5.746390919934E+01
  2.751500000000E+02   5.733455288171E+01   5.733890920235E+01
  2.761500000000E+02   5.720925231188E+01   5.721360986893E+01
  2.771500000000E+02   5.708365156237E+01   5.708801037118E+01
  2.781500000000E+02   5.695774985303E+01   5.696210992888E+01
  2.791500000000E+02   5.683154644438E+01   5.683590780251E+01
  2.801500000000E+02   5.670504064082E+01   5.670940329636E+01
  2.811500000000E+02   5.657823179297E+01   5.658259576100E+01
  2.821500000000E+02   5.645111929728E+01   5.645548459275E+01
  2.831500000000E+02   5.632370259876E+01   5.632806923653E+01
  2.841500000000E+02   5.619598118990E+01   5.620034918468E+01
  2.851500000000E+02   5.606795461694E+01   5.607232398331E+01
  2.861500000000E+02   5.593962246933E+01   5.594399322173E+01
  2.871500000000E+02   5.581098439071E+01   5.581535654344E+01
  2.881500000000E+02   5.568204007363E+01   5.568641364081E+01
  2.891500000000E+02   5.555278926007E+01   5.555716425567E+01
  2.901500000000E+02   5.542323174172E+01   5.542760817954E+01
  2.911500000000E+02   5.529336735797E+01   5.529774525162E+01
  2.921500000000E+02   5.516319599629E+01   5.516757535924E+01
  2.931500000000E+02   5.503271759062E+01   5.503709843615E+01
  2.941500000000E+02   5.490193212070E+01   5.490631446192E+01
  2.951500000000E+02   5.477083960824E+01   5.477522345809E+01
  2.961500000000E+02   5.463944012026E+01   5.464382549152E+01
  2.971500000000E+02   5.450773376255E+01   5.451212066782E+01
  2.981500000000E+02   5.437572068023E+01   5.438010913197E+01
  2.991500000000E+02   5.424340105738E+01   5.424779106790E+01
  3.001500000000E+02   5.411077510509E+01   5.411516668656E+01
  3.011500000000E+02   5.397784307900E+01   5.398223624344E+01
  3.021500000000E+02   5.384460525770E+01   5.384900001703E+01
  3.031500000000E+02   5.371106194993E+01   5.371545831594E+01
  3.041500000000E+02   5.357721349416E+01   5.358161147855E+01
  3.051500000000E+02   5.344306023815E+01   5.344745985253E+01
  3.061500000000E+02   5.330860257247E+01   5.331300382837E+01
  3.071500000000E+02   5.317384089258E+01   5.317824380147E+01
  3.081500000000E+02   5.303877561385E+01   5.304318018714E+01
  3.091500000000E+02   5.290340716593E+01   5.290781341503E+01
  3.101500000000E+02   5.276773599011E+01   5.277214392638E+01
  3.111500000000E+02   5.263176253738E+01   5.263617217220E+01
  3.121500000000E+02   5.249548726571E+01   5.249989861045E+01
  3.131500000000E+02   5.235891063789E+01   5.236332370397E+01
  3.141500000000E+02   5.222203311918E+01   5.222644791807E+01
  3.151500000000E+02   5.208485517675E+01   5.208927171998E+01
  3.161500000000E+02   5.194737727031E+01   5.195179556949E+01
  3.171500000000E+02   4.916770752830E+01   5.179508924171E+01
  3.181500000000E+02   4.891135550988E+01   5.154723121518E+01
  3.191500000000E+02   4.865485119243E+01   5.129921707496E+01
  3.201500000000E+02   4.839819480288E+01   5.105104715712E+01
  3.211500000000E+02   4.814138656697E+01   5.080272179201E+01
  3.221500000000E+02   4.788442670916E+01   5.055424130453E+01
  3.231500000000E+02   4.762731545255E+01   5.030560601430E+01
  3.241500000000E+02   4.737005301885E+01   5.005681623584E+01
  3.251500000000E+02   4.711263962831E+01   4.980787227873E+01
  3.261500000000E+02   4.685507549972E+01   4.955877444782E+01
  3.271500000000E+02   4.659736085038E+01   4.930952304334E+01
  3.281500000000E+02   4.633949589606E+01   4.906011836105E+01
  3.291500000000E+02   4.608148085101E+01   4.881056069240E+01
  3.301500000000E+02   4.582331592792E+01   4.856085032468E+01
  3.311500000000E+02   4.556500133797E+01   4.831098754106E+01
  3.321500000000E+02   4.530653729077E+01   4.806097262081E+01
  3.331500000000E+02   4.504792399439E+01   4.781080583937E+01
  3.341500000000E+02   4.478916165538E+01   4.756048746843E+01
  3.351500000000E+02   4.453025047875E+01   4.731001777610E+01
  3.361500000000E+02   4.427119066799E+01   4.705939702696E+01
  3.371500000000E+02   4.401198242508E+01   4.680862548216E+01
  3.381500000000E+02   4.375262595050E+01   4.655770339953E+01
  3.391500000000E+02   4.349312144324E+01   4.630663103368E+01
  3.401500000000E+02   4.323346910083E+01   4.605540863604E+01
  3.411500000000E+02   4.297366911935E+01   4.580403645496E+01
  3.421500000000E+02   4.271372169341E+01   4.555251473584E+01
  3.431500000000E+02   4.245362701623E+01   4.530084372110E+01
  3.441500000000E+02   4.219338527960E+01   4.504902365037E+01
  3.451500000000E+02   4.193299667392E+01   4.479705476047E+01
  3.461500000000E+02   4.167246138822E+01   4.454493728552E+01
  3.471500000000E+02   4.141177961018E+01   4.429267145699E+01
  3.481500000000E+02   4.115095152613E+01   4.404025750380E+01
  3.491500000000E+02   4.088997732109E+01   4.378769565232E+01
  3.501500000000E+02   4.062885717876E+01   4.353498612647E+01
  3.511500000000E+02   4.036759128155E+01   4.328212914778E+01
  3.521500000000E+02   4.010617981063E+01   4.302912493541E+01
  3.531500000000E+02   3.984462294589E+01   4.277597370626E+01
  3.541500000000E+02   3.958292086599E+01   4.252267567496E+01
  3.551500000000E+02   3.932107374839E+01   4.226923105397E+01
  3.561500000000E+02   3.905908176931E+01   4.201564005360E+01
  3.571500000000E+02   3.879694510384E+01   4.176190288206E+01
  3.581500000000E+02   3.853466392586E+01   4.150801974552E+01
  3.591500000000E+02   3.827223840811E+01   4.125399084815E+01
  3.601500000000E+02   3.800966872220E+01   4.099981639216E+01
  3.611500000000E+02   3.774695503863E+01   4.074549657782E+01
  3.621500000000E+02   3.748409752678E+01   4.049103160356E+01
  3.631500000000E+02   3.722109635495E+01   4.023642166594E+01
  3.641500000000E+02   3.695795169038E+01   3.998166695975E+01
  3.651500000000E+02   3.669466369924E+01   3.972676767799E+01
  3.661500000000E+02   3.643123254667E+01   3.947172401195E+01
  3.671500000000E+02   3.616765839677E+01   3.921653615124E+01
  3.681500000000E+02   3.590394141264E+01   3.896120428379E+01
  3.691500000000E+02   3.564008175638E+01   3.870572859594E+01
  3.701500000000E+02   3.537607958911E+01   3.845010927241E+01
  3.711500000000E+02   3.511193507098E+01   3.819434649639E+01
  3.721500000000E+02   3.484764836118E+01   3.793844044953E+01
  3.731500000000E+02   3.458321961797E+01   3.768239131199E+01
  3.741500000000E+02   3.431864899867E+01   3.742619926246E+01
  3.751500000000E+02   3.405393665970E+01   3.716986447820E+01
  3.761500000000E+02   3.378908275656E+01   3.691338713505E+01
  3.771500000000E+02   3.352408744387E+01   3.665676740747E+01
  3.781500000000E+02   3.325895087538E+01   3.640000546857E+01
  3.791500000000E+02   3.299367320397E+01   3.614310149014E+01
  3.801500000000E+02   3.272825458166E+01   3.588605564264E+01
  3.811500000000E+02   3.246269515965E+01   3.562886809527E+01
  3.821500000000E+02   3.219699508829E+01   3.537153901597E+01
  3.831500000000E+02   3.193115451713E+01   3.511406857144E+01
  3.841500000000E+02   3.166517359489E+01   3.485645692717E+01
  3.851500000000E+02   3.139905246954E+01   3.459870424749E+01
  3.861500000000E+02   3.113279128823E+01   3.434081069553E+01
  3.871500000000E+02   3.086639019734E+01   3.408277643329E+01
  3.881500000000E+02   3.059984934250E+01   3.382460162165E+01
  3.891500000000E+02   3.033316886860E+01   3.356628642037E+01
  3.901500000000E+02   3.006634891969E+01   3.330783098809E+01
  3.911500000000E+02   2.979938963932E+01   3.304923548256E+01
  3.921500000000E+02   2.953229117010E+01   3.279050006030E+01
  3.931500000000E+02   2.926505365401E+01   3.253162487685E+01
  3.941500000000E+02   2.899767723232E+01   3.227261008677E+01
