#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1            w1            w2          w3-1          w3-2          c1m1        c1m2-1        c1m2-7        c2m1-1        c1w1-2        c1w2-1        c2w1-1        c2w1-9        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3      c1m1w1-1
 2.731500E+02  9.908865E-03  3.397413E-06  4.112147E-10  5.397292E-10  6.004916E-10  7.160116E-10  2.732035E-02  6.563909E-05  2.269536E-06  5.501692E-03  1.086060E-05  2.907467E-07  4.079487E-09  2.961632E-04  1.803398E-07  5.917520E-07  2.183419E-08  1.374786E-03  1.988813E-07  9.644477E-09  8.468872E-09  2.123283E-05  2.890361E-05  4.758851E-07  8.556477E-07  1.083689E-06  1.817363E-07
 2.741500E+02  9.894426E-03  3.340041E-06  3.933438E-10  5.164481E-10  5.746325E-10  6.853938E-10  2.721280E-02  6.382337E-05  2.087217E-06  5.501182E-03  1.064688E-05  2.709468E-07  3.949411E-09  2.881615E-04  1.679378E-07  5.528419E-07  2.066144E-08  1.346866E-03  1.875010E-07  9.222800E-09  8.091609E-09  2.074034E-05  2.823141E-05  4.417598E-07  7.907461E-07  1.001889E-06  1.701879E-07
 2.751500E+02  9.879626E-03  3.283851E-06  3.763452E-10  4.942955E-10  5.500249E-10  6.562484E-10  2.710612E-02  6.207099E-05  1.920753E-06  5.500291E-03  1.043768E-05  2.525821E-07  3.823794E-09  2.804252E-04  1.564688E-07  5.167432E-07  1.955885E-08  1.319601E-03  1.768247E-07  8.821594E-09  7.732983E-09  2.026164E-05  2.757811E-05  4.102599E-07  7.311553E-07  9.267537E-07  1.594384E-07
 2.761500E+02  9.864478E-03  3.228818E-06  3.601724E-10  4.732119E-10  5.266028E-10  6.284983E-10  2.700028E-02  6.037938E-05  1.768668E-06  5.499031E-03  1.023292E-05  2.355430E-07  3.702483E-09  2.729443E-04  1.458570E-07  4.832361E-07  1.852185E-08  1.292978E-03  1.668062E-07  8.439788E-09  7.392003E-09  1.979631E-05  2.694314E-05  3.811712E-07  6.764114E-07  8.577025E-07  1.494285E-07
 2.771500E+02  9.848997E-03  3.174918E-06  3.447818E-10  4.531409E-10  5.043041E-10  6.020706E-10  2.689529E-02  5.874606E-05  1.629631E-06  5.497411E-03  1.003254E-05  2.197288E-07  3.585331E-09  2.657089E-04  1.360334E-07  4.521191E-07  1.754618E-08  1.266981E-03  1.574022E-07  8.076371E-09  7.067732E-09  1.934392E-05  2.632592E-05  3.542975E-07  6.260934E-07  7.942093E-07  1.401036E-07
 2.781500E+02  9.833194E-03  3.122126E-06  3.301320E-10  4.340296E-10  4.830698E-10  5.768965E-10  2.679114E-02  5.716868E-05  1.502442E-06  5.495444E-03  9.836434E-06  2.050469E-07  3.472197E-09  2.587100E-04  1.269347E-07  4.232076E-07  1.662789E-08  1.241594E-03  1.485728E-07  7.730386E-09  6.759287E-09  1.890409E-05  2.572591E-05  3.294597E-07  5.798190E-07  7.357961E-07  1.314134E-07
 2.791500E+02  9.817084E-03  3.070420E-06  3.161841E-10  4.158277E-10  4.628447E-10  5.529112E-10  2.668782E-02  5.564498E-05  1.386017E-06  5.493140E-03  9.644539E-06  1.914116E-07  3.362941E-09  2.519386E-04  1.185032E-07  3.963322E-07  1.576328E-08  1.216804E-03  1.402805E-07  7.400932E-09  6.465834E-09  1.847642E-05  2.514256E-05  3.064939E-07  5.372409E-07  6.820284E-07  1.233114E-07
 2.801500E+02  9.800678E-03  3.019777E-06  3.029015E-10  3.984882E-10  4.435761E-10  5.300533E-10  2.658533E-02  5.417282E-05  1.279380E-06  5.490508E-03  9.456772E-06  1.787445E-07  3.257430E-09  2.453862E-04  1.106859E-07  3.713373E-07  1.494894E-08  1.192596E-03  1.324905E-07  7.087154E-09  6.186585E-09  1.806055E-05  2.457536E-05  2.852501E-07  4.980434E-07  6.325109E-07  1.157548E-07
 2.811500E+02  9.783988E-03  2.970173E-06  2.902494E-10  3.819662E-10  4.252148E-10  5.082648E-10  2.648366E-02  5.275014E-05  1.181648E-06  5.487560E-03  9.273053E-06  1.669728E-07  3.155534E-09  2.390447E-04  1.034344E-07  3.480803E-07  1.418166E-08  1.168957E-03  1.251703E-07  6.788245E-09  5.920797E-09  1.765610E-05  2.402382E-05  2.655908E-07  4.619395E-07  5.868843E-07  1.087041E-07
 2.821500E+02  9.767028E-03  2.921588E-06  2.781950E-10  3.662197E-10  4.077139E-10  4.874910E-10  2.638280E-02  5.137499E-05  1.092022E-06  5.484304E-03  9.093305E-06  1.560299E-07  3.057126E-09  2.329062E-04  9.670461E-08  3.264301E-07  1.345847E-08  1.145872E-03  1.182898E-07  6.503442E-09  5.667767E-09  1.726273E-05  2.348745E-05  2.473904E-07  4.286680E-07  5.448212E-07  1.021229E-07
 2.831500E+02  9.749807E-03  2.873998E-06  2.667076E-10  3.512087E-10  3.910293E-10  4.676801E-10  2.628274E-02  5.004549E-05  1.009780E-06  5.480751E-03  8.917449E-06  1.458540E-07  2.962086E-09  2.269633E-04  9.045575E-08  3.062661E-07  1.277660E-08  1.123328E-03  1.118207E-07  6.232023E-09  5.426832E-09  1.688011E-05  2.296578E-05  2.305336E-07  3.979909E-07  5.060238E-07  9.597752E-08
