#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  7.423533E-01  4.345168E-03  2.745124E-04  2.449623E-01  1.930433E-03  1.547302E-04  2.171030E-06  2.303194E-03  3.135267E-03  1.545553E-04  1.695893E-04  2.147871E-04
 2.741500E+02  7.425581E-01  4.244500E-03  2.537262E-04  2.450941E-01  1.887594E-03  1.433643E-04  2.089726E-06  2.252073E-03  3.065484E-03  1.431606E-04  1.569476E-04  1.988553E-04
 2.751500E+02  7.427544E-01  4.146901E-03  2.346523E-04  2.452207E-01  1.845976E-03  1.329035E-04  2.012002E-06  2.202435E-03  2.997734E-03  1.326782E-04  1.453304E-04  1.842091E-04
 2.761500E+02  7.429429E-01  4.052262E-03  2.171392E-04  2.453423E-01  1.805540E-03  1.232707E-04  1.937683E-06  2.154231E-03  2.931949E-03  1.230298E-04  1.346487E-04  1.707370E-04
 2.771500E+02  7.431239E-01  3.960476E-03  2.010495E-04  2.454593E-01  1.766249E-03  1.143956E-04  1.866602E-06  2.107412E-03  2.868062E-03  1.141443E-04  1.248214E-04  1.583379E-04
 2.781500E+02  7.432979E-01  3.871443E-03  1.862587E-04  2.455717E-01  1.728066E-03  1.062145E-04  1.798603E-06  2.061932E-03  2.806011E-03  1.059569E-04  1.157752E-04  1.469198E-04
 2.791500E+02  7.434652E-01  3.785063E-03  1.726541E-04  2.456800E-01  1.690955E-03  9.866924E-05  1.733535E-06  2.017747E-03  2.745734E-03  9.840870E-05  1.074432E-04  1.363994E-04
 2.801500E+02  7.436262E-01  3.701245E-03  1.601331E-04  2.457843E-01  1.654883E-03  9.170672E-05  1.671259E-06  1.974814E-03  2.687171E-03  9.144611E-05  9.976488E-05  1.267006E-04
 2.811500E+02  7.437812E-01  3.619896E-03  1.486029E-04  2.458848E-01  1.619816E-03  8.527869E-05  1.611638E-06  1.933092E-03  2.630267E-03  8.502028E-05  9.268499E-05  1.177543E-04
 2.821500E+02  7.439305E-01  3.540931E-03  1.379789E-04  2.459817E-01  1.585722E-03  7.934109E-05  1.554547E-06  1.892540E-03  2.574965E-03  7.908671E-05  8.615331E-05  1.094977E-04
 2.831500E+02  7.440745E-01  3.464267E-03  1.281843E-04  2.460752E-01  1.552569E-03  7.385372E-05  1.499863E-06  1.853120E-03  2.521213E-03  7.360482E-05  8.012412E-05  1.018735E-04
