#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  6.897673E+01  6.898033E+01
 2.741500E+02  6.901968E+01  6.902331E+01
 2.751500E+02  6.906140E+01  6.906511E+01
 2.761500E+02  6.910190E+01  6.910567E+01
 2.771500E+02  6.914118E+01  6.914503E+01
 2.781500E+02  6.917924E+01  6.918317E+01
 2.791500E+02  6.921611E+01  6.922010E+01
 2.801500E+02  6.925177E+01  6.925584E+01
 2.811500E+02  6.928625E+01  6.929039E+01
 2.821500E+02  6.931955E+01  6.932377E+01
 2.831500E+02  6.935169E+01  6.935598E+01
 2.841500E+02  6.938267E+01  6.938704E+01
 2.851500E+02  6.941251E+01  6.941696E+01
 2.861500E+02  6.944123E+01  6.944575E+01
 2.871500E+02  6.946884E+01  6.947344E+01
 2.881500E+02  6.949537E+01  6.950005E+01
 2.891500E+02  6.952083E+01  6.952558E+01
 2.901500E+02  6.954525E+01  6.955008E+01
 2.911500E+02  6.956864E+01  6.957354E+01
 2.921500E+02  6.959103E+01  6.959602E+01
 2.931500E+02  6.961246E+01  6.961751E+01
 2.941500E+02  6.963293E+01  6.963807E+01
 2.951500E+02  6.965250E+01  6.965771E+01
 2.961500E+02  6.967118E+01  6.967646E+01
 2.971500E+02  6.968901E+01  6.969437E+01
 2.981500E+02  6.970602E+01  6.971145E+01
 2.991500E+02  6.972226E+01  6.972776E+01
 3.001500E+02  6.973774E+01  6.974332E+01
 3.011500E+02  6.975253E+01  6.975817E+01
 3.021500E+02  6.976664E+01  6.977235E+01
 3.031500E+02  6.978014E+01  6.978592E+01
 3.041500E+02  6.979305E+01  6.979889E+01
 3.051500E+02  6.980543E+01  6.981133E+01
 3.061500E+02  6.981731E+01  6.982327E+01
 3.071500E+02  6.982874E+01  6.983477E+01
 3.081500E+02  6.983978E+01  6.984586E+01
 3.091500E+02  6.985046E+01  6.985660E+01
 3.101500E+02  6.986084E+01  6.986703E+01
 3.111500E+02  6.987097E+01  6.987721E+01
 3.121500E+02  6.988089E+01  6.988718E+01
 3.131500E+02  6.989065E+01  6.989699E+01
 3.141500E+02  6.990030E+01  6.990668E+01
 3.151500E+02  6.990990E+01  6.991632E+01
 3.161500E+02  6.991949E+01  6.992595E+01
 3.171500E+02  6.992913E+01  6.993562E+01
 3.181500E+02  6.993885E+01  6.994537E+01
 3.191500E+02  6.994870E+01  6.995526E+01
 3.201500E+02  6.995875E+01  6.996533E+01
 3.211500E+02  6.996902E+01  6.997562E+01
 3.221500E+02  6.997957E+01  6.998619E+01
 3.231500E+02  6.999043E+01  6.999707E+01
 3.241500E+02  7.000166E+01  7.000831E+01
 3.251500E+02  7.001329E+01  7.001995E+01
 3.261500E+02  7.002535E+01  7.003203E+01
 3.271500E+02  7.003789E+01  7.004457E+01
 3.281500E+02  7.005095E+01  7.005763E+01
 3.291500E+02  7.006454E+01  7.007122E+01
 3.301500E+02  7.007871E+01  7.008539E+01
 3.311500E+02  7.009348E+01  7.010015E+01
 3.321500E+02  7.010888E+01  7.011554E+01
 3.331500E+02  7.012494E+01  7.013160E+01
 3.341500E+02  7.014167E+01  7.014831E+01
 3.351500E+02  7.015908E+01  7.016571E+01
 3.361500E+02  7.017720E+01  7.018381E+01
 3.371500E+02  7.019604E+01  7.020263E+01
 3.381500E+02  7.021561E+01  7.022219E+01
 3.391500E+02  7.023592E+01  1.480089E+03
 3.401500E+02  5.863984E+01  1.472693E+03
 3.411500E+02  5.872516E+01  6.712996E+01
 3.421500E+02  5.881031E+01  6.721335E+01
 3.431500E+02  5.889527E+01  6.729659E+01
 3.441500E+02  5.898005E+01  6.737970E+01
 3.451500E+02  5.906465E+01  6.746267E+01
 3.461500E+02  5.914906E+01  6.754549E+01
 3.471500E+02  5.923330E+01  6.762817E+01
 3.481500E+02  5.931735E+01  6.771070E+01
 3.491500E+02  5.940121E+01  6.779309E+01
 3.501500E+02  5.948490E+01  6.787532E+01
 3.511500E+02  5.956840E+01  6.795741E+01
 3.521500E+02  5.965171E+01  6.803934E+01
 3.531500E+02  5.973484E+01  6.812113E+01
 3.541500E+02  5.981778E+01  6.820276E+01
 3.551500E+02  5.990054E+01  6.828423E+01
 3.561500E+02  5.998312E+01  6.836555E+01
 3.571500E+02  6.006550E+01  6.844671E+01
 3.581500E+02  6.014770E+01  6.852771E+01
 3.591500E+02  6.022972E+01  6.860855E+01
 3.601500E+02  6.031155E+01  6.868923E+01
 3.611500E+02  6.039319E+01  6.876975E+01
 3.621500E+02  6.047464E+01  6.885011E+01
 3.631500E+02  6.055591E+01  6.893030E+01
 3.641500E+02  6.063698E+01  6.901034E+01
 3.651500E+02  6.071787E+01  6.909020E+01
 3.661500E+02  6.079858E+01  6.916991E+01
 3.671500E+02  6.087909E+01  6.924944E+01
 3.681500E+02  6.095942E+01  6.932881E+01
 3.691500E+02  6.103956E+01  6.940801E+01
 3.701500E+02  6.111951E+01  6.948705E+01
 3.711500E+02  6.119927E+01  6.956591E+01
 3.721500E+02  6.127885E+01  6.964461E+01
 3.731500E+02  6.135823E+01  6.972314E+01
 3.741500E+02  6.143743E+01  6.980149E+01
 3.751500E+02  6.151644E+01  6.987968E+01
 3.761500E+02  6.159526E+01  6.995769E+01
 3.771500E+02  6.167389E+01  7.003554E+01
 3.781500E+02  6.175234E+01  7.011321E+01
 3.791500E+02  6.183059E+01  7.019071E+01
 3.801500E+02  6.190866E+01  7.026803E+01
 3.811500E+02  6.198654E+01  7.034519E+01
 3.821500E+02  6.206423E+01  7.042217E+01
 3.831500E+02  6.214173E+01  7.049897E+01
 3.841500E+02  6.221905E+01  7.057561E+01
 3.851500E+02  6.229618E+01  7.065206E+01
 3.861500E+02  6.237312E+01  7.072835E+01
 3.871500E+02  6.244987E+01  7.080446E+01
 3.881500E+02  6.252643E+01  7.088039E+01
 3.891500E+02  6.260281E+01  7.095615E+01
 3.901500E+02  6.267899E+01  7.103174E+01
 3.911500E+02  6.275500E+01  7.110714E+01
 3.921500E+02  6.283081E+01  7.118238E+01
 3.931500E+02  6.290644E+01  7.125743E+01
 3.941500E+02  6.298188E+01  7.133232E+01
 3.951500E+02  6.305713E+01  7.140702E+01
 3.961500E+02  6.313220E+01  7.148155E+01
 3.971500E+02  6.320708E+01  7.155591E+01
 3.981500E+02  6.328177E+01  7.163008E+01
 3.991500E+02  6.335628E+01  7.170434E+01
