#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  2.520509E+01  2.520733E+01  8.430115E+01
 2.741500E+02  2.526557E+01  2.526781E+01  8.452215E+01
 2.751500E+02  2.532606E+01  2.532830E+01  8.474242E+01
 2.761500E+02  2.538657E+01  2.538881E+01  8.496194E+01
 2.771500E+02  2.544709E+01  2.544933E+01  8.518068E+01
 2.781500E+02  2.550761E+01  2.550985E+01  8.539865E+01
 2.791500E+02  2.556812E+01  2.557036E+01  8.561583E+01
 2.801500E+02  2.562863E+01  2.563088E+01  8.583222E+01
 2.811500E+02  2.568914E+01  2.569138E+01  8.604779E+01
 2.821500E+02  2.574962E+01  2.575187E+01  8.626256E+01
 2.831500E+02  2.581010E+01  2.581234E+01  8.647652E+01
 2.841500E+02  2.587055E+01  2.587280E+01  8.668965E+01
 2.851500E+02  2.593099E+01  2.593323E+01  8.690196E+01
 2.861500E+02  2.599140E+01  2.599364E+01  8.711345E+01
 2.871500E+02  2.605179E+01  2.605403E+01  8.732412E+01
 2.881500E+02  2.611215E+01  2.611439E+01  8.753396E+01
 2.891500E+02  2.617248E+01  2.617472E+01  8.774298E+01
 2.901500E+02  2.623278E+01  2.623503E+01  8.795118E+01
 2.911500E+02  2.629306E+01  2.629531E+01  8.815857E+01
 2.921500E+02  2.635331E+01  2.635555E+01  8.836514E+01
 2.931500E+02  2.641352E+01  2.641577E+01  8.857091E+01
 2.941500E+02  2.647371E+01  2.647596E+01  8.877587E+01
 2.951500E+02  2.653387E+01  2.653612E+01  8.898004E+01
 2.961500E+02  2.659400E+01  2.659625E+01  8.918342E+01
 2.971500E+02  2.665410E+01  2.665635E+01  8.938602E+01
 2.981500E+02  2.671417E+01  2.671642E+01  8.958785E+01
 2.991500E+02  2.677422E+01  2.677647E+01  8.978891E+01
 3.001500E+02  2.683424E+01  2.683649E+01  8.998921E+01
 3.011500E+02  2.689424E+01  2.689649E+01  9.018878E+01
 3.021500E+02  2.695421E+01  2.695646E+01  9.038760E+01
 3.031500E+02  2.701417E+01  2.701642E+01  9.058570E+01
 3.041500E+02  2.707410E+01  2.707635E+01  9.078309E+01
 3.051500E+02  2.713402E+01  2.713627E+01  9.097977E+01
 3.061500E+02  2.719393E+01  2.719618E+01  9.117576E+01
 3.071500E+02  2.725382E+01  2.725607E+01  9.137107E+01
 3.081500E+02  2.731370E+01  2.731595E+01  9.156572E+01
 3.091500E+02  2.737358E+01  2.737583E+01  9.175971E+01
 3.101500E+02  2.743345E+01  2.743570E+01  9.195306E+01
 3.111500E+02  2.749332E+01  2.749557E+01  9.214579E+01
 3.121500E+02  2.755319E+01  2.755544E+01  9.233790E+01
 3.131500E+02  2.761306E+01  2.761532E+01  9.252941E+01
 3.141500E+02  2.767294E+01  2.767520E+01  9.272033E+01
 3.151500E+02  2.773284E+01  2.773509E+01  9.291068E+01
 3.161500E+02  2.779275E+01  2.779500E+01  9.310047E+01
 3.171500E+02  2.785267E+01  2.785493E+01  9.328972E+01
 3.181500E+02  2.791262E+01  2.791487E+01  9.347844E+01
 3.191500E+02  2.797259E+01  2.797484E+01  9.366664E+01
 3.201500E+02  2.803259E+01  2.803484E+01  9.385435E+01
 3.211500E+02  2.809262E+01  2.809488E+01  9.404156E+01
 3.221500E+02  2.815269E+01  2.815494E+01  9.422831E+01
 3.231500E+02  2.821279E+01  2.821505E+01  9.441461E+01
 3.241500E+02  2.827294E+01  2.827520E+01  9.460047E+01
 3.251500E+02  2.833314E+01  2.833540E+01  9.478590E+01
 3.261500E+02  2.839340E+01  2.839566E+01  9.497092E+01
 3.271500E+02  2.845371E+01  2.845597E+01  9.515555E+01
 3.281500E+02  2.851408E+01  2.851634E+01  9.533980E+01
 3.291500E+02  2.857451E+01  2.857677E+01  9.552369E+01
 3.301500E+02  2.863502E+01  2.863728E+01  9.570724E+01
 3.311500E+02  2.869559E+01  2.869786E+01  9.589045E+01
 3.321500E+02  2.875625E+01  2.875851E+01  9.607334E+01
 3.331500E+02  2.881699E+01  2.881925E+01  9.625594E+01
 3.341500E+02  2.887782E+01  2.888008E+01  9.643825E+01
 3.351500E+02  2.893874E+01  2.894100E+01  9.662029E+01
 3.361500E+02  2.899976E+01  2.900202E+01  9.680208E+01
 3.371500E+02  2.906087E+01  2.906314E+01  9.698363E+01
 3.381500E+02  2.912210E+01  2.912436E+01  9.716496E+01
 3.391500E+02  2.918343E+01  2.918570E+01  9.734608E+01
 3.401500E+02  2.924489E+01  2.924715E+01  9.752701E+01
 3.411500E+02  2.930646E+01  2.930873E+01  9.770776E+01
 3.421500E+02  2.936816E+01  2.937042E+01  9.788835E+01
 3.431500E+02  2.942999E+01  2.943225E+01  9.806880E+01
 3.441500E+02  2.949195E+01  2.949422E+01  9.824912E+01
 3.451500E+02  2.955406E+01  2.955633E+01  9.842932E+01
 3.461500E+02  2.961631E+01  2.961858E+01  9.860942E+01
 3.471500E+02  2.967872E+01  2.968098E+01  9.878944E+01
 3.481500E+02  2.974128E+01  2.974355E+01  9.896940E+01
 3.491500E+02  2.980400E+01  2.980627E+01  9.914930E+01
 3.501500E+02  2.986689E+01  2.986916E+01  9.932916E+01
 3.511500E+02  2.992995E+01  2.993222E+01  9.950900E+01
 3.521500E+02  2.999318E+01  2.999545E+01  9.968883E+01
 3.531500E+02  3.005660E+01  3.005887E+01  9.986867E+01
 3.541500E+02  3.012021E+01  3.012248E+01  1.000485E+02
