#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            w1            w2          w3-1          w3-2        c1w1-2        c1w2-1        c2w1-1        c2w1-9
 2.731500E+02  1.819595E-02  1.145847E-05  2.547269E-09  3.343352E-09  3.719744E-09  4.435333E-09  1.795313E-02  1.156694E-04  1.010649E-05  1.418049E-07  8.239612E-03  3.890331E-06  1.061642E-07  9.322339E-08
 2.741500E+02  1.819144E-02  1.129224E-05  2.445413E-09  3.210750E-09  3.572482E-09  4.261083E-09  1.795502E-02  1.134377E-04  9.423764E-06  1.373639E-07  8.083620E-03  3.673588E-06  1.017879E-07  8.930345E-08
 2.751500E+02  1.818592E-02  1.112875E-05  2.348104E-09  3.084023E-09  3.431731E-09  4.094484E-09  1.795565E-02  1.112521E-04  8.790142E-06  1.330724E-07  7.930971E-03  3.469889E-06  9.761102E-08  8.556553E-08
 2.761500E+02  1.817940E-02  1.096796E-05  2.255122E-09  2.962887E-09  3.297180E-09  3.935171E-09  1.795505E-02  1.091120E-04  8.201913E-06  1.289253E-07  7.781597E-03  3.278400E-06  9.362379E-08  8.200056E-08
 2.771500E+02  1.817190E-02  1.080985E-05  2.166257E-09  2.847075E-09  3.168532E-09  3.782797E-09  1.795325E-02  1.070165E-04  7.655653E-06  1.249178E-07  7.635430E-03  3.098344E-06  8.981696E-08  7.859993E-08
 2.781500E+02  1.816346E-02  1.065435E-05  2.081310E-09  2.736331E-09  3.045504E-09  3.637033E-09  1.795030E-02  1.049649E-04  7.148207E-06  1.210454E-07  7.492404E-03  2.928994E-06  8.618176E-08  7.535552E-08
 2.791500E+02  1.815410E-02  1.050145E-05  2.000095E-09  2.630414E-09  2.927830E-09  3.497567E-09  1.794623E-02  1.029564E-04  6.676668E-06  1.173034E-07  7.352455E-03  2.769673E-06  8.270986E-08  7.225958E-08
 2.801500E+02  1.814384E-02  1.035109E-05  1.922433E-09  2.529095E-09  2.815256E-09  3.364103E-09  1.794106E-02  1.009903E-04  6.238357E-06  1.136875E-07  7.215517E-03  2.619749E-06  7.939337E-08  6.930481E-08
 2.811500E+02  1.813269E-02  1.020325E-05  1.848154E-09  2.432158E-09  2.707542E-09  3.236360E-09  1.793484E-02  9.906565E-05  5.830802E-06  1.101933E-07  7.081527E-03  2.478632E-06  7.622478E-08  6.648426E-08
 2.821500E+02  1.812069E-02  1.005787E-05  1.777098E-09  2.339395E-09  2.604459E-09  3.114071E-09  1.792759E-02  9.718181E-05  5.451723E-06  1.068168E-07  6.950422E-03  2.345769E-06  7.319699E-08  6.379137E-08
 2.831500E+02  1.810786E-02  9.914931E-06  1.709113E-09  2.250612E-09  2.505790E-09  2.996983E-09  1.791935E-02  9.533795E-05  5.099019E-06  1.035538E-07  6.822142E-03  2.220646E-06  7.030324E-08  6.121990E-08
 2.841500E+02  1.809422E-02  9.774388E-06  1.644054E-09  2.165621E-09  2.411330E-09  2.884854E-09  1.791014E-02  9.353331E-05  4.770749E-06  1.004005E-07  6.696625E-03  2.102781E-06  6.753713E-08  5.876394E-08
 2.851500E+02  1.807979E-02  9.636204E-06  1.581784E-09  2.084247E-09  2.320882E-09  2.777455E-09  1.790000E-02  9.176712E-05  4.465122E-06  9.735307E-08  6.573812E-03  1.991725E-06  6.489258E-08  5.641787E-08
 2.861500E+02  1.806460E-02  9.500344E-06  1.522172E-09  2.006322E-09  2.234261E-09  2.674569E-09  1.788895E-02  9.003863E-05  4.180485E-06  9.440792E-08  6.453644E-03  1.887056E-06  6.236379E-08  5.417639E-08
 2.871500E+02  1.804866E-02  9.366771E-06  1.465095E-09  1.931685E-09  2.151290E-09  2.575988E-09  1.787703E-02  8.834706E-05  3.915312E-06  9.156148E-08  6.336063E-03  1.788383E-06  5.994529E-08  5.203444E-08
 2.881500E+02  1.803200E-02  9.235449E-06  1.410436E-09  1.860186E-09  2.071802E-09  2.481517E-09  1.786425E-02  8.669168E-05  3.668191E-06  8.881031E-08  6.221013E-03  1.695337E-06  5.763187E-08  4.998723E-08
 2.891500E+02  1.801463E-02  9.106342E-06  1.358081E-09  1.791681E-09  1.995636E-09  2.390967E-09  1.785065E-02  8.507175E-05  3.437820E-06  8.615112E-08  6.108439E-03  1.607574E-06  5.541858E-08  4.803023E-08
 2.901500E+02  1.799658E-02  8.979415E-06  1.307925E-09  1.726032E-09  1.922641E-09  2.304162E-09  1.783625E-02  8.348653E-05  3.222995E-06  8.358069E-08  5.998285E-03  1.524774E-06  5.330072E-08  4.615912E-08
 2.911500E+02  1.797788E-02  8.854634E-06  1.259868E-09  1.663110E-09  1.852673E-09  2.220931E-09  1.782107E-02  8.193530E-05  3.022602E-06  8.109594E-08  5.890499E-03  1.446635E-06  5.127381E-08  4.436980E-08
 2.921500E+02  1.795853E-02  8.731963E-06  1.213813E-09  1.602790E-09  1.785593E-09  2.141114E-09  1.780515E-02  8.041734E-05  2.835612E-06  7.869386E-08  5.785027E-03  1.372876E-06  4.933361E-08  4.265840E-08
 2.931500E+02  1.793856E-02  8.611368E-06  1.169668E-09  1.544954E-09  1.721273E-09  2.064558E-09  1.778851E-02  7.893196E-05  2.661072E-06  7.637158E-08  5.681818E-03  1.303234E-06  4.747609E-08  4.102123E-08
 2.941500E+02  1.791798E-02  8.492815E-06  1.127347E-09  1.489491E-09  1.659586E-09  1.991115E-09  1.777116E-02  7.747846E-05  2.498101E-06  7.412631E-08  5.580822E-03  1.237460E-06  4.569741E-08  3.945477E-08
 2.951500E+02  1.789682E-02  8.376271E-06  1.086768E-09  1.436294E-09  1.600416E-09  1.920648E-09  1.775314E-02  7.605616E-05  2.345884E-06  7.195534E-08  5.481988E-03  1.175325E-06  4.399393E-08  3.795571E-08
 2.961500E+02  1.787510E-02  8.261703E-06  1.047851E-09  1.385261E-09  1.543649E-09  1.853025E-09  1.773446E-02  7.466439E-05  2.203665E-06  6.985608E-08  5.385269E-03  1.116612E-06  4.236219E-08  3.652089E-08
 2.971500E+02  1.785283E-02  8.149077E-06  1.010522E-09  1.336295E-09  1.489178E-09  1.788118E-09  1.771514E-02  7.330248E-05  2.070747E-06  6.782601E-08  5.290617E-03  1.061118E-06  4.079888E-08  3.514730E-08
 2.981500E+02  1.783003E-02  8.038361E-06  9.747097E-10  1.289305E-09  1.436901E-09  1.725809E-09  1.769521E-02  7.196978E-05  1.946480E-06  6.586271E-08  5.197984E-03  1.008653E-06  3.930087E-08  3.383208E-08
 2.991500E+02  1.780672E-02  7.929523E-06  9.403467E-10  1.244203E-09  1.386722E-09  1.665983E-09  1.767469E-02  7.066565E-05  1.830265E-06  6.396385E-08  5.107326E-03  9.590391E-07  3.786518E-08  3.257254E-08
 3.001500E+02  1.778291E-02  7.822531E-06  9.073683E-10  1.200906E-09  1.338547E-09  1.608531E-09  1.765360E-02  6.938948E-05  1.721546E-06  6.212717E-08  5.018598E-03  9.121091E-07  3.648898E-08  3.136609E-08
 3.011500E+02  1.775863E-02  7.717354E-06  8.757130E-10  1.159333E-09  1.292289E-09  1.553350E-09  1.763196E-02  6.814063E-05  1.619807E-06  6.035048E-08  4.931755E-03  8.677065E-07  3.516956E-08  3.021028E-08
 3.021500E+02  1.773388E-02  7.613961E-06  8.453225E-10  1.119411E-09  1.247863E-09  1.500340E-09  1.760978E-02  6.691850E-05  1.524570E-06  5.863170E-08  4.846755E-03  8.256844E-07  3.390437E-08  2.910279E-08
 3.031500E+02  1.770869E-02  7.512321E-06  8.161410E-10  1.081065E-09  1.205190E-09  1.449407E-09  1.758708E-02  6.572251E-05  1.435392E-06  5.696880E-08  4.763556E-03  7.859049E-07  3.269096E-08  2.804141E-08
 3.041500E+02  1.768307E-02  7.412404E-06  7.881155E-10  1.044228E-09  1.164193E-09  1.400463E-09  1.756389E-02  6.455206E-05  1.351860E-06  5.535981E-08  4.682117E-03  7.482389E-07  3.152700E-08  2.702403E-08
 3.051500E+02  1.765703E-02  7.314180E-06  7.611955E-10  1.008833E-09  1.124799E-09  1.353420E-09  1.754022E-02  6.340658E-05  1.273594E-06  5.380287E-08  4.602398E-03  7.125648E-07  3.041028E-08  2.604864E-08
 3.061500E+02  1.763059E-02  7.217620E-06  7.353328E-10  9.748199E-10  1.086939E-09  1.308197E-09  1.751609E-02  6.228552E-05  1.200238E-06  5.229615E-08  4.524359E-03  6.787689E-07  2.933870E-08  2.511336E-08
 3.071500E+02  1.760377E-02  7.122694E-06  7.104815E-10  9.421274E-10  1.050548E-09  1.264717E-09  1.749151E-02  6.118832E-05  1.131462E-06  5.083790E-08  4.447961E-03  6.467440E-07  2.831025E-08  2.421635E-08
 3.081500E+02  1.757657E-02  7.029374E-06  6.865979E-10  9.106992E-10  1.015562E-09  1.222905E-09  1.746650E-02  6.011445E-05  1.066962E-06  4.942644E-08  4.373169E-03  6.163898E-07  2.732302E-08  2.335591E-08
 3.091500E+02  1.754902E-02  6.937632E-06  6.636403E-10  8.804812E-10  9.819213E-10  1.182690E-09  1.744108E-02  5.906338E-05  1.006452E-06  4.806013E-08  4.299943E-03  5.876118E-07  2.637518E-08  2.253038E-08
 3.101500E+02  1.752112E-02  6.847439E-06  6.415689E-10  8.514218E-10  9.495684E-10  1.144005E-09  1.741526E-02  5.803460E-05  9.496680E-07  4.673742E-08  4.228250E-03  5.603213E-07  2.546502E-08  2.173822E-08
 3.111500E+02  1.749290E-02  6.758769E-06  6.203459E-10  8.234717E-10  9.184486E-10  1.106785E-09  1.738905E-02  5.702759E-05  8.963646E-07  4.545677E-08  4.158052E-03  5.344349E-07  2.459087E-08  2.097793E-08
 3.121500E+02  1.746435E-02  6.671595E-06  5.999350E-10  7.965839E-10  8.885100E-10  1.070969E-09  1.736248E-02  5.604186E-05  8.463130E-07  4.421675E-08  4.089317E-03  5.098743E-07  2.375116E-08  2.024810E-08
 3.131500E+02  1.743550E-02  6.585888E-06  5.803018E-10  7.707137E-10  8.597026E-10  1.036498E-09  1.733555E-02  5.507694E-05  7.993006E-07  4.301594E-08  4.022011E-03  4.865657E-07  2.294440E-08  1.954738E-08
 3.141500E+02  1.740635E-02  6.501625E-06  5.614133E-10  7.458183E-10  8.319791E-10  1.003315E-09  1.730829E-02  5.413233E-05  7.551294E-07  4.185298E-08  3.956100E-03  4.644398E-07  2.216916E-08  1.887449E-08
 3.151500E+02  1.737693E-02  6.418777E-06  5.432382E-10  7.218568E-10  8.052941E-10  9.713673E-10  1.728069E-02  5.320759E-05  7.136153E-07  4.072658E-08  3.891553E-03  4.434315E-07  2.142407E-08  1.822821E-08
 3.161500E+02  1.734723E-02  6.337321E-06  5.257466E-10  6.987903E-10  7.796043E-10  9.406037E-10  1.725278E-02  5.230226E-05  6.745866E-07  3.963546E-08  3.828339E-03  4.234793E-07  2.070783E-08  1.760738E-08
 3.171500E+02  1.731728E-02  6.257231E-06  5.089097E-10  6.765815E-10  7.548684E-10  9.109751E-10  1.722457E-02  5.141589E-05  6.378837E-07  3.857843E-08  3.766427E-03  4.045255E-07  2.001922E-08  1.701088E-08
 3.181500E+02  1.728708E-02  6.178482E-06  4.927004E-10  6.551950E-10  7.310469E-10  8.824350E-10  1.719607E-02  5.054805E-05  6.033575E-07  3.755431E-08  3.705786E-03  3.865158E-07  1.935704E-08  1.643766E-08
 3.191500E+02  1.725664E-02  6.101050E-06  4.770925E-10  6.345967E-10  7.081022E-10  8.549387E-10  1.716729E-02  4.969832E-05  5.708695E-07  3.656197E-08  3.646388E-03  3.693989E-07  1.872017E-08  1.588672E-08
 3.201500E+02  1.722597E-02  6.024911E-06  4.620612E-10  6.147543E-10  6.859983E-10  8.284437E-10  1.713825E-02  4.886628E-05  5.402902E-07  3.560033E-08  3.588205E-03  3.531266E-07  1.810754E-08  1.535708E-08
 3.211500E+02  1.719509E-02  5.950042E-06  4.475827E-10  5.956368E-10  6.647007E-10  8.029092E-10  1.710895E-02  4.805153E-05  5.114991E-07  3.466834E-08  3.531208E-03  3.376535E-07  1.751813E-08  1.484785E-08
