#         T/K            m1          m2-1          m3-1
 3.691500E+02  3.294964E-02  2.513581E-05  2.848895E-08
 3.701500E+02  3.286102E-02  2.477064E-05  2.725717E-08
 3.711500E+02  3.277288E-02  2.441281E-05  2.608521E-08
 3.721500E+02  3.268520E-02  2.406213E-05  2.496986E-08
 3.731500E+02  3.259799E-02  2.371844E-05  2.390812E-08
 3.741500E+02  3.251124E-02  2.338155E-05  2.289715E-08
 3.751500E+02  3.242494E-02  2.305131E-05  2.193426E-08
 3.761500E+02  3.233910E-02  2.272755E-05  2.101694E-08
 3.771500E+02  3.225371E-02  2.241011E-05  2.014281E-08
 3.781500E+02  3.216876E-02  2.209885E-05  1.930962E-08
 3.791500E+02  3.208426E-02  2.179362E-05  1.851527E-08
 3.801500E+02  3.200020E-02  2.149426E-05  1.775774E-08
 3.811500E+02  3.191657E-02  2.120065E-05  1.703516E-08
 3.821500E+02  3.183338E-02  2.091264E-05  1.634575E-08
 3.831500E+02  3.175062E-02  2.063010E-05  1.568782E-08
 3.841500E+02  3.166828E-02  2.035292E-05  1.505979E-08
 3.851500E+02  3.158637E-02  2.008095E-05  1.446015E-08
 3.861500E+02  3.150488E-02  1.981408E-05  1.388748E-08
 3.871500E+02  3.142380E-02  1.955219E-05  1.334045E-08
 3.881500E+02  3.134314E-02  1.929516E-05  1.281778E-08
 3.891500E+02  3.126289E-02  1.904289E-05  1.231827E-08
 3.901500E+02  3.118304E-02  1.879526E-05  1.184079E-08
 3.911500E+02  3.110360E-02  1.855218E-05  1.138427E-08
 3.921500E+02  3.102456E-02  1.831353E-05  1.094767E-08
 3.931500E+02  3.094592E-02  1.807921E-05  1.053004E-08
 3.941500E+02  3.086768E-02  1.784914E-05  1.013047E-08
 3.951500E+02  3.078983E-02  1.762320E-05  9.748091E-09
 3.961500E+02  3.071237E-02  1.740132E-05  9.382081E-09
 3.971500E+02  3.063529E-02  1.718340E-05  9.031665E-09
 3.981500E+02  3.055860E-02  1.696935E-05  8.696106E-09
 3.991500E+02  3.048229E-02  1.675909E-05  8.374704E-09
