#         T/K          A/kJ          G/kJ
  2.731500000000E+02  -2.080140051296E+01  -2.079499866492E+01
  2.741500000000E+02  -2.099274156970E+01  -2.098633494048E+01
  2.751500000000E+02  -2.118481416537E+01  -2.117840287981E+01
  2.761500000000E+02  -2.137758661963E+01  -2.137117079939E+01
  2.771500000000E+02  -2.157102867561E+01  -2.156460843853E+01
  2.781500000000E+02  -2.176511181584E+01  -2.175868727324E+01
  2.791500000000E+02  -2.195980946246E+01  -2.195338071775E+01
  2.801500000000E+02  -2.215509708895E+01  -2.214866423669E+01
  2.811500000000E+02  -2.235095224932E+01  -2.234451537479E+01
  2.821500000000E+02  -2.254735454178E+01  -2.254091372094E+01
  2.831500000000E+02  -2.274428551907E+01  -2.273784081873E+01
  2.841500000000E+02  -2.294172856151E+01  -2.293528003985E+01
  2.851500000000E+02  -2.313966873654E+01  -2.313321644363E+01
  2.861500000000E+02  -2.333809263641E+01  -2.333163661493E+01
  2.871500000000E+02  -2.353698822343E+01  -2.353052850936E+01
  2.881500000000E+02  -2.373634467658E+01  -2.372988129992E+01
  2.891500000000E+02  -2.393615224824E+01  -2.392968523367E+01
  2.901500000000E+02  -2.413640213227E+01  -2.412993149979E+01
  2.911500000000E+02  -2.433708634438E+01  -2.433061210991E+01
  2.921500000000E+02  -2.453819761859E+01  -2.453171979449E+01
  2.931500000000E+02  -2.473972930527E+01  -2.473324790081E+01
  2.941500000000E+02  -2.494167530401E+01  -2.493519032580E+01
  2.951500000000E+02  -2.514402998019E+01  -2.513754143254E+01
  2.961500000000E+02  -2.534678809949E+01  -2.534029598474E+01
  2.971500000000E+02  -2.554994479499E+01  -2.554344911379E+01
  2.981500000000E+02  -2.575349549966E+01  -2.574699625123E+01
  2.991500000000E+02  -2.595743591784E+01  -2.595093310016E+01
  3.001500000000E+02  -2.616176198935E+01  -2.615525559936E+01
  3.011500000000E+02  -2.636646986068E+01  -2.635995989446E+01
  3.021500000000E+02  -2.657155585938E+01  -2.656504231225E+01
  3.031500000000E+02  -2.677701647397E+01  -2.677049934065E+01
  3.041500000000E+02  -2.698284833498E+01  -2.697632760966E+01
  3.051500000000E+02  -2.718904819914E+01  -2.718252387561E+01
  3.061500000000E+02  -2.739561293604E+01  -2.738908500773E+01
  3.071500000000E+02  -2.760253951748E+01  -2.759600797755E+01
  3.081500000000E+02  -2.780982500245E+01  -2.780328984385E+01
  3.091500000000E+02  -2.801746653841E+01  -2.801092775393E+01
  3.101500000000E+02  -2.822546134385E+01  -2.821891892616E+01
  3.111500000000E+02  -2.843380670674E+01  -2.842726064843E+01
  3.121500000000E+02  -2.864249997794E+01  -2.863595027156E+01
  3.131500000000E+02  -2.885153856632E+01  -2.884498520439E+01
  3.141500000000E+02  -2.906091993418E+01  -2.905436290925E+01
  3.151500000000E+02  -2.927064159420E+01  -2.926408089885E+01
  3.161500000000E+02  -2.948070110550E+01  -2.947413673233E+01
  3.171500000000E+02  -2.969109607109E+01  -2.968452801282E+01
  3.181500000000E+02  -2.990182413538E+01  -2.989525238477E+01
  3.191500000000E+02  -3.011288298194E+01  -3.010630753186E+01
  3.201500000000E+02  -3.032427033190E+01  -3.031769117532E+01
  3.211500000000E+02  -3.053598393978E+01  -3.052940106977E+01
  3.221500000000E+02  -3.074802159756E+01  -3.074143500734E+01
  3.231500000000E+02  -3.096038112738E+01  -3.095379081026E+01
  3.241500000000E+02  -3.117306038337E+01  -3.116646633282E+01
  3.251500000000E+02  -3.138605725004E+01  -3.137945945964E+01
  3.261500000000E+02  -3.159936964124E+01  -3.159276810471E+01
  3.271500000000E+02  -3.181299549931E+01  -3.180639021053E+01
  3.281500000000E+02  -3.202693279436E+01  -3.202032374733E+01
  3.291500000000E+02  -3.224117952349E+01  -3.223456671234E+01
  3.301500000000E+02  -3.245573371020E+01  -3.244911712922E+01
  3.311500000000E+02  -3.267059340379E+01  -3.266397304741E+01
  3.321500000000E+02  -3.288575667884E+01  -3.287913254163E+01
  3.331500000000E+02  -3.310122163475E+01  -3.309459371139E+01
  3.341500000000E+02  -3.331698639523E+01  -3.331035468057E+01
  3.351500000000E+02  -3.353304910794E+01  -3.352641359695E+01
  3.361500000000E+02  -3.374940794407E+01  -3.374276863186E+01
  3.371500000000E+02  -3.396606109802E+01  -3.395941797982E+01
  3.381500000000E+02  -3.418300678703E+01  -3.417635985819E+01
  3.391500000000E+02  -3.440024325086E+01  -3.439359250687E+01
  3.401500000000E+02  -3.461776875150E+01  -3.461111418797E+01
  3.411500000000E+02  -3.483558157289E+01  -3.482892318555E+01
  3.421500000000E+02  -3.505368002066E+01  -3.504701780532E+01
  3.431500000000E+02  -3.527206242180E+01  -3.526539637443E+01
  3.441500000000E+02  -3.549072712449E+01  -3.548405724114E+01
  3.451500000000E+02  -3.570967249781E+01  -3.570299877463E+01
  3.461500000000E+02  -3.592889693149E+01  -3.592221936474E+01
  3.471500000000E+02  -3.614839883573E+01  -3.614171742175E+01
  3.481500000000E+02  -3.636817664089E+01  -3.636149137614E+01
  3.491500000000E+02  -3.658822879737E+01  -3.658153967837E+01
  3.501500000000E+02  -3.680855377528E+01  -3.680186079865E+01
  3.511500000000E+02  -3.702915006433E+01  -3.702245322676E+01
  3.521500000000E+02  -3.725001617352E+01  -3.724331547178E+01
  3.531500000000E+02  -3.747115063100E+01  -3.746444606193E+01
  3.541500000000E+02  -3.769255198381E+01  -3.768584354433E+01
  3.551500000000E+02  -3.791421879772E+01  -3.790750648480E+01
  3.561500000000E+02  -3.813614965697E+01  -3.812943346763E+01
  3.571500000000E+02  -3.835834316409E+01  -3.835162309543E+01
  3.581500000000E+02  -3.858079793970E+01  -3.857407398886E+01
  3.591500000000E+02  -3.880351262228E+01  -3.879678478645E+01
  3.601500000000E+02  -3.902648586799E+01  -3.901975414441E+01
  3.611500000000E+02  -3.924971635045E+01  -3.924298073640E+01
  3.621500000000E+02  -3.947320276054E+01  -3.946646325332E+01
  3.631500000000E+02  -3.969694380620E+01  -3.969020040316E+01
  3.641500000000E+02  -3.992093821219E+01  -3.991419091073E+01
  3.651500000000E+02  -4.014518471996E+01  -4.013843351747E+01
  3.661500000000E+02  -4.036968208737E+01  -4.036292698127E+01
  3.671500000000E+02  -4.059442908852E+01  -4.058767007628E+01
  3.681500000000E+02  -4.081942451356E+01  -4.081266159263E+01
  3.691500000000E+02  -4.104466716845E+01  -4.103790033632E+01
  3.701500000000E+02  -4.127015587479E+01  -4.126338512895E+01
  3.711500000000E+02  -4.149588946960E+01  -4.148911480755E+01
  3.721500000000E+02  -4.172186680313E+01  -4.171508822238E+01
  3.731500000000E+02  -4.194808674721E+01  -4.194130424526E+01
  3.741500000000E+02  -4.217454818120E+01  -4.216776175556E+01
  3.751500000000E+02  -4.240125000186E+01  -4.239445965002E+01
  3.761500000000E+02  -4.262819112035E+01  -4.262139683981E+01
  3.771500000000E+02  -4.588350307349E+01  -4.285319907892E+01
  3.781500000000E+02  -4.618318654464E+01  -4.314387146455E+01
  3.791500000000E+02  -4.648304676904E+01  -4.343472909938E+01
  3.801500000000E+02  -4.678308335909E+01  -4.372577148175E+01
  3.811500000000E+02  -4.708329593071E+01  -4.401699811494E+01
  3.821500000000E+02  -4.738368410324E+01  -4.430840850708E+01
  3.831500000000E+02  -4.768424749937E+01  -4.460000217103E+01
  3.841500000000E+02  -4.798498574504E+01  -4.489177862435E+01
