#         T/K            w1            w2          w3-1          w3-2
 3.501500E+02  9.919162E-01  7.970447E-03  9.908485E-05  1.424473E-05
 3.511500E+02  9.920265E-01  7.864899E-03  9.462622E-05  1.393168E-05
 3.521500E+02  9.921346E-01  7.761399E-03  9.039298E-05  1.362749E-05
 3.531500E+02  9.922404E-01  7.659898E-03  8.637260E-05  1.333186E-05
 3.541500E+02  9.923441E-01  7.560347E-03  8.255329E-05  1.304451E-05
 3.551500E+02  9.924456E-01  7.462701E-03  7.892396E-05  1.276516E-05
 3.561500E+02  9.925451E-01  7.366914E-03  7.547421E-05  1.249355E-05
 3.571500E+02  9.926426E-01  7.272942E-03  7.219425E-05  1.222943E-05
 3.581500E+02  9.927382E-01  7.180742E-03  6.907485E-05  1.197255E-05
 3.591500E+02  9.928319E-01  7.090274E-03  6.610735E-05  1.172268E-05
 3.601500E+02  9.929237E-01  7.001496E-03  6.328360E-05  1.147959E-05
 3.611500E+02  9.930138E-01  6.914369E-03  6.059589E-05  1.124305E-05
 3.621500E+02  9.931021E-01  6.828856E-03  5.803701E-05  1.101287E-05
 3.631500E+02  9.931887E-01  6.744918E-03  5.560013E-05  1.078884E-05
 3.641500E+02  9.932736E-01  6.662521E-03  5.327882E-05  1.057075E-05
 3.651500E+02  9.933569E-01  6.581628E-03  5.106703E-05  1.035844E-05
 3.661500E+02  9.934387E-01  6.502206E-03  4.895905E-05  1.015170E-05
 3.671500E+02  9.935189E-01  6.424221E-03  4.694949E-05  9.950375E-06
 3.681500E+02  9.935976E-01  6.347640E-03  4.503327E-05  9.754288E-06
 3.691500E+02  9.936748E-01  6.272433E-03  4.320559E-05  9.563279E-06
 3.701500E+02  9.937506E-01  6.198567E-03  4.146192E-05  9.377189E-06
 3.711500E+02  9.938250E-01  6.126015E-03  3.979799E-05  9.195869E-06
 3.721500E+02  9.938980E-01  6.054745E-03  3.820976E-05  9.019172E-06
 3.731500E+02  9.939697E-01  5.984731E-03  3.669341E-05  8.846957E-06
 3.741500E+02  9.940401E-01  5.915944E-03  3.524535E-05  8.679089E-06
 3.751500E+02  9.941093E-01  5.848357E-03  3.386216E-05  8.515436E-06
 3.761500E+02  9.941772E-01  5.781944E-03  3.254061E-05  8.355872E-06
 3.771500E+02  9.942438E-01  5.716680E-03  3.127767E-05  8.200274E-06
 3.781500E+02  9.943093E-01  5.652540E-03  3.007045E-05  8.048525E-06
 3.791500E+02  9.943737E-01  5.589499E-03  2.891622E-05  7.900510E-06
 3.801500E+02  9.944369E-01  5.527534E-03  2.781240E-05  7.756119E-06
 3.811500E+02  9.944990E-01  5.466621E-03  2.675655E-05  7.615247E-06
 3.821500E+02  9.945600E-01  5.406739E-03  2.574634E-05  7.477789E-06
 3.831500E+02  9.946200E-01  5.347865E-03  2.477959E-05  7.343648E-06
 3.841500E+02  9.946790E-01  5.289979E-03  2.385422E-05  7.212726E-06
 3.851500E+02  9.947369E-01  5.233059E-03  2.296825E-05  7.084931E-06
 3.861500E+02  9.947938E-01  5.177084E-03  2.211983E-05  6.960173E-06
 3.871500E+02  9.948498E-01  5.122036E-03  2.130719E-05  6.838365E-06
 3.881500E+02  9.949049E-01  5.067895E-03  2.052863E-05  6.719424E-06
 3.891500E+02  9.949590E-01  5.014642E-03  1.978258E-05  6.603268E-06
 3.901500E+02  9.950122E-01  4.962259E-03  1.906752E-05  6.489819E-06
 3.911500E+02  9.950645E-01  4.910728E-03  1.838202E-05  6.379001E-06
 3.921500E+02  9.951160E-01  4.860031E-03  1.772471E-05  6.270740E-06
 3.931500E+02  9.951666E-01  4.810152E-03  1.709431E-05  6.164965E-06
 3.941500E+02  9.952164E-01  4.761073E-03  1.648958E-05  6.061608E-06
 3.951500E+02  9.952654E-01  4.712779E-03  1.590937E-05  5.960601E-06
 3.961500E+02  9.953135E-01  4.665254E-03  1.535255E-05  5.861880E-06
 3.971500E+02  9.953609E-01  4.618482E-03  1.481808E-05  5.765383E-06
 3.981500E+02  9.954076E-01  4.572449E-03  1.430496E-05  5.671049E-06
 3.991500E+02  9.954535E-01  4.527138E-03  1.381224E-05  5.578819E-06
