#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            w1            w2          w3-1          w3-2        c1w1-2        c1w2-1        c2w1-1        c2w1-9
 2.731500E+02  6.372925E-01  1.410314E-03  8.263235E-07  1.084570E-06  1.206670E-06  1.438804E-06  1.379713E-01  6.854512E-04  3.463611E-05  4.859815E-07  2.225258E-01  6.076181E-05  7.556798E-06  6.635668E-06
 2.741500E+02  6.386651E-01  1.389323E-03  7.907765E-07  1.038265E-06  1.155238E-06  1.377912E-06  1.393288E-01  6.818333E-04  3.290580E-05  4.796459E-07  2.198254E-01  5.803497E-05  7.275227E-06  6.382909E-06
 2.751500E+02  6.400228E-01  1.368806E-03  7.570239E-07  9.942827E-07  1.106383E-06  1.320053E-06  1.406718E-01  6.781026E-04  3.126262E-05  4.732791E-07  2.171540E-01  5.543695E-05  7.005463E-06  6.140968E-06
 2.761500E+02  6.413654E-01  1.348749E-03  7.249628E-07  9.524910E-07  1.059957E-06  1.265055E-06  1.420003E-01  6.742653E-04  2.970233E-05  4.668887E-07  2.145115E-01  5.296156E-05  6.746965E-06  5.909341E-06
 2.771500E+02  6.426929E-01  1.329140E-03  6.944969E-07  9.127656E-07  1.015824E-06  1.212756E-06  1.433141E-01  6.703277E-04  2.822088E-05  4.604821E-07  2.118982E-01  5.060288E-05  6.499222E-06  5.687550E-06
 2.781500E+02  6.440053E-01  1.309964E-03  6.655361E-07  8.749904E-07  9.738541E-07  1.163006E-06  1.446132E-01  6.662957E-04  2.681439E-05  4.540662E-07  2.093142E-01  4.835528E-05  6.261746E-06  5.475139E-06
 2.791500E+02  6.453025E-01  1.291209E-03  6.379958E-07  8.390564E-07  9.339271E-07  1.115663E-06  1.458975E-01  6.621752E-04  2.547917E-05  4.476475E-07  2.067596E-01  4.621339E-05  6.034072E-06  5.271675E-06
 2.801500E+02  6.465845E-01  1.272863E-03  6.117968E-07  8.048616E-07  8.959297E-07  1.070595E-06  1.471670E-01  6.579720E-04  2.421168E-05  4.412324E-07  2.042345E-01  4.417212E-05  5.815760E-06  5.076748E-06
 2.811500E+02  6.478513E-01  1.254915E-03  5.868649E-07  7.723102E-07  8.597559E-07  1.027677E-06  1.484217E-01  6.536917E-04  2.300855E-05  4.348267E-07  2.017390E-01  4.222659E-05  5.606388E-06  4.889966E-06
 2.821500E+02  6.491028E-01  1.237353E-03  5.631303E-07  7.413122E-07  8.253060E-07  9.867930E-07  1.496616E-01  6.493396E-04  2.186656E-05  4.284361E-07  1.992730E-01  4.037218E-05  5.405557E-06  4.710958E-06
 2.831500E+02  6.503392E-01  1.220166E-03  5.405276E-07  7.117833E-07  7.924865E-07  9.478321E-07  1.508866E-01  6.449211E-04  2.078265E-05  4.220659E-07  1.968366E-01  3.860450E-05  5.212887E-06  4.539370E-06
 2.841500E+02  6.515603E-01  1.203345E-03  5.189955E-07  6.836441E-07  7.612094E-07  9.106916E-07  1.520968E-01  6.404412E-04  1.975390E-05  4.157211E-07  1.944298E-01  3.691935E-05  5.028013E-06  4.374865E-06
 2.851500E+02  6.527663E-01  1.186878E-03  4.984761E-07  6.568202E-07  7.313922E-07  8.752744E-07  1.532921E-01  6.359050E-04  1.877751E-05  4.094062E-07  1.920525E-01  3.531275E-05  4.850592E-06  4.217125E-06
 2.861500E+02  6.539572E-01  1.170757E-03  4.789153E-07  6.312415E-07  7.029572E-07  8.414895E-07  1.544727E-01  6.313172E-04  1.785085E-05  4.031258E-07  1.897047E-01  3.378090E-05  4.680295E-06  4.065844E-06
 2.871500E+02  6.551329E-01  1.154971E-03  4.602621E-07  6.068421E-07  6.758314E-07  8.092509E-07  1.556384E-01  6.266825E-04  1.697137E-05  3.968838E-07  1.873863E-01  3.232020E-05  4.516807E-06  3.920733E-06
 2.881500E+02  6.562937E-01  1.139513E-03  4.424684E-07  5.835600E-07  6.499461E-07  7.784779E-07  1.567895E-01  6.220054E-04  1.613669E-05  3.906842E-07  1.850973E-01  3.092720E-05  4.359831E-06  3.781516E-06
 2.891500E+02  6.574394E-01  1.124372E-03  4.254893E-07  5.613369E-07  6.252365E-07  7.490945E-07  1.579259E-01  6.172902E-04  1.534451E-05  3.845305E-07  1.828375E-01  2.959866E-05  4.209082E-06  3.647931E-06
 2.901500E+02  6.585703E-01  1.109541E-03  4.092821E-07  5.401179E-07  6.016417E-07  7.210290E-07  1.590477E-01  6.125410E-04  1.459267E-05  3.784260E-07  1.806068E-01  2.833145E-05  4.064288E-06  3.519727E-06
 2.911500E+02  6.596863E-01  1.095011E-03  3.938068E-07  5.198512E-07  5.791044E-07  6.942139E-07  1.601549E-01  6.077620E-04  1.387909E-05  3.723738E-07  1.784051E-01  2.712263E-05  3.925193E-06  3.396667E-06
 2.921500E+02  6.607876E-01  1.080775E-03  3.790258E-07  5.004880E-07  5.575704E-07  6.685856E-07  1.612477E-01  6.029570E-04  1.320181E-05  3.663766E-07  1.762323E-01  2.596939E-05  3.791548E-06  3.278524E-06
 2.931500E+02  6.618742E-01  1.066825E-03  3.649036E-07  4.819823E-07  5.369887E-07  6.440840E-07  1.623260E-01  5.981297E-04  1.255897E-05  3.604370E-07  1.740881E-01  2.486905E-05  3.663120E-06  3.165081E-06
 2.941500E+02  6.629463E-01  1.053154E-03  3.514065E-07  4.642908E-07  5.173113E-07  6.206526E-07  1.633901E-01  5.932838E-04  1.194880E-05  3.545574E-07  1.719725E-01  2.381907E-05  3.539684E-06  3.056134E-06
 2.951500E+02  6.640039E-01  1.039754E-03  3.385031E-07  4.473725E-07  4.984927E-07  5.982379E-07  1.644399E-01  5.884226E-04  1.136960E-05  3.487400E-07  1.698851E-01  2.281704E-05  3.421027E-06  2.951487E-06
 2.961500E+02  6.650472E-01  1.026618E-03  3.261636E-07  4.311888E-07  4.804902E-07  5.767894E-07  1.654757E-01  5.835494E-04  1.081979E-05  3.429868E-07  1.678260E-01  2.186065E-05  3.306944E-06  2.850951E-06
 2.971500E+02  6.660762E-01  1.013740E-03  3.143597E-07  4.157034E-07  4.632632E-07  5.562594E-07  1.664974E-01  5.786674E-04  1.029784E-05  3.372993E-07  1.657947E-01  2.094773E-05  3.197241E-06  2.754350E-06
 2.981500E+02  6.670911E-01  1.001114E-03  3.030650E-07  4.008816E-07  4.467735E-07  5.366031E-07  1.675052E-01  5.737797E-04  9.802317E-06  3.316794E-07  1.637912E-01  2.007619E-05  3.091733E-06  2.661513E-06
 2.991500E+02  6.680919E-01  9.887329E-04  2.922542E-07  3.866910E-07  4.309851E-07  5.177777E-07  1.684992E-01  5.688891E-04  9.331850E-06  3.261282E-07  1.618151E-01  1.924405E-05  2.990243E-06  2.572279E-06
 3.001500E+02  6.690789E-01  9.765907E-04  2.819038E-07  3.731009E-07  4.158638E-07  4.997431E-07  1.694795E-01  5.639984E-04  8.885144E-06  3.206472E-07  1.598664E-01  1.844944E-05  2.892601E-06  2.486493E-06
 3.011500E+02  6.700521E-01  9.646816E-04  2.719913E-07  3.600822E-07  4.013774E-07  4.824612E-07  1.704463E-01  5.591102E-04  8.460969E-06  3.152373E-07  1.579446E-01  1.769057E-05  2.798647E-06  2.404008E-06
 3.021500E+02  6.710117E-01  9.530000E-04  2.624955E-07  3.476073E-07  3.874953E-07  4.658961E-07  1.713996E-01  5.542271E-04  8.058158E-06  3.098995E-07  1.560497E-01  1.696574E-05  2.708225E-06  2.324683E-06
 3.031500E+02  6.719577E-01  9.415402E-04  2.533964E-07  3.356502E-07  3.741887E-07  4.500136E-07  1.723396E-01  5.493513E-04  7.675605E-06  3.046346E-07  1.541813E-01  1.627333E-05  2.621190E-06  2.248385E-06
 3.041500E+02  6.728904E-01  9.302970E-04  2.446749E-07  3.241864E-07  3.614302E-07  4.347815E-07  1.732663E-01  5.444853E-04  7.312261E-06  2.994432E-07  1.523392E-01  1.561181E-05  2.537400E-06  2.174986E-06
 3.051500E+02  6.738099E-01  9.192651E-04  2.363132E-07  3.131925E-07  3.491939E-07  4.201693E-07  1.741801E-01  5.396311E-04  6.967131E-06  2.943259E-07  1.505230E-01  1.497972E-05  2.456722E-06  2.104363E-06
 3.061500E+02  6.747162E-01  9.084395E-04  2.282942E-07  3.026463E-07  3.374554E-07  4.061479E-07  1.750809E-01  5.347908E-04  6.639272E-06  2.892830E-07  1.487327E-01  1.437566E-05  2.379027E-06  2.036400E-06
 3.071500E+02  6.756096E-01  8.978153E-04  2.206019E-07  2.925271E-07  3.261914E-07  3.926900E-07  1.759689E-01  5.299663E-04  6.327790E-06  2.843149E-07  1.469678E-01  1.379831E-05  2.304192E-06  1.970987E-06
 3.081500E+02  6.764902E-01  8.873877E-04  2.132210E-07  2.828150E-07  3.153799E-07  3.797696E-07  1.768443E-01  5.251595E-04  6.031839E-06  2.794217E-07  1.452281E-01  1.324642E-05  2.232101E-06  1.908016E-06
 3.091500E+02  6.773581E-01  8.771522E-04  2.061370E-07  2.734912E-07  3.050000E-07  3.673620E-07  1.777071E-01  5.203721E-04  5.750614E-06  2.746036E-07  1.435134E-01  1.271879E-05  2.162642E-06  1.847386E-06
 3.101500E+02  6.782135E-01  8.671042E-04  1.993362E-07  2.645378E-07  2.950320E-07  3.554438E-07  1.785576E-01  5.156058E-04  5.483355E-06  2.698605E-07  1.418233E-01  1.221428E-05  2.095708E-06  1.789002E-06
 3.111500E+02  6.790565E-01  8.572393E-04  1.928057E-07  2.559379E-07  2.854571E-07  3.439929E-07  1.793958E-01  5.108621E-04  5.229341E-06  2.651923E-07  1.401576E-01  1.173181E-05  2.031197E-06  1.732769E-06
 3.121500E+02  6.798873E-01  8.475535E-04  1.865331E-07  2.476756E-07  2.762575E-07  3.329881E-07  1.802219E-01  5.061424E-04  4.987889E-06  2.605989E-07  1.385159E-01  1.127035E-05  1.969010E-06  1.678600E-06
