#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  9.577431E-02  2.849052E-05  2.243928E-09  2.945210E-09  3.276780E-09  3.907153E-09  8.890746E-01  6.239767E-03  4.726699E-04  8.361998E-03  1.115541E-05  3.660444E-05  4.011476E-07
 2.741500E+02  9.587676E-02  2.804324E-05  2.146168E-09  2.817851E-09  3.135317E-09  3.739654E-09  8.893575E-01  6.095604E-03  4.369179E-04  8.160048E-03  1.042318E-05  3.431254E-05  3.802175E-07
 2.751500E+02  9.597599E-02  2.760557E-05  2.053298E-09  2.696822E-09  3.000875E-09  3.580419E-09  8.896298E-01  5.955822E-03  4.041074E-04  7.964348E-03  9.743906E-06  3.217957E-05  3.605196E-07
 2.761500E+02  9.607214E-02  2.717729E-05  1.965050E-09  2.581777E-09  2.873071E-09  3.428998E-09  8.898921E-01  5.820263E-03  3.739784E-04  7.774675E-03  9.113431E-06  3.019353E-05  3.419741E-07
 2.771500E+02  9.616532E-02  2.675820E-05  1.881169E-09  2.472389E-09  2.751541E-09  3.284966E-09  8.901448E-01  5.688777E-03  3.462952E-04  7.590815E-03  8.527956E-06  2.834341E-05  3.245070E-07
 2.781500E+02  9.625562E-02  2.634807E-05  1.801416E-09  2.368349E-09  2.635945E-09  3.147924E-09  8.903885E-01  5.561219E-03  3.208443E-04  7.412561E-03  7.983999E-06  2.661910E-05  3.080493E-07
 2.791500E+02  9.634316E-02  2.594670E-05  1.725566E-09  2.269368E-09  2.525961E-09  3.017497E-09  8.906235E-01  5.437451E-03  2.974320E-04  7.239716E-03  7.478363E-06  2.501128E-05  2.925369E-07
 2.801500E+02  9.642803E-02  2.555389E-05  1.653407E-09  2.175173E-09  2.421288E-09  2.893329E-09  8.908503E-01  5.317339E-03  2.758826E-04  7.072088E-03  7.008117E-06  2.351136E-05  2.779099E-07
 2.811500E+02  9.651034E-02  2.516943E-05  1.584740E-09  2.085507E-09  2.321641E-09  2.775088E-09  8.910693E-01  5.200755E-03  2.560363E-04  6.909495E-03  6.570570E-06  2.211145E-05  2.641127E-07
 2.821500E+02  9.659016E-02  2.479315E-05  1.519377E-09  2.000129E-09  2.226752E-09  2.662458E-09  8.912807E-01  5.087575E-03  2.377482E-04  6.751761E-03  6.163250E-06  2.080429E-05  2.510933E-07
 2.831500E+02  9.666759E-02  2.442483E-05  1.457142E-09  1.918809E-09  2.136367E-09  2.555145E-09  8.914851E-01  4.977682E-03  2.208864E-04  6.598715E-03  5.783888E-06  1.958315E-05  2.388034E-07
 2.841500E+02  9.674272E-02  2.406430E-05  1.397868E-09  1.841335E-09  2.050250E-09  2.452867E-09  8.916826E-01  4.870961E-03  2.053311E-04  6.450195E-03  5.430394E-06  1.844187E-05  2.271977E-07
 2.851500E+02  9.681562E-02  2.371137E-05  1.341398E-09  1.767502E-09  1.968175E-09  2.355362E-09  8.918736E-01  4.767303E-03  1.909730E-04  6.306044E-03  5.100849E-06  1.737473E-05  2.162343E-07
 2.861500E+02  9.688638E-02  2.336586E-05  1.287584E-09  1.697120E-09  1.889930E-09  2.262380E-09  8.920584E-01  4.666604E-03  1.777126E-04  6.166112E-03  4.793487E-06  1.637647E-05  2.058737E-07
 2.871500E+02  9.695506E-02  2.302760E-05  1.236287E-09  1.630008E-09  1.815317E-09  2.173689E-09  8.922373E-01  4.568761E-03  1.654595E-04  6.030254E-03  4.506679E-06  1.544223E-05  1.960793E-07
 2.881500E+02  9.702174E-02  2.269642E-05  1.187375E-09  1.565998E-09  1.744146E-09  2.089065E-09  8.924104E-01  4.473678E-03  1.541310E-04  5.898329E-03  4.238928E-06  1.456752E-05  1.868169E-07
 2.891500E+02  9.708649E-02  2.237214E-05  1.140724E-09  1.504928E-09  1.676241E-09  2.008301E-09  8.925781E-01  4.381262E-03  1.436518E-04  5.770205E-03  3.988852E-06  1.374818E-05  1.780544E-07
 2.901500E+02  9.714937E-02  2.205461E-05  1.096218E-09  1.446648E-09  1.611433E-09  1.931199E-09  8.927405E-01  4.291422E-03  1.339530E-04  5.645751E-03  3.755179E-06  1.298037E-05  1.697619E-07
 2.911500E+02  9.721045E-02  2.174366E-05  1.053745E-09  1.391014E-09  1.549563E-09  1.857572E-09  8.928979E-01  4.204073E-03  1.249718E-04  5.524845E-03  3.536735E-06  1.226054E-05  1.619114E-07
 2.921500E+02  9.726980E-02  2.143913E-05  1.013202E-09  1.337892E-09  1.490483E-09  1.787246E-09  8.930505E-01  4.119131E-03  1.166509E-04  5.407365E-03  3.332435E-06  1.158541E-05  1.544768E-07
 2.931500E+02  9.732746E-02  2.114088E-05  9.744906E-10  1.287154E-09  1.434051E-09  1.720054E-09  8.931985E-01  4.036516E-03  1.089376E-04  5.293198E-03  3.141278E-06  1.095193E-05  1.474336E-07
