#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  5.422988E+01  5.423509E+01  1.607517E+02
 2.741500E+02  5.443644E+01  5.444166E+01  1.615066E+02
 2.751500E+02  5.464239E+01  5.464761E+01  1.622565E+02
 2.761500E+02  5.484749E+01  5.485272E+01  1.630005E+02
 2.771500E+02  5.505153E+01  5.505676E+01  1.637381E+02
 2.781500E+02  5.525431E+01  5.525955E+01  1.644685E+02
 2.791500E+02  5.545564E+01  5.546089E+01  1.651910E+02
 2.801500E+02  5.565537E+01  5.566062E+01  1.659052E+02
 2.811500E+02  5.585333E+01  5.585858E+01  1.666106E+02
 2.821500E+02  5.604938E+01  5.605464E+01  1.673067E+02
 2.831500E+02  5.624341E+01  5.624867E+01  1.679932E+02
 2.841500E+02  5.643530E+01  5.644057E+01  1.686697E+02
 2.851500E+02  5.662497E+01  5.663024E+01  1.693361E+02
 2.861500E+02  5.681234E+01  5.681762E+01  1.699921E+02
 2.871500E+02  5.699736E+01  5.700265E+01  1.706375E+02
 2.881500E+02  5.717999E+01  5.718528E+01  1.712724E+02
 2.891500E+02  5.736019E+01  5.736548E+01  1.718968E+02
 2.901500E+02  5.753795E+01  5.754325E+01  1.725105E+02
 2.911500E+02  5.771328E+01  5.771858E+01  1.731137E+02
 2.921500E+02  5.788617E+01  5.789148E+01  1.737065E+02
 2.931500E+02  5.805665E+01  5.806196E+01  1.742891E+02
 2.941500E+02  5.822474E+01  5.823006E+01  1.748615E+02
 2.951500E+02  5.839048E+01  5.839581E+01  1.754241E+02
 2.961500E+02  5.855392E+01  5.855925E+01  1.759769E+02
 2.971500E+02  5.871510E+01  5.872044E+01  1.765203E+02
 2.981500E+02  5.887408E+01  5.887942E+01  1.770544E+02
 2.991500E+02  5.903091E+01  5.903625E+01  1.775795E+02
 3.001500E+02  5.918566E+01  5.919101E+01  1.780960E+02
 3.011500E+02  5.933838E+01  5.934373E+01  1.786040E+02
 3.021500E+02  5.948915E+01  5.949451E+01  1.791038E+02
 3.031500E+02  5.963803E+01  5.964339E+01  1.795957E+02
 3.041500E+02  5.978508E+01  5.979044E+01  1.800800E+02
 3.051500E+02  5.993037E+01  5.993574E+01  1.805570E+02
 3.061500E+02  6.007397E+01  6.007934E+01  1.810268E+02
 3.071500E+02  6.021595E+01  6.022132E+01  1.814898E+02
 3.081500E+02  6.035636E+01  6.036174E+01  1.819462E+02
 3.091500E+02  6.049527E+01  6.050066E+01  1.823963E+02
 3.101500E+02  6.063275E+01  6.063813E+01  1.828403E+02
 3.111500E+02  6.076884E+01  6.077424E+01  1.832784E+02
 3.121500E+02  6.090362E+01  6.090902E+01  1.837109E+02
 3.131500E+02  6.103714E+01  6.104254E+01  1.841380E+02
 3.141500E+02  6.116945E+01  6.117486E+01  1.845598E+02
 3.151500E+02  6.130061E+01  6.130602E+01  1.849767E+02
 3.161500E+02  6.143066E+01  6.143608E+01  1.853887E+02
 3.171500E+02  6.155966E+01  6.156508E+01  1.857961E+02
 3.181500E+02  6.168766E+01  6.169308E+01  1.861991E+02
 3.191500E+02  8.398380E+01  8.652379E+01  2.640565E+02
 3.201500E+02  8.403724E+01  8.658667E+01  2.642535E+02
 3.211500E+02  8.409061E+01  8.664947E+01  2.644496E+02
 3.221500E+02  8.414392E+01  8.671219E+01  2.646449E+02
 3.231500E+02  8.419717E+01  8.677483E+01  2.648393E+02
 3.241500E+02  8.425036E+01  8.683741E+01  2.650329E+02
 3.251500E+02  8.430350E+01  8.689991E+01  2.652257E+02
 3.261500E+02  8.435658E+01  8.696234E+01  2.654177E+02
 3.271500E+02  8.440962E+01  8.702471E+01  2.656089E+02
 3.281500E+02  8.446261E+01  8.708702E+01  2.657993E+02
 3.291500E+02  8.451555E+01  8.714927E+01  2.659890E+02
 3.301500E+02  8.456845E+01  8.721146E+01  2.661779E+02
 3.311500E+02  8.462131E+01  8.727359E+01  2.663661E+02
 3.321500E+02  8.467413E+01  8.733568E+01  2.665535E+02
 3.331500E+02  8.472691E+01  8.739771E+01  2.667403E+02
 3.341500E+02  8.477966E+01  8.745969E+01  2.669263E+02
