#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  8.240880E+01  8.457042E+01  2.159765E+02
 2.741500E+02  8.245200E+01  8.462337E+01  2.161700E+02
 2.751500E+02  8.249489E+01  8.467596E+01  2.163615E+02
 2.761500E+02  8.253747E+01  8.472822E+01  2.165510E+02
 2.771500E+02  8.257976E+01  8.478016E+01  2.167388E+02
 2.781500E+02  8.262178E+01  8.483180E+01  2.169248E+02
 2.791500E+02  8.266353E+01  8.488315E+01  2.171091E+02
 2.801500E+02  8.270505E+01  8.493424E+01  2.172918E+02
 2.811500E+02  8.274633E+01  8.498507E+01  2.174729E+02
 2.821500E+02  8.278740E+01  8.503565E+01  2.176525E+02
 2.831500E+02  8.282825E+01  8.508600E+01  2.178306E+02
 2.841500E+02  8.286890E+01  8.513614E+01  2.180073E+02
 2.851500E+02  8.290937E+01  8.518606E+01  2.181827E+02
 2.861500E+02  8.294966E+01  8.523578E+01  2.183568E+02
 2.871500E+02  8.298977E+01  8.528530E+01  2.185296E+02
 2.881500E+02  8.302972E+01  8.533465E+01  2.187011E+02
 2.891500E+02  8.306951E+01  8.538382E+01  2.188714E+02
 2.901500E+02  8.310916E+01  8.543282E+01  2.190406E+02
 2.911500E+02  8.314865E+01  8.548165E+01  2.192086E+02
 2.921500E+02  8.318802E+01  8.553034E+01  2.193756E+02
 2.931500E+02  8.322725E+01  8.557888E+01  2.195414E+02
 2.941500E+02  8.326636E+01  8.562727E+01  2.197062E+02
 2.951500E+02  8.330534E+01  8.567553E+01  2.198700E+02
 2.961500E+02  8.334421E+01  8.572365E+01  2.200328E+02
 2.971500E+02  8.338297E+01  8.577165E+01  2.201946E+02
 2.981500E+02  8.342162E+01  8.581953E+01  2.203554E+02
 2.991500E+02  8.346018E+01  8.586729E+01  2.205154E+02
 3.001500E+02  8.349863E+01  8.591495E+01  2.206744E+02
 3.011500E+02  8.353699E+01  8.596249E+01  2.208325E+02
 3.021500E+02  8.357526E+01  8.600993E+01  2.209898E+02
 3.031500E+02  8.361344E+01  8.605726E+01  2.211462E+02
 3.041500E+02  8.365154E+01  8.610451E+01  2.213018E+02
 3.051500E+02  8.368956E+01  8.615165E+01  2.214565E+02
 3.061500E+02  8.372750E+01  8.619871E+01  2.216105E+02
 3.071500E+02  8.376537E+01  8.624569E+01  2.217637E+02
 3.081500E+02  8.380317E+01  8.629258E+01  2.219161E+02
 3.091500E+02  8.384090E+01  8.633939E+01  2.220678E+02
 3.101500E+02  8.387857E+01  8.638612E+01  2.222187E+02
 3.111500E+02  8.391617E+01  8.643278E+01  2.223689E+02
 3.121500E+02  8.395372E+01  8.647937E+01  2.225184E+02
 3.131500E+02  8.399120E+01  8.652589E+01  2.226672E+02
 3.141500E+02  8.402863E+01  8.657234E+01  2.228153E+02
 3.151500E+02  8.406601E+01  8.661873E+01  2.229627E+02
 3.161500E+02  8.410333E+01  8.666506E+01  2.231095E+02
 3.171500E+02  8.414061E+01  8.671133E+01  2.232556E+02
 3.181500E+02  8.417784E+01  8.675754E+01  2.234011E+02
 3.191500E+02  8.421503E+01  8.680370E+01  2.235459E+02
 3.201500E+02  8.425217E+01  8.684980E+01  2.236902E+02
 3.211500E+02  8.428928E+01  8.689586E+01  2.238338E+02
 3.221500E+02  8.432634E+01  8.694187E+01  2.239768E+02
 3.231500E+02  8.436337E+01  8.698783E+01  2.241193E+02
 3.241500E+02  8.440036E+01  8.703374E+01  2.242612E+02
 3.251500E+02  8.443732E+01  8.707962E+01  2.244025E+02
 3.261500E+02  8.447425E+01  8.712545E+01  2.245432E+02
 3.271500E+02  8.451115E+01  8.717124E+01  2.246834E+02
 3.281500E+02  8.454801E+01  8.721700E+01  2.248230E+02
 3.291500E+02  8.458485E+01  8.726272E+01  2.249622E+02
 3.301500E+02  8.462167E+01  8.730840E+01  2.251007E+02
 3.311500E+02  8.465846E+01  8.735406E+01  2.252388E+02
 3.321500E+02  8.469523E+01  8.739968E+01  2.253764E+02
 3.331500E+02  8.473197E+01  8.744527E+01  2.255134E+02
 3.341500E+02  8.476870E+01  8.749084E+01  2.256500E+02
 3.351500E+02  8.480540E+01  8.753638E+01  2.257861E+02
 3.361500E+02  8.484209E+01  8.758189E+01  2.259217E+02
 3.371500E+02  8.487877E+01  8.762738E+01  2.260568E+02
 3.381500E+02  8.491542E+01  8.767285E+01  2.261915E+02
 3.391500E+02  8.495207E+01  8.771829E+01  2.263257E+02
 3.401500E+02  8.498870E+01  8.776372E+01  2.264594E+02
 3.411500E+02  8.502532E+01  8.780913E+01  2.265927E+02
 3.421500E+02  8.506192E+01  8.785452E+01  2.267256E+02
 3.431500E+02  8.509852E+01  8.789989E+01  2.268580E+02
 3.441500E+02  8.513511E+01  8.794525E+01  2.269900E+02
 3.451500E+02  8.517169E+01  8.799059E+01  2.271215E+02
 3.461500E+02  8.520827E+01  8.803592E+01  2.272527E+02
 3.471500E+02  8.524484E+01  8.808124E+01  2.273834E+02
 3.481500E+02  8.528140E+01  8.812655E+01  2.275137E+02
 3.491500E+02  8.531797E+01  8.817185E+01  2.276437E+02
 3.501500E+02  8.535452E+01  8.821714E+01  2.277732E+02
