#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  2.874348E-02  2.860118E-05  1.004672E-08  1.318657E-08  1.467110E-08  1.749347E-08  1.524372E-02  2.044452E-05  3.946035E-07  4.795745E-04  1.630144E-07  5.349021E-07  1.026082E-07
 2.741500E+02  2.864333E-02  2.800411E-05  9.551670E-09  1.254104E-08  1.395395E-08  1.664359E-08  1.519661E-02  1.991271E-05  3.638277E-07  4.660648E-04  1.517526E-07  4.995612E-07  9.678496E-08
 2.751500E+02  2.854376E-02  2.742386E-05  9.084602E-09  1.193181E-08  1.327706E-08  1.584119E-08  1.514956E-02  1.939803E-05  3.356424E-07  4.530270E-04  1.413419E-07  4.667863E-07  9.133238E-08
 2.761500E+02  2.844478E-02  2.685987E-05  8.643756E-09  1.135658E-08  1.263791E-08  1.508329E-08  1.510259E-02  1.889984E-05  3.098149E-07  4.404421E-04  1.317130E-07  4.363758E-07  8.622457E-08
 2.771500E+02  2.834639E-02  2.631158E-05  8.227488E-09  1.081325E-08  1.203415E-08  1.436714E-08  1.505572E-02  1.841754E-05  2.861344E-07  4.282919E-04  1.228025E-07  4.081449E-07  8.143760E-08
 2.781500E+02  2.824859E-02  2.577846E-05  7.834270E-09  1.029983E-08  1.146360E-08  1.369017E-08  1.500894E-02  1.795055E-05  2.644103E-07  4.165588E-04  1.145525E-07  3.819246E-07  7.694930E-08
 2.791500E+02  2.815137E-02  2.526001E-05  7.462676E-09  9.814496E-09  1.092420E-08  1.304998E-08  1.496227E-02  1.749831E-05  2.444696E-07  4.052263E-04  1.069102E-07  3.575595E-07  7.273920E-08
 2.801500E+02  2.805472E-02  2.475574E-05  7.111378E-09  9.355517E-09  1.041407E-08  1.244434E-08  1.491571E-02  1.706029E-05  2.261558E-07  3.942786E-04  9.982708E-08  3.349074E-07  6.878831E-08
 2.811500E+02  2.795866E-02  2.426518E-05  6.779135E-09  8.921296E-09  9.931421E-09  1.187116E-08  1.486927E-02  1.663596E-05  2.093269E-07  3.837003E-04  9.325902E-08  3.138377E-07  6.507908E-08
 2.821500E+02  2.786318E-02  2.378787E-05  6.464793E-09  8.510340E-09  9.474597E-09  1.132848E-08  1.482297E-02  1.622485E-05  1.938540E-07  3.734770E-04  8.716548E-08  2.942304E-07  6.159522E-08
 2.831500E+02  2.776826E-02  2.332339E-05  6.167272E-09  8.121252E-09  9.042053E-09  1.081450E-08  1.477679E-02  1.582646E-05  1.796201E-07  3.635948E-04  8.150937E-08  2.759754E-07  5.832166E-08
 2.841500E+02  2.767392E-02  2.287131E-05  5.885564E-09  7.752729E-09  8.632342E-09  1.032752E-08  1.473076E-02  1.544035E-05  1.665189E-07  3.540405E-04  7.625668E-08  2.589712E-07  5.524439E-08
 2.851500E+02  2.758015E-02  2.243123E-05  5.618728E-09  7.403553E-09  8.244114E-09  9.865928E-09  1.468486E-02  1.506608E-05  1.544538E-07  3.448013E-04  7.137627E-08  2.431249E-07  5.235044E-08
 2.861500E+02  2.748694E-02  2.200276E-05  5.365885E-09  7.072584E-09  7.876105E-09  9.428255E-09  1.463912E-02  1.470322E-05  1.433370E-07  3.358651E-04  6.683954E-08  2.283507E-07  4.962776E-08
 2.871500E+02  2.739429E-02  2.158553E-05  5.126211E-09  6.758759E-09  7.527134E-09  9.013106E-09  1.459354E-02  1.435138E-05  1.330885E-07  3.272202E-04  6.262026E-08  2.145697E-07  4.706516E-08
 2.881500E+02  2.730221E-02  2.117919E-05  4.898937E-09  6.461080E-09  7.196095E-09  8.619178E-09  1.454811E-02  1.401016E-05  1.236356E-07  3.188557E-04  5.869435E-08  2.017093E-07  4.465224E-08
 2.891500E+02  2.721068E-02  2.078338E-05  4.683344E-09  6.178614E-09  6.881953E-09  8.245254E-09  1.450284E-02  1.367919E-05  1.149120E-07  3.107607E-04  5.503967E-08  1.897025E-07  4.237935E-08
 2.901500E+02  2.711970E-02  2.039777E-05  4.478756E-09  5.910488E-09  6.583740E-09  7.890190E-09  1.445774E-02  1.335812E-05  1.068572E-07  3.029252E-04  5.163591E-08  1.784876E-07  4.023750E-08
 2.911500E+02  2.702928E-02  2.002204E-05  4.284544E-09  5.655884E-09  6.300547E-09  7.552917E-09  1.441281E-02  1.304659E-05  9.941625E-08  2.953394E-04  4.846434E-08  1.680078E-07  3.821834E-08
 2.921500E+02  2.693940E-02  1.965589E-05  4.100116E-09  5.414034E-09  6.031524E-09  7.232432E-09  1.436806E-02  1.274428E-05  9.253882E-08  2.879939E-04  4.550778E-08  1.582106E-07  3.631409E-08
 2.931500E+02  2.685007E-02  1.929901E-05  3.924918E-09  5.184221E-09  5.775873E-09  6.927794E-09  1.432347E-02  1.245086E-05  8.617905E-08  2.808799E-04  4.275038E-08  1.490474E-07  3.451752E-08
 2.941500E+02  2.676128E-02  1.895112E-05  3.758429E-09  4.965770E-09  5.532845E-09  6.638120E-09  1.427907E-02  1.216604E-05  8.029506E-08  2.739886E-04  4.017756E-08  1.404735E-07  3.282188E-08
 2.951500E+02  2.667302E-02  1.861194E-05  3.600163E-09  4.758047E-09  5.301739E-09  6.362582E-09  1.423485E-02  1.188951E-05  7.484855E-08  2.673120E-04  3.777589E-08  1.324476E-07  3.122088E-08
 2.961500E+02  2.658530E-02  1.828120E-05  3.449663E-09  4.560461E-09  5.081895E-09  6.100401E-09  1.419081E-02  1.162100E-05  6.980454E-08  2.608422E-04  3.553299E-08  1.249314E-07  2.970868E-08
 2.971500E+02  2.649811E-02  1.795865E-05  3.306499E-09  4.372452E-09  4.872695E-09  5.850849E-09  1.414695E-02  1.136023E-05  6.513101E-08  2.545716E-04  3.343743E-08  1.178896E-07  2.827981E-08
 2.981500E+02  2.641145E-02  1.764403E-05  3.170268E-09  4.193497E-09  4.673558E-09  5.613237E-09  1.410329E-02  1.110694E-05  6.079865E-08  2.484929E-04  3.147868E-08  1.112895E-07  2.692918E-08
 2.991500E+02  2.632531E-02  1.733712E-05  3.040592E-09  4.023105E-09  4.483938E-09  5.386921E-09  1.405981E-02  1.086087E-05  5.678065E-08  2.425994E-04  2.964700E-08  1.051007E-07  2.565203E-08
