#         T/K          A/kJ          G/kJ
  2.731500000000E+02   1.954013488226E+01   1.954501535609E+01
  2.741500000000E+02   1.939259589342E+01   1.939747885626E+01
  2.751500000000E+02   1.924446489725E+01   1.924935038229E+01
  2.761500000000E+02   1.909574171450E+01   1.910062975085E+01
  2.771500000000E+02   1.894642657435E+01   1.895131718926E+01
  2.781500000000E+02   1.879652012678E+01   1.880141334559E+01
  2.791500000000E+02   1.864602343881E+01   1.865091928495E+01
  2.801500000000E+02   1.849493798817E+01   1.849983648306E+01
  2.811500000000E+02   1.834326565429E+01   1.834816681739E+01
  2.821500000000E+02   1.819100870559E+01   1.819591255438E+01
  2.831500000000E+02   1.803816978761E+01   1.804307633757E+01
  2.841500000000E+02   1.788475190458E+01   1.788966116926E+01
  2.851500000000E+02   1.773075840243E+01   1.773567039347E+01
  2.861500000000E+02   1.757619294803E+01   1.758110767520E+01
  2.871500000000E+02   1.742105950916E+01   1.742597698045E+01
  2.881500000000E+02   1.726536233067E+01   1.727028255235E+01
  2.891500000000E+02   1.710910591187E+01   1.711402888854E+01
  2.901500000000E+02   1.695229498182E+01   1.695722071654E+01
  2.911500000000E+02   1.679493447616E+01   1.679986297050E+01
  2.921500000000E+02   1.663702951152E+01   1.664196076571E+01
  2.931500000000E+02   1.647858536197E+01   1.648351937495E+01
  2.941500000000E+02   1.631960743469E+01   1.632454420423E+01
  2.951500000000E+02   1.616010124739E+01   1.616504077023E+01
  2.961500000000E+02   1.600007240517E+01   1.600501467705E+01
  2.971500000000E+02   1.583952657899E+01   1.584447159482E+01
  2.981500000000E+02   1.567846948651E+01   1.568341724043E+01
  2.991500000000E+02   1.551690686985E+01   1.552185735535E+01
  3.001500000000E+02   1.535484448038E+01   1.535979769039E+01
  3.011500000000E+02   1.519228806034E+01   1.519724398732E+01
  3.021500000000E+02   1.502924332947E+01   1.503420196549E+01
  3.031500000000E+02   1.486571596130E+01   1.487067729812E+01
  3.041500000000E+02   1.470171158992E+01   1.470667561910E+01
  3.051500000000E+02   1.453723577812E+01   1.454220249105E+01
  3.061500000000E+02   1.437229401593E+01   1.437726340392E+01
  3.071500000000E+02   1.420689171365E+01   1.421186376798E+01
  3.081500000000E+02   1.404103418915E+01   1.404600890116E+01
  3.091500000000E+02   1.387472666350E+01   1.387970402459E+01
  3.101500000000E+02   1.370797425467E+01   1.371295425639E+01
  3.111500000000E+02   1.354078197243E+01   1.354576460651E+01
  3.121500000000E+02   1.337315471505E+01   1.337813997344E+01
  3.131500000000E+02   1.320509726533E+01   1.321008514023E+01
  3.141500000000E+02   1.303661428897E+01   1.304160477287E+01
  3.151500000000E+02   1.286771033526E+01   1.287270342097E+01
  3.161500000000E+02   1.269838982153E+01   1.270338550220E+01
  3.171500000000E+02   1.252865706283E+01   1.253365533197E+01
  3.181500000000E+02   1.235851623779E+01   1.236351708930E+01
  3.191500000000E+02   1.218797141293E+01   1.219297484111E+01
  3.201500000000E+02   1.201702653100E+01   1.202203253056E+01
  3.211500000000E+02   1.184568541681E+01   1.185069398290E+01
  3.221500000000E+02   1.167395177755E+01   1.167896290576E+01
  3.231500000000E+02   1.150182920310E+01   1.150684288949E+01
  3.241500000000E+02   1.132932117021E+01   1.133433741128E+01
  3.251500000000E+02   1.115643104219E+01   1.116144983493E+01
  3.261500000000E+02   1.098316206945E+01   1.098818341133E+01
  3.271500000000E+02   1.080951739661E+01   1.081454128558E+01
  3.281500000000E+02   1.063550005914E+01   1.064052649366E+01
  3.291500000000E+02   1.046111298949E+01   1.046614196850E+01
  3.301500000000E+02   1.028635901192E+01   1.029139053490E+01
  3.311500000000E+02   1.011124085828E+01   1.011627492518E+01
  3.321500000000E+02   9.935761156443E+00   9.940797767751E+00
  3.331500000000E+02   9.759922439335E+00   9.764961596060E+00
  3.341500000000E+02   9.583727145849E+00   9.588768849523E+00
  3.351500000000E+02   9.407177624039E+00   9.412221876721E+00
  3.361500000000E+02   9.230276124886E+00   9.235322929171E+00
  3.371500000000E+02   9.053024823027E+00   9.058074182043E+00
  3.381500000000E+02   8.875425799021E+00   8.880477716440E+00
  3.391500000000E+02   8.697481051544E+00   8.702535531580E+00
  3.401500000000E+02   8.519192497247E+00   8.524249544663E+00
  3.411500000000E+02   8.340561972675E+00   8.345621592786E+00
  3.421500000000E+02   8.161591236147E+00   8.166653434820E+00
  3.431500000000E+02   7.982281969595E+00   7.987346753258E+00
  3.441500000000E+02   7.802635780385E+00   7.807703156026E+00
  3.451500000000E+02   7.622654203091E+00   7.627724178263E+00
  3.461500000000E+02   7.442338701240E+00   7.447411284064E+00
  3.471500000000E+02   7.261690669041E+00   7.266765868207E+00
  3.481500000000E+02   7.080711433070E+00   7.085789257842E+00
  3.491500000000E+02   6.899402253934E+00   6.904482714155E+00
  3.501500000000E+02   6.717764327920E+00   6.722847434008E+00
  3.511500000000E+02   6.535798788608E+00   6.540884551565E+00
  3.521500000000E+02   6.353506708473E+00   6.358595139884E+00
  3.531500000000E+02   6.170889100466E+00   6.175980212501E+00
  3.541500000000E+02   5.987946919574E+00   5.993040724992E+00
  3.551500000000E+02   5.804681064374E+00   5.809777576523E+00
  3.561500000000E+02   5.621092378566E+00   5.626191611385E+00
  3.571500000000E+02   2.514352444533E+00   5.431375372421E+00
  3.581500000000E+02   2.238495810164E+00   5.164291621350E+00
  3.591500000000E+02   1.962482899189E+00   4.897044941235E+00
  3.601500000000E+02   1.686313996723E+00   4.629635731122E+00
  3.611500000000E+02   1.409989385147E+00   4.362064385198E+00
  3.621500000000E+02   1.133509344182E+00   4.094331292904E+00
  3.631500000000E+02   8.568741509500E-01   3.826436839033E+00
  3.641500000000E+02   5.800840800393E-01   3.558381403832E+00
  3.651500000000E+02   3.031394035659E-01   3.290165363097E+00
  3.661500000000E+02   2.604039123139E-02   3.021789088275E+00
  3.671500000000E+02  -2.512126896187E-01   2.753252946550E+00
  3.681500000000E+02  -5.286195739395E-01   2.484557300936E+00
  3.691500000000E+02  -8.061799989343E-01   2.215702510366E+00
  3.701500000000E+02  -1.083893704001E+00   1.946688929776E+00
  3.711500000000E+02  -1.361760430683E+00   1.677516910191E+00
  3.721500000000E+02  -1.639779922620E+00   1.408186798806E+00
  3.731500000000E+02  -1.917951925501E+00   1.138698939064E+00
  3.741500000000E+02  -2.196276187019E+00   8.690536707382E-01
  3.751500000000E+02  -2.474752456826E+00   5.992513300017E-01
  3.761500000000E+02  -2.753380486487E+00   3.292922495108E-01
  3.771500000000E+02  -3.032160029456E+00   5.917675845532E-02
  3.781500000000E+02  -3.311090841008E+00  -2.110948173405E-01
  3.791500000000E+02  -3.590172678223E+00  -4.815221553739E-01
  3.801500000000E+02  -3.869405299926E+00  -7.521049363743E-01
