#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  6.111426E+01  6.305655E+01  2.378005E+02
 2.741500E+02  6.118160E+01  6.313544E+01  2.380888E+02
 2.751500E+02  6.124856E+01  6.321392E+01  2.383746E+02
 2.761500E+02  6.131514E+01  6.329199E+01  2.386578E+02
 2.771500E+02  6.138136E+01  6.336967E+01  2.389386E+02
 2.781500E+02  6.144721E+01  6.344694E+01  2.392169E+02
 2.791500E+02  6.151270E+01  6.352383E+01  2.394928E+02
 2.801500E+02  6.157784E+01  6.360034E+01  2.397664E+02
 2.811500E+02  6.164264E+01  6.367646E+01  2.400377E+02
 2.821500E+02  6.170709E+01  6.375222E+01  2.403066E+02
 2.831500E+02  6.177120E+01  6.382761E+01  2.405734E+02
 2.841500E+02  6.183499E+01  6.390263E+01  2.408379E+02
 2.851500E+02  6.189845E+01  6.397730E+01  2.411002E+02
 2.861500E+02  6.196159E+01  6.405162E+01  2.413603E+02
 2.871500E+02  6.202441E+01  6.412559E+01  2.416184E+02
 2.881500E+02  6.208693E+01  6.419922E+01  2.418744E+02
 2.891500E+02  6.214914E+01  6.427252E+01  2.421283E+02
 2.901500E+02  6.221106E+01  6.434549E+01  2.423802E+02
 2.911500E+02  6.227268E+01  6.441813E+01  2.426302E+02
 2.921500E+02  6.233401E+01  6.449045E+01  2.428782E+02
 2.931500E+02  6.239506E+01  6.456246E+01  2.431242E+02
 2.941500E+02  6.245583E+01  6.463417E+01  2.433684E+02
 2.951500E+02  6.251633E+01  6.470556E+01  2.436107E+02
 2.961500E+02  6.257656E+01  6.477666E+01  2.438512E+02
 2.971500E+02  6.263652E+01  6.484747E+01  2.440899E+02
 2.981500E+02  6.269623E+01  6.491799E+01  2.443268E+02
 2.991500E+02  6.275568E+01  6.498822E+01  2.445620E+02
 3.001500E+02  6.281489E+01  6.505818E+01  2.447954E+02
 3.011500E+02  6.287385E+01  6.512786E+01  2.450272E+02
 3.021500E+02  6.293257E+01  6.519727E+01  2.452573E+02
 3.031500E+02  6.299106E+01  6.526642E+01  2.454858E+02
 3.041500E+02  6.304932E+01  6.533531E+01  2.457127E+02
 3.051500E+02  6.310735E+01  6.540395E+01  2.459380E+02
 3.061500E+02  6.316516E+01  6.547234E+01  2.461617E+02
 3.071500E+02  6.322276E+01  6.554048E+01  2.463839E+02
 3.081500E+02  6.328014E+01  6.560838E+01  2.466046E+02
 3.091500E+02  6.333731E+01  6.567605E+01  2.468239E+02
 3.101500E+02  6.339428E+01  6.574349E+01  2.470417E+02
 3.111500E+02  6.345106E+01  6.581070E+01  2.472580E+02
 3.121500E+02  6.350763E+01  6.587769E+01  2.474730E+02
 3.131500E+02  6.356402E+01  6.594446E+01  2.476865E+02
 3.141500E+02  6.362022E+01  6.601102E+01  2.478987E+02
 3.151500E+02  6.367623E+01  6.607736E+01  2.481096E+02
 3.161500E+02  6.373207E+01  6.614351E+01  2.483191E+02
 3.171500E+02  6.378773E+01  6.620945E+01  2.485274E+02
 3.181500E+02  6.384322E+01  6.627520E+01  2.487344E+02
 3.191500E+02  6.389855E+01  6.634075E+01  2.489401E+02
 3.201500E+02  6.395371E+01  6.640611E+01  2.491446E+02
 3.211500E+02  6.400870E+01  6.647130E+01  2.493479E+02
 3.221500E+02  6.406355E+01  6.653630E+01  2.495499E+02
 3.231500E+02  6.411824E+01  6.660112E+01  2.497509E+02
 3.241500E+02  6.417278E+01  6.666577E+01  2.499506E+02
 3.251500E+02  6.422717E+01  6.673025E+01  2.501492E+02
 3.261500E+02  6.428143E+01  6.679457E+01  2.503467E+02
 3.271500E+02  6.433554E+01  6.685872E+01  2.505431E+02
 3.281500E+02  6.438952E+01  6.692271E+01  2.507384E+02
 3.291500E+02  6.444336E+01  6.698656E+01  2.509327E+02
 3.301500E+02  6.449708E+01  6.705024E+01  2.511259E+02
 3.311500E+02  6.455067E+01  6.711378E+01  2.513181E+02
 3.321500E+02  6.460414E+01  6.717718E+01  2.515092E+02
 3.331500E+02  6.465748E+01  6.724044E+01  2.516994E+02
 3.341500E+02  6.471071E+01  6.730355E+01  2.518885E+02
 3.351500E+02  6.476383E+01  6.736653E+01  2.520767E+02
 3.361500E+02  6.481683E+01  6.742938E+01  2.522640E+02
 3.371500E+02  6.486972E+01  6.749210E+01  2.524503E+02
 3.381500E+02  6.492251E+01  6.755470E+01  2.526357E+02
 3.391500E+02  6.497520E+01  6.761717E+01  2.528202E+02
 3.401500E+02  6.502778E+01  6.767952E+01  2.530037E+02
 3.411500E+02  6.508027E+01  6.774176E+01  2.531864E+02
 3.421500E+02  6.513266E+01  6.780388E+01  2.533683E+02
 3.431500E+02  6.518496E+01  6.786589E+01  2.535492E+02
 3.441500E+02  6.523717E+01  6.792779E+01  2.537294E+02
 3.451500E+02  6.528929E+01  6.798958E+01  2.539086E+02
 3.461500E+02  6.534132E+01  6.805127E+01  2.540871E+02
 3.471500E+02  6.539327E+01  6.811286E+01  2.542648E+02
 3.481500E+02  6.544514E+01  6.817436E+01  2.544417E+02
 3.491500E+02  6.549693E+01  6.823575E+01  2.546178E+02
 3.501500E+02  6.554865E+01  6.829705E+01  2.547931E+02
 3.511500E+02  6.560029E+01  6.835827E+01  2.549677E+02
 3.521500E+02  6.565186E+01  6.841939E+01  2.551415E+02
 3.531500E+02  6.570336E+01  6.848042E+01  2.553146E+02
 3.541500E+02  6.575479E+01  6.854138E+01  2.554869E+02
 3.551500E+02  6.580615E+01  6.860225E+01  2.556586E+02
 3.561500E+02  6.585745E+01  6.866304E+01  2.558295E+02
 3.571500E+02  6.590869E+01  6.872375E+01  2.559997E+02
 3.581500E+02  6.595986E+01  6.878439E+01  2.561693E+02
 3.591500E+02  6.601098E+01  6.884495E+01  2.563381E+02
 3.601500E+02  6.606204E+01  6.890544E+01  2.565063E+02
 3.611500E+02  6.611305E+01  6.896587E+01  2.566739E+02
 3.621500E+02  6.616400E+01  6.902622E+01  2.568407E+02
 3.631500E+02  6.621490E+01  6.908651E+01  2.570070E+02
 3.641500E+02  6.626576E+01  6.914674E+01  2.571726E+02
 3.651500E+02  6.631656E+01  6.920690E+01  2.573376E+02
 3.661500E+02  6.636731E+01  6.926700E+01  2.575020E+02
 3.671500E+02  6.641803E+01  6.932705E+01  2.576657E+02
 3.681500E+02  6.646869E+01  6.938704E+01  2.578289E+02
 3.691500E+02  6.651932E+01  6.944697E+01  2.579915E+02
 3.701500E+02  6.656990E+01  6.950685E+01  2.581535E+02
 3.711500E+02  6.662045E+01  6.956668E+01  2.583149E+02
 3.721500E+02  6.667095E+01  6.962645E+01  2.584757E+02
 3.731500E+02  6.672142E+01  6.968618E+01  2.586360E+02
 3.741500E+02  6.677186E+01  6.974586E+01  2.587957E+02
 3.751500E+02  6.682226E+01  6.980550E+01  2.589549E+02
 3.761500E+02  6.687263E+01  6.986509E+01  2.591135E+02
 3.771500E+02  6.692297E+01  6.992464E+01  2.592716E+02
 3.781500E+02  6.697327E+01  6.998415E+01  2.594292E+02
 3.791500E+02  6.702355E+01  7.004361E+01  2.595863E+02
 3.801500E+02  6.707380E+01  7.010304E+01  2.597428E+02
 3.811500E+02  6.712403E+01  7.016243E+01  2.598988E+02
 3.821500E+02  6.717423E+01  7.022179E+01  2.600543E+02
 3.831500E+02  6.722440E+01  7.028111E+01  2.602094E+02
 3.841500E+02  6.727455E+01  7.034040E+01  2.603639E+02
 3.851500E+02  6.732468E+01  7.039965E+01  2.605180E+02
 3.861500E+02  6.737479E+01  7.045887E+01  2.606715E+02
 3.871500E+02  6.742488E+01  7.051807E+01  2.608246E+02
 3.881500E+02  6.747495E+01  7.057723E+01  2.609772E+02
 3.891500E+02  6.752500E+01  7.063637E+01  2.611294E+02
 3.901500E+02  6.757503E+01  7.069547E+01  2.612811E+02
 3.911500E+02  6.762505E+01  7.075456E+01  2.614323E+02
 3.921500E+02  6.767505E+01  7.081362E+01  2.615831E+02
 3.931500E+02  6.772504E+01  7.087265E+01  2.617335E+02
 3.941500E+02  6.777501E+01  7.093167E+01  2.618834E+02
 3.951500E+02  6.782497E+01  7.099066E+01  2.620329E+02
 3.961500E+02  6.787492E+01  7.104963E+01  2.621819E+02
 3.971500E+02  6.792486E+01  7.110858E+01  2.623305E+02
 3.981500E+02  6.797479E+01  7.116751E+01  2.624787E+02
 3.991500E+02  6.802471E+01  7.122643E+01  2.626265E+02
