#         T/K            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10
 2.951500E+02  2.846677E-02  7.574326E-03  1.450984E-02  4.450605E-04  2.454389E-01  3.327259E-01  2.082888E-01  1.621742E-03  2.673156E-03  1.688773E+00  2.263154E+00  2.044676E+00  7.211072E-03  9.895997E-02  9.922865E-02  2.446904E+00
 2.961500E+02  2.949349E-02  7.966459E-03  1.508485E-02  4.781889E-04  2.487609E-01  3.393863E-01  2.104712E-01  1.689594E-03  2.781982E-03  1.674728E+00  2.242972E+00  2.043816E+00  7.295397E-03  9.970864E-02  9.997659E-02  2.470197E+00
 2.971500E+02  3.054974E-02  8.375926E-03  1.567807E-02  5.135252E-04  2.520916E-01  3.461167E-01  2.126479E-01  1.759701E-03  2.894321E-03  1.660758E+00  2.222929E+00  2.042798E+00  7.379567E-03  1.004509E-01  1.007181E-01  2.493370E+00
 2.981500E+02  3.163612E-02  8.803353E-03  1.628990E-02  5.511987E-04  2.554305E-01  3.529166E-01  2.148187E-01  1.832118E-03  3.010255E-03  1.646864E+00  2.203026E+00  2.041625E+00  7.463567E-03  1.011866E-01  1.014530E-01  2.516419E+00
 2.991500E+02  3.275325E-02  9.249383E-03  1.692077E-02  5.913449E-04  2.587771E-01  3.597855E-01  2.169831E-01  1.906897E-03  3.129861E-03  1.633046E+00  2.183263E+00  2.040301E+00  7.547383E-03  1.019158E-01  1.021814E-01  2.539340E+00
 3.001500E+02  3.390176E-02  9.714676E-03  1.757110E-02  6.341061E-04  2.621311E-01  3.667232E-01  2.191409E-01  1.984092E-03  3.253222E-03  1.619305E+00  2.163640E+00  2.038826E+00  7.631000E-03  1.026383E-01  1.029030E-01  2.562132E+00
 3.011500E+02  3.508229E-02  1.019991E-02  1.824131E-02  6.796317E-04  2.654921E-01  3.737292E-01  2.212918E-01  2.063757E-03  3.380419E-03  1.605643E+00  2.144158E+00  2.037204E+00  7.714406E-03  1.033540E-01  1.036178E-01  2.584789E+00
 3.021500E+02  3.629546E-02  1.070578E-02  1.893184E-02  7.280781E-04  2.688596E-01  3.808030E-01  2.234356E-01  2.145947E-03  3.511534E-03  1.592060E+00  2.124817E+00  2.035436E+00  7.797585E-03  1.040630E-01  1.043258E-01  2.607310E+00
 3.031500E+02  3.754193E-02  1.123299E-02  1.964312E-02  7.796095E-04  2.722332E-01  3.879442E-01  2.255719E-01  2.230718E-03  3.646650E-03  1.578556E+00  2.105617E+00  2.033526E+00  7.880524E-03  1.047650E-01  1.050269E-01  2.629690E+00
 3.041500E+02  3.882235E-02  1.178229E-02  2.037560E-02  8.343978E-04  2.756125E-01  3.951523E-01  2.277005E-01  2.318124E-03  3.785851E-03  1.565133E+00  2.086559E+00  2.031475E+00  7.963211E-03  1.054601E-01  1.057210E-01  2.651927E+00
 3.051500E+02  4.013737E-02  1.235443E-02  2.112971E-02  8.926229E-04  2.789971E-01  4.024270E-01  2.298210E-01  2.408222E-03  3.929221E-03  1.551790E+00  2.067642E+00  2.029285E+00  8.045630E-03  1.061482E-01  1.064081E-01  2.674018E+00
 3.061500E+02  4.148767E-02  1.295016E-02  2.190591E-02  9.544732E-04  2.823866E-01  4.097676E-01  2.319333E-01  2.501069E-03  4.076845E-03  1.538529E+00  2.048866E+00  2.026960E+00  8.127771E-03  1.068292E-01  1.070880E-01  2.695960E+00
 3.071500E+02  4.287392E-02  1.357028E-02  2.270465E-02  1.020146E-03  2.857807E-01  4.171737E-01  2.340371E-01  2.596722E-03  4.228809E-03  1.525351E+00  2.030232E+00  2.024501E+00  8.209618E-03  1.075031E-01  1.077608E-01  2.717751E+00
 3.081500E+02  4.429681E-02  1.421561E-02  2.352639E-02  1.089848E-03  2.891788E-01  4.246449E-01  2.361320E-01  2.695238E-03  4.385198E-03  1.512254E+00  2.011740E+00  2.021911E+00  8.291161E-03  1.081698E-01  1.084264E-01  2.739386E+00
 3.091500E+02  4.575700E-02  1.488696E-02  2.437160E-02  1.163794E-03  2.925807E-01  4.321806E-01  2.382180E-01  2.796675E-03  4.546100E-03  1.499241E+00  1.993389E+00  2.019191E+00  8.372386E-03  1.088292E-01  1.090846E-01  2.760864E+00
 3.101500E+02  4.725521E-02  1.558518E-02  2.524073E-02  1.242209E-03  2.959859E-01  4.397802E-01  2.402946E-01  2.901091E-03  4.711601E-03  1.486312E+00  1.975179E+00  2.016345E+00  8.453281E-03  1.094813E-01  1.097356E-01  2.782182E+00
 3.111500E+02  4.879214E-02  1.631116E-02  2.613426E-02  1.325330E-03  2.993941E-01  4.474433E-01  2.423617E-01  3.008546E-03  4.881791E-03  1.473466E+00  1.957111E+00  2.013375E+00  8.533835E-03  1.101260E-01  1.103791E-01  2.803338E+00
