#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  3.324637E-02  3.826784E-05  1.554961E-08  2.040924E-08  2.270690E-08  2.707516E-08  1.082338E-02  1.030768E-05  1.412723E-07  3.938882E-04  9.507253E-08  3.119631E-07  9.748645E-08
 2.741500E+02  3.312844E-02  3.746425E-05  1.478061E-08  1.940647E-08  2.159286E-08  2.575491E-08  1.079151E-02  1.004251E-05  1.303118E-07  3.828246E-04  8.852496E-08  2.914193E-07  9.195581E-08
 2.751500E+02  3.301127E-02  3.668351E-05  1.405528E-08  1.846034E-08  2.054165E-08  2.450876E-08  1.075964E-02  9.785735E-06  1.202681E-07  3.721458E-04  8.247039E-08  2.723611E-07  8.677707E-08
 2.761500E+02  3.289486E-02  3.592484E-05  1.337085E-08  1.756726E-08  1.954932E-08  2.333203E-08  1.072777E-02  9.537048E-06  1.110596E-07  3.618364E-04  7.686878E-08  2.546724E-07  8.192566E-08
 2.771500E+02  3.277921E-02  3.518748E-05  1.272475E-08  1.672392E-08  1.861219E-08  2.222042E-08  1.069590E-02  9.296163E-06  1.026120E-07  3.518815E-04  7.168361E-08  2.382468E-07  7.737884E-08
 2.781500E+02  3.266431E-02  3.447071E-05  1.211458E-08  1.592722E-08  1.772681E-08  2.116989E-08  1.066405E-02  9.062800E-06  9.485825E-08  3.422671E-04  6.688146E-08  2.229866E-07  7.311561E-08
 2.791500E+02  3.255014E-02  3.377382E-05  1.153810E-08  1.517427E-08  1.689000E-08  2.017668E-08  1.063223E-02  8.836694E-06  8.773749E-08  3.329797E-04  6.243179E-08  2.088022E-07  6.911651E-08
 2.801500E+02  3.243672E-02  3.309615E-05  1.099324E-08  1.446238E-08  1.609876E-08  1.923729E-08  1.060044E-02  8.617587E-06  8.119449E-08  3.240064E-04  5.830667E-08  1.956116E-07  6.536354E-08
 2.811500E+02  3.232403E-02  3.243704E-05  1.047805E-08  1.378905E-08  1.535033E-08  1.834845E-08  1.056868E-02  8.405232E-06  7.517916E-08  3.153348E-04  5.448051E-08  1.833393E-07  6.184004E-08
 2.821500E+02  3.221207E-02  3.179589E-05  9.990732E-09  1.315193E-08  1.464210E-08  1.750711E-08  1.053697E-02  8.199391E-06  6.964597E-08  3.069531E-04  5.092991E-08  1.719158E-07  5.853054E-08
 2.831500E+02  3.210082E-02  3.117209E-05  9.529587E-09  1.254885E-08  1.397166E-08  1.671043E-08  1.050532E-02  7.999834E-06  6.455360E-08  2.988501E-04  4.763339E-08  1.612777E-07  5.542074E-08
 2.841500E+02  3.199030E-02  3.056507E-05  9.093044E-09  1.197776E-08  1.333675E-08  1.595574E-08  1.047371E-02  7.806343E-06  5.986444E-08  2.910150E-04  4.457129E-08  1.513662E-07  5.249736E-08
 2.851500E+02  3.188049E-02  2.997428E-05  8.679630E-09  1.143677E-08  1.273524E-08  1.524057E-08  1.044217E-02  7.618705E-06  5.554433E-08  2.834375E-04  4.172557E-08  1.421274E-07  4.974806E-08
 2.861500E+02  3.177138E-02  2.939920E-05  8.287972E-09  1.092408E-08  1.216518E-08  1.456258E-08  1.041070E-02  7.436717E-06  5.156215E-08  2.761076E-04  3.907967E-08  1.335118E-07  4.716142E-08
 2.871500E+02  3.166297E-02  2.883930E-05  7.916785E-09  1.043805E-08  1.162471E-08  1.391960E-08  1.037930E-02  7.260182E-06  4.788957E-08  2.690160E-04  3.661838E-08  1.254737E-07  4.472680E-08
 2.881500E+02  3.155526E-02  2.829411E-05  7.564867E-09  9.977105E-09  1.111210E-08  1.330961E-08  1.034798E-02  7.088912E-06  4.450079E-08  2.621536E-04  3.432776E-08  1.179710E-07  4.243435E-08
 2.891500E+02  3.144824E-02  2.776314E-05  7.231096E-09  9.539797E-09  1.062575E-08  1.273069E-08  1.031673E-02  6.922725E-06  4.137230E-08  2.555117E-04  3.219498E-08  1.109648E-07  4.027490E-08
 2.901500E+02  3.134190E-02  2.724595E-05  6.914419E-09  9.124762E-09  1.016415E-08  1.218108E-08  1.028557E-02  6.761447E-06  3.848264E-08  2.490820E-04  3.020823E-08  1.044195E-07  3.823991E-08
 2.911500E+02  3.123625E-02  2.674210E-05  6.613852E-09  8.730725E-09  9.725862E-09  1.165909E-08  1.025450E-02  6.604911E-06  3.581225E-08  2.428566E-04  2.835666E-08  9.830199E-08  3.632145E-08
 2.921500E+02  3.113126E-02  2.625116E-05  6.328474E-09  8.356490E-09  9.309577E-09  1.116316E-08  1.022352E-02  6.452953E-06  3.334326E-08  2.368279E-04  2.663030E-08  9.258186E-08  3.451214E-08
 2.931500E+02  3.102695E-02  2.577274E-05  6.057422E-09  8.000936E-09  8.914046E-09  1.069183E-08  1.019264E-02  6.305420E-06  3.105937E-08  2.309886E-04  2.501995E-08  8.723098E-08  3.280510E-08
 2.941500E+02  3.092330E-02  2.530643E-05  5.799884E-09  7.663013E-09  8.538105E-09  1.024373E-08  1.016185E-02  6.162160E-06  2.894566E-08  2.253318E-04  2.351713E-08  8.222335E-08  3.119394E-08
 2.951500E+02  3.082030E-02  2.485186E-05  5.555103E-09  7.341735E-09  8.180659E-09  9.817555E-09  1.013116E-02  6.023030E-06  2.698850E-08  2.198506E-04  2.211405E-08  7.753497E-08  2.967269E-08
 2.961500E+02  3.071796E-02  2.440868E-05  5.322367E-09  7.036179E-09  7.840683E-09  9.412101E-09  1.010058E-02  5.887891E-06  2.517543E-08  2.145387E-04  2.080351E-08  7.314362E-08  2.823578E-08
 2.971500E+02  3.061627E-02  2.397652E-05  5.101007E-09  6.745476E-09  7.517213E-09  9.026231E-09  1.007010E-02  5.756610E-06  2.349504E-08  2.093900E-04  1.957887E-08  6.902878E-08  2.687804E-08
 2.981500E+02  3.051522E-02  2.355505E-05  4.890397E-09  6.468811E-09  7.209345E-09  8.658876E-09  1.003973E-02  5.629058E-06  2.193687E-08  2.043986E-04  1.843400E-08  6.517142E-08  2.559462E-08
 2.991500E+02  3.041481E-02  2.314396E-05  4.689947E-09  6.205420E-09  6.916228E-09  8.309032E-09  1.000947E-02  5.505110E-06  2.049137E-08  1.995587E-04  1.736325E-08  6.155395E-08  2.438101E-08
 3.001500E+02  3.031503E-02  2.274291E-05  4.499103E-09  5.954583E-09  6.637066E-09  7.975755E-09  9.979328E-03  5.384648E-06  1.914975E-08  1.948650E-04  1.636140E-08  5.816007E-08  2.323299E-08
 3.011500E+02  3.021587E-02  2.235161E-05  4.317347E-09  5.715623E-09  6.371106E-09  7.658159E-09  9.949295E-03  5.267557E-06  1.790398E-08  1.903122E-04  1.542360E-08  5.497466E-08  2.214663E-08
 3.021500E+02  3.011734E-02  2.196978E-05  4.144189E-09  5.487905E-09  6.117643E-09  7.355408E-09  9.919378E-03  5.153727E-06  1.674668E-08  1.858954E-04  1.454541E-08  5.198372E-08  2.111824E-08
 3.031500E+02  3.001943E-02  2.159712E-05  3.979170E-09  5.270830E-09  5.876012E-09  7.066718E-09  9.889578E-03  5.043050E-06  1.567108E-08  1.816098E-04  1.372268E-08  4.917426E-08  2.014438E-08
 3.041500E+02  2.992212E-02  2.123336E-05  3.821856E-09  5.063836E-09  5.645589E-09  6.791348E-09  9.859896E-03  4.935424E-06  1.467096E-08  1.774508E-04  1.295161E-08  4.653423E-08  1.922185E-08
 3.051500E+02  2.982542E-02  2.087824E-05  3.671841E-09  4.866393E-09  5.425785E-09  6.528602E-09  9.830335E-03  4.830750E-06  1.374060E-08  1.734138E-04  1.222864E-08  4.405243E-08  1.834762E-08
 3.061500E+02  2.972933E-02  2.053152E-05  3.528742E-09  4.678002E-09  5.216045E-09  6.277825E-09  9.800896E-03  4.728933E-06  1.287476E-08  1.694948E-04  1.155052E-08  4.171849E-08  1.751889E-08
