#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1            w1            w2          w3-1          w3-2          c1m1        c1m2-1        c1m2-7        c2m1-1        c1w1-2        c1w2-1        c2w1-1        c2w1-9        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3      c1m1w1-1
 2.731500E+02  6.980712E-01  1.583370E-03  9.508728E-07  1.248044E-06  1.388548E-06  1.655670E-06  1.445077E-01  1.724467E-04  2.221151E-06  5.461791E-02  1.005111E-04  1.881298E-06  2.639662E-08  1.036321E-02  2.350734E-06  7.713504E-06  3.790704E-06  9.028848E-02  9.132169E-06  3.142647E-06  2.759576E-06  1.046970E-04  1.425208E-04  1.640632E-06  1.571701E-06  1.990581E-06  4.446187E-06
 2.741500E+02  6.987735E-01  1.557488E-03  9.083090E-07  1.192581E-06  1.326940E-06  1.582710E-06  1.446393E-01  1.685725E-04  2.054613E-06  5.517089E-02  1.001178E-04  1.791719E-06  2.611669E-08  1.011291E-02  2.196564E-06  7.230967E-06  3.590781E-06  8.918777E-02  8.731347E-06  3.024351E-06  2.653410E-06  1.033628E-04  1.406957E-04  1.548214E-06  1.468726E-06  1.860901E-06  4.200154E-06
 2.751500E+02  6.994655E-01  1.532236E-03  8.679728E-07  1.140004E-06  1.268534E-06  1.513519E-06  1.447667E-01  1.648094E-04  1.901595E-06  5.571805E-02  9.970451E-05  1.706379E-06  2.583256E-08  9.870401E-03  2.053518E-06  6.781811E-06  3.402817E-06  8.809866E-02  8.348945E-06  2.911060E-06  2.551827E-06  1.020415E-04  1.388886E-04  1.461246E-06  1.372982E-06  1.740282E-06  3.968923E-06
 2.761500E+02  7.001472E-01  1.507594E-03  8.297326E-07  1.090143E-06  1.213140E-06  1.447877E-06  1.448902E-01  1.611538E-04  1.760924E-06  5.625933E-02  9.927205E-05  1.625090E-06  2.554468E-08  9.635412E-03  1.920729E-06  6.363529E-06  3.226024E-06  8.702122E-02  7.984105E-06  2.802544E-06  2.454613E-06  1.007334E-04  1.371001E-04  1.379398E-06  1.283934E-06  1.628053E-06  3.751543E-06
 2.771500E+02  7.008187E-01  1.483544E-03  7.934653E-07  1.042838E-06  1.160583E-06  1.385578E-06  1.450099E-01  1.576022E-04  1.631534E-06  5.679471E-02  9.882131E-05  1.547671E-06  2.525345E-08  9.407666E-03  1.797400E-06  5.973817E-06  3.059666E-06  8.595555E-02  7.636009E-06  2.698583E-06  2.361564E-06  9.943887E-05  1.353304E-04  1.302361E-06  1.201086E-06  1.523596E-06  3.547127E-06
 2.781500E+02  7.014803E-01  1.460069E-03  7.590559E-07  9.979424E-07  1.110698E-06  1.326429E-06  1.451260E-01  1.541512E-04  1.512456E-06  5.732414E-02  9.835318E-05  1.473944E-06  2.495930E-08  9.186902E-03  1.682801E-06  5.610553E-06  2.903062E-06  8.490171E-02  7.303876E-06  2.598970E-06  2.272485E-06  9.815796E-05  1.335797E-04  1.229842E-06  1.123980E-06  1.426342E-06  3.354847E-06
 2.791500E+02  7.021319E-01  1.437150E-03  7.263967E-07  9.553165E-07  1.063332E-06  1.270250E-06  1.452385E-01  1.507978E-04  1.402812E-06  5.784761E-02  9.786851E-05  1.403744E-06  2.466259E-08  8.972869E-03  1.576262E-06  5.271785E-06  2.755579E-06  8.385975E-02  6.986960E-06  2.503507E-06  2.187192E-06  9.689092E-05  1.318484E-04  1.161569E-06  1.052194E-06  1.335763E-06  3.173933E-06
 2.801500E+02  7.027737E-01  1.414772E-03  6.953871E-07  9.148305E-07  1.018341E-06  1.216872E-06  1.453476E-01  1.475386E-04  1.301799E-06  5.836508E-02  9.736813E-05  1.336907E-06  2.436373E-08  8.765327E-03  1.477169E-06  4.955716E-06  2.616628E-06  8.282973E-02  6.684551E-06  2.412005E-06  2.105510E-06  9.563789E-05  1.301365E-04  1.097285E-06  9.853402E-07  1.251374E-06  3.003665E-06
 2.811500E+02  7.034059E-01  1.392918E-03  6.659326E-07  8.763629E-07  9.755901E-07  1.166136E-06  1.454534E-01  1.443708E-04  1.208690E-06  5.887654E-02  9.685289E-05  1.273279E-06  2.406305E-08  8.564044E-03  1.384956E-06  4.660691E-06  2.485661E-06  8.181168E-02  6.395969E-06  2.324285E-06  2.027273E-06  9.439903E-05  1.284443E-04  1.036750E-06  9.230578E-07  1.172725E-06  2.843373E-06
 2.821500E+02  7.040285E-01  1.371574E-03  6.379451E-07  8.397994E-07  9.349523E-07  1.117894E-06  1.455561E-01  1.412913E-04  1.122821E-06  5.938198E-02  9.632358E-05  1.212712E-06  2.376092E-08  8.368798E-03  1.299106E-06  4.385182E-06  2.362171E-06  8.080562E-02  6.120569E-06  2.240178E-06  1.952321E-06  9.317445E-05  1.267719E-04  9.797362E-07  8.650153E-07  1.099403E-06  2.692428E-06
