#         T/K          A/kJ          G/kJ
  2.731500000000E+02   2.154227135262E+01   2.154753853336E+01
  2.741500000000E+02   2.138689844310E+01   2.139216924343E+01
  2.751500000000E+02   2.123091680322E+01   2.123619126180E+01
  2.761500000000E+02   2.107432875389E+01   2.107960690160E+01
  2.771500000000E+02   2.091713695929E+01   2.092241882459E+01
  2.781500000000E+02   2.075934443093E+01   2.076463003993E+01
  2.791500000000E+02   2.060095450145E+01   2.060624387801E+01
  2.801500000000E+02   2.044197079866E+01   2.044726396448E+01
  2.811500000000E+02   2.028239721592E+01   2.028769419065E+01
  2.821500000000E+02   2.012223788362E+01   2.012753868502E+01
  2.831500000000E+02   1.996149713971E+01   1.996680178373E+01
  2.841500000000E+02   1.980017950065E+01   1.980548800162E+01
  2.851500000000E+02   1.963828963297E+01   1.964360200373E+01
  2.861500000000E+02   1.947583232432E+01   1.948114857638E+01
  2.871500000000E+02   1.931281245993E+01   1.931813260359E+01
  2.881500000000E+02   1.914923499621E+01   1.915455904072E+01
  2.891500000000E+02   1.898510493266E+01   1.899043288633E+01
  2.901500000000E+02   1.882042730303E+01   1.882575917340E+01
  2.911500000000E+02   1.865520714337E+01   1.866054293728E+01
  2.921500000000E+02   1.848944948102E+01   1.849478920477E+01
  2.931500000000E+02   1.832315931808E+01   1.832850297751E+01
  2.941500000000E+02   1.815634161811E+01   1.816168921866E+01
  2.951500000000E+02   1.798900129465E+01   1.799435284150E+01
  2.961500000000E+02   1.782114320209E+01   1.782649870021E+01
  2.971500000000E+02   1.765277212546E+01   1.765813157964E+01
  2.981500000000E+02   1.748389277850E+01   1.748925619346E+01
  2.991500000000E+02   1.731450979420E+01   1.731987717459E+01
  3.001500000000E+02   1.714462772345E+01   1.714999907392E+01
  3.011500000000E+02   1.697425103111E+01   1.697962635634E+01
  3.021500000000E+02   1.680338409634E+01   1.680876340104E+01
  3.031500000000E+02   1.663203120866E+01   1.663741449761E+01
  3.041500000000E+02   1.646019657147E+01   1.646558384954E+01
  3.051500000000E+02   1.628788429929E+01   1.629327557146E+01
  3.061500000000E+02   1.611509842060E+01   1.612049369193E+01
  3.071500000000E+02   1.594184287802E+01   1.594724215372E+01
  3.081500000000E+02   1.576812153066E+01   1.577352481603E+01
  3.091500000000E+02   1.559393815516E+01   1.559934545566E+01
  3.101500000000E+02   1.541929644790E+01   1.542470776912E+01
  3.111500000000E+02   1.524420002768E+01   1.524961537533E+01
  3.121500000000E+02   1.506865243310E+01   1.507407181304E+01
  3.131500000000E+02   1.489265713353E+01   1.489808055178E+01
  3.141500000000E+02   1.471621752178E+01   1.472164498450E+01
  3.151500000000E+02   1.453933692057E+01   1.454476843408E+01
  3.161500000000E+02   1.436201858307E+01   1.436745415386E+01
  3.171500000000E+02   1.418426569645E+01   1.418970533120E+01
  3.181500000000E+02   1.400608137320E+01   1.401152507878E+01
  3.191500000000E+02   1.116536730883E+01   1.375279176557E+01
  3.201500000000E+02   1.089029870084E+01   1.348676480442E+01
  3.211500000000E+02   1.061505480955E+01   1.322055096599E+01
  3.221500000000E+02   1.033963608847E+01   1.295415090949E+01
  3.231500000000E+02   1.006404298392E+01   1.268756528330E+01
  3.241500000000E+02   9.788275935203E+00   1.242079472526E+01
  3.251500000000E+02   9.512335374827E+00   1.215383986291E+01
  3.261500000000E+02   9.236221728706E+00   1.188670131376E+01
  3.271500000000E+02   8.959935416349E+00   1.161937968550E+01
  3.281500000000E+02   8.683476851044E+00   1.135187557629E+01
  3.291500000000E+02   8.406846440039E+00   1.108418957494E+01
