#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  4.124042E+01  4.124085E+01
 2.741500E+02  4.131285E+01  4.131329E+01
 2.751500E+02  4.138521E+01  4.138564E+01
 2.761500E+02  4.145748E+01  4.145791E+01
 2.771500E+02  4.152966E+01  4.153010E+01
 2.781500E+02  4.160176E+01  4.160220E+01
 2.791500E+02  4.167377E+01  4.167422E+01
 2.801500E+02  4.174570E+01  4.174615E+01
 2.811500E+02  4.181754E+01  4.181799E+01
 2.821500E+02  4.188929E+01  4.188975E+01
 2.831500E+02  4.196096E+01  4.196141E+01
 2.841500E+02  4.203253E+01  4.203299E+01
 2.851500E+02  4.210401E+01  4.210447E+01
 2.861500E+02  4.217540E+01  4.217587E+01
 2.871500E+02  4.224670E+01  4.224717E+01
 2.881500E+02  4.231791E+01  4.231837E+01
 2.891500E+02  4.238901E+01  4.238949E+01
 2.901500E+02  4.246003E+01  4.246050E+01
 2.911500E+02  4.253094E+01  4.253142E+01
 2.921500E+02  4.260176E+01  4.260224E+01
 2.931500E+02  4.267247E+01  4.267295E+01
 2.941500E+02  4.274308E+01  4.274357E+01
 2.951500E+02  4.281360E+01  4.281409E+01
 2.961500E+02  4.288400E+01  4.288450E+01
 2.971500E+02  4.295430E+01  4.295480E+01
 2.981500E+02  4.302450E+01  4.302500E+01
 2.991500E+02  4.309458E+01  4.309509E+01
 3.001500E+02  4.316456E+01  4.316507E+01
 3.011500E+02  4.323442E+01  4.323493E+01
 3.021500E+02  4.330417E+01  4.330468E+01
 3.031500E+02  4.337380E+01  4.337432E+01
 3.041500E+02  4.344332E+01  4.344384E+01
 3.051500E+02  4.351272E+01  4.351324E+01
 3.061500E+02  4.358200E+01  4.358253E+01
 3.071500E+02  4.365115E+01  4.365168E+01
 3.081500E+02  4.372018E+01  4.372072E+01
 3.091500E+02  4.378908E+01  4.378962E+01
 3.101500E+02  4.385786E+01  4.385840E+01
 3.111500E+02  4.392650E+01  4.392705E+01
 3.121500E+02  4.399501E+01  4.399556E+01
 3.131500E+02  4.406339E+01  4.406394E+01
 3.141500E+02  4.413162E+01  4.413219E+01
 3.151500E+02  4.419972E+01  4.420029E+01
 3.161500E+02  4.426768E+01  4.426825E+01
 3.171500E+02  4.433549E+01  4.433607E+01
 3.181500E+02  4.440316E+01  4.440374E+01
 3.191500E+02  4.447068E+01  4.447126E+01
 3.201500E+02  4.453804E+01  4.453864E+01
 3.211500E+02  4.460525E+01  4.460585E+01
 3.221500E+02  4.467231E+01  4.467291E+01
 3.231500E+02  4.473920E+01  4.473981E+01
 3.241500E+02  4.480594E+01  4.480655E+01
 3.251500E+02  4.487250E+01  4.487313E+01
 3.261500E+02  4.493890E+01  4.493953E+01
 3.271500E+02  4.500513E+01  4.500577E+01
 3.281500E+02  4.507119E+01  4.507183E+01
 3.291500E+02  4.513707E+01  4.513772E+01
 3.301500E+02  4.520277E+01  4.520342E+01
 3.311500E+02  4.526829E+01  4.526895E+01
 3.321500E+02  4.533362E+01  4.533428E+01
 3.331500E+02  4.539876E+01  4.539943E+01
 3.341500E+02  4.546371E+01  4.546439E+01
 3.351500E+02  4.552847E+01  4.552915E+01
 3.361500E+02  4.559302E+01  4.559372E+01
 3.371500E+02  4.565737E+01  4.565808E+01
 3.381500E+02  4.572152E+01  4.572223E+01
 3.391500E+02  4.578546E+01  4.578617E+01
 3.401500E+02  4.584918E+01  4.584991E+01
 3.411500E+02  4.591269E+01  4.591342E+01
 3.421500E+02  4.597597E+01  4.597672E+01
 3.431500E+02  4.603903E+01  1.473259E+03
 3.441500E+02  3.303967E+01  1.464454E+03
 3.451500E+02  3.308605E+01  4.147634E+01
 3.461500E+02  3.313253E+01  4.152135E+01
 3.471500E+02  3.317909E+01  4.156648E+01
 3.481500E+02  3.322574E+01  4.161173E+01
 3.491500E+02  3.327248E+01  4.165711E+01
 3.501500E+02  3.331930E+01  4.170261E+01
 3.511500E+02  3.336621E+01  4.174822E+01
 3.521500E+02  3.341319E+01  4.179395E+01
 3.531500E+02  3.346025E+01  4.183978E+01
 3.541500E+02  3.350739E+01  4.188573E+01
 3.551500E+02  3.355461E+01  4.193178E+01
 3.561500E+02  3.360190E+01  4.197793E+01
 3.571500E+02  3.364926E+01  4.202419E+01
 3.581500E+02  3.369669E+01  4.207054E+01
 3.591500E+02  3.374419E+01  4.211698E+01
 3.601500E+02  3.379176E+01  4.216352E+01
 3.611500E+02  3.383940E+01  4.221015E+01
 3.621500E+02  3.388710E+01  4.225687E+01
 3.631500E+02  3.393486E+01  4.230367E+01
 3.641500E+02  3.398269E+01  4.235056E+01
 3.651500E+02  3.403058E+01  4.239753E+01
 3.661500E+02  3.407852E+01  4.244458E+01
 3.671500E+02  3.412653E+01  4.249171E+01
 3.681500E+02  3.417458E+01  4.253891E+01
 3.691500E+02  3.422270E+01  4.258619E+01
 3.701500E+02  3.427086E+01  4.263354E+01
 3.711500E+02  3.431908E+01  4.268096E+01
 3.721500E+02  3.436735E+01  4.272844E+01
 3.731500E+02  3.441567E+01  4.277599E+01
 3.741500E+02  3.446404E+01  4.282361E+01
 3.751500E+02  3.451245E+01  4.287129E+01
 3.761500E+02  3.456091E+01  4.291903E+01
 3.771500E+02  3.460941E+01  4.296683E+01
 3.781500E+02  3.465795E+01  4.301469E+01
 3.791500E+02  3.470654E+01  4.306260E+01
 3.801500E+02  3.475517E+01  4.311057E+01
 3.811500E+02  3.480383E+01  4.315858E+01
 3.821500E+02  3.485253E+01  4.320665E+01
 3.831500E+02  3.490127E+01  4.325477E+01
 3.841500E+02  3.495004E+01  4.330294E+01
 3.851500E+02  3.499885E+01  4.335115E+01
 3.861500E+02  3.504769E+01  4.339941E+01
 3.871500E+02  3.509656E+01  4.344771E+01
 3.881500E+02  3.514546E+01  4.349605E+01
 3.891500E+02  3.519439E+01  4.354443E+01
 3.901500E+02  3.524335E+01  4.359285E+01
 3.911500E+02  3.529234E+01  4.364131E+01
 3.921500E+02  3.534135E+01  4.368980E+01
 3.931500E+02  3.539039E+01  4.373833E+01
 3.941500E+02  3.543945E+01  4.378689E+01
 3.951500E+02  3.548853E+01  4.383549E+01
 3.961500E+02  3.553763E+01  4.388411E+01
 3.971500E+02  3.558675E+01  4.393277E+01
 3.981500E+02  3.563590E+01  4.398145E+01
 3.991500E+02  3.568506E+01  4.403038E+01
